 ,Материал,Ставка ЖД,Ставка АВИА,Код ТНВЭД,Родитель,Медиана цены (₽),Медиана цены (¥),Средний тираж,Плотность (кг/м³),Транспорт ($/кг),Диапазон цен (₽),Диапазон цен (¥),Диапазон плотности,Диапазон тиражей,Диапазон транспорта
сумка,"Полиэстер, нейлон, хлопок, Оксфорд, плюш, фетр, акрил, кожзам","6,1","8,2",4202929800,,511,12.0,1500,182.7,$7.1,134 - 1976 ₽,2.8 - 45.0 ¥,96.5 - 310.9,500 - 7500,$5.9 - $9.9
сумка,кожа,11,"13,1",4202911000,,511,12.0,1500,182.7,$7.1,134 - 1976 ₽,2.8 - 45.0 ¥,96.5 - 310.9,500 - 7500,$5.9 - $9.9
кружка,"керамика, фарфор",4,"6,1",6912002100,,791,17.2,752,193.5,$6.0,403 - 1973 ₽,7.1 - 45.0 ¥,150 - 295.8,300 - 6750,$4.5 - $7.8
└─ кружка_термо,"металл (нержавеющая сталь, алюминий)","4,6","6,7",9617000001,кружка,927,21.5,1125,196.6,$5.0,689 - 2056 ₽,15.1 - 44.2 ¥,141.1 - 256.9,260 - 5100,$4.5 - $6.7
бутылка,"пластик, тритан, полипропилен, PS, PP","4,3","6,4",3924100000,,728,15.8,1500,185.6,$6.7,374 - 1376 ₽,6.5 - 35.0 ¥,60 - 307.6,450 - 7500,$4.9 - $8.5
бутылка,стекло ,4,"6,1",7013379900,,728,15.8,1500,185.6,$6.7,374 - 1376 ₽,6.5 - 35.0 ¥,150 - 307.6,450 - 7500,$4.9 - $8.5
бутылка,"металл (нержавеющая сталь, алюминий)","4,6","6,7",9617000001,,728,15.8,1500,185.6,$6.7,374 - 1376 ₽,6.5 - 35.0 ¥,150 - 307.6,450 - 7500,$4.9 - $8.5
коффер,"металл (нержавеющая сталь, алюминий)","4,6","6,7",9617000001,,997,20.0,2175,184.5,$6.7,600 - 1200 ₽,13 - 29 ¥,100 - 200,150 - 8820,$5.4 - $9.0
термос,"металл (нержавеющая сталь, алюминий)","4,6","6,7",9617000001,,1080,23.8,1500,217.7,$5.5,725 - 2252 ₽,13.5 - 59.8 ¥,130.1 - 255.9,300 - 3939,$4.5 - $6.8
ручка,"Металл, пластик, бумага","4,6","6,7",9608101000,,110,2.6,5000,376.8,$5.9,31 - 1000 ₽,0.7 - 23.0 ¥,170 - 465,750 - 25188,$4.5 - $8.0
