Тип,Категория,Родитель,Товаров,Медиана_цены_руб,Медиана_цены_юань,Медиана_тиража,Медиана_плотности,Медиана_транспорта,Цена_руб_мин,Цена_руб_макс,Цена_руб_медиана,Цена_руб_среднее,Цена_руб_стд,Цена_руб_количество,Цена_юань_мин,Цена_юань_макс,Цена_юань_медиана,Цена_юань_среднее,Цена_юань_стд,Цена_юань_количество,Тираж_мин,Тираж_макс,Тираж_медиана,Тираж_среднее,Тираж_стд,Тираж_количество,Плотность_мин,Плотность_макс,Плотность_медиана,Плотность_среднее,Плотность_стд,Плотность_количество,Транспорт_мин,Транспорт_макс,Транспорт_медиана,Транспорт_среднее,Транспорт_стд,Транспорт_количество,Популярная_категория,Материал_рекомендуемый,Плотность_рекомендуемая,Ставка_жд_базовая,Ставка_авиа_базовая,Ставка_жд_по_плотности,Ставка_авиа_по_плотности,Сертификаты_требуемые
popular,"Картхолдер, кардхолдер",,50,387.8752274305556,10.7,500.0,0.1,7.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Картхолдер, кардхолдер",,,,,,,
popular,Рюкзаки кожа,,50,482.86,16.5,500.0,150.7936507936508,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Рюкзаки кожа,,,,,,,
popular,Рюкзак,,50,1762.225,40.5,1000.0,113.7478920602862,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Рюкзак,,,,,,,
popular,Поясная сумка,,50,421.0847378472222,9.5,500.0,0.8,6.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Поясная сумка,,,,,,,
popular,"Рюкзак мешок, гермомешок",,50,1762.225,42.0,1000.0,117.0263602,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Рюкзак мешок, гермомешок",,,,,,,
popular,"Шоппер, сумка",,50,629.3706944444444,11.25,500.0,0.65,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Шоппер, сумка",,,,,,,
popular,"Сумка для ноутбука, чехол",,50,971.0950138888888,19.5,500.0,0.5,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сумка для ноутбука, чехол",,,,,,,
popular,"Органайзер, несессер",,50,695.9695464120371,17.0,1000.0,44.88888888888889,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Органайзер, несессер",,,,,,,
popular,Органайзер - машина,,50,1162.958810300926,21.575,1000.0,1.582063711911357,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Органайзер - машина,,,,,,,
popular,"Косметичка, пенал (без наполнения)",,50,496.2222569444443,13.0,450.0,0.178,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Косметичка, пенал (без наполнения)",,,,,,,
popular,"Термосумка, сумка для еды, сумка курьера, сумка для ланчбокса, сумка холодильник",,50,904.3565555555555,18.0,500.0,0.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Термосумка, сумка для еды, сумка курьера, сумка для ланчбокса, сумка холодильник",,,,,,,
popular,Чехлы для чемодана,,50,891.6861249999998,19.5,500.0,0.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Чехлы для чемодана,,,,,,,
popular,"Стикеры, наклейки",,50,195.7885277777778,6.0,2700.0,273.4808208997886,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Стикеры, наклейки",,,,,,,
popular,"Стикеры, наклейки",,50,195.7885277777778,6.0,2700.0,273.4808208997886,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Стикеры, наклейки",,,,,,,
popular,"Ежедневники, блокноты",,9,207.9477777777778,4.0,10000.0,553.4471853257431,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ежедневники, блокноты",,,,,,,
popular,Носки,,50,202.5645513888895,5.35,2000.0,0.1,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Носки,,,,,,,
popular,"Шарфы, платки",,5,302.7164688888889,6.5,100.0,63.97306397306397,14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Шарфы, платки",,,,,,,
popular,"Кепка, бейсболка",,50,471.2374328703704,14.0,500.0,139.2369813,7.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Кепка, бейсболка",,,,,,,
popular,"Худи, толстовка",,25,2203.703310185185,40.0,711.0,22.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Худи, толстовка",,,,,,,
popular,Полотенца,,17,228.8508888888889,7.5,1000.0,212.7255460588794,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Полотенца,,,,,,,
popular,Резиновая обувь,,45,707.6127222222221,13.0,300.0,0.45,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Резиновая обувь,,,,,,,
popular,Ланчбокс,,50,745.3209502314814,9.3,2350.0,167.2498404524549,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ланчбокс,,,,,,,
popular,Таблетницы,,13,195.975037037037,6.3,500.0,230.8802308802308,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Таблетницы,,,,,,,
popular,"Бутылки, стаканы, одноразовые стаканы, складные",,50,274.6559754464286,2.95,3000.0,346.3203463203463,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Бутылки, стаканы, одноразовые стаканы, складные",,,,,,,
popular,Бутылки,,50,230.7070150462963,2.95,3000.0,346.3203463203463,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Бутылки,,,,,,,
popular,"Термосы, термобутылки, термокружки, термостаканы, кофферы",,44,977.242048611111,20.0,1000.0,108.6956522,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Термосы, термобутылки, термокружки, термостаканы, кофферы",,,,,,,
popular,Посуда (тарелки и кружки),,50,1995.04,40.0,1000.0,1.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Посуда (тарелки и кружки),,,,,,,
