Тип,Категория,Родитель,Товаров,Полнота_данных,Популярная_категория,Материал_рекомендуемый,Количество_диапазонов,Есть_диапазоны_БД,Есть_данные_CSV,Есть_ставки_транспорт,Есть_материалы,Есть_сертификаты,Медиана_цены_руб,Медиана_плотности,Медиана_тиража,Ставка_жд_базовая,Ставка_авиа_базовая,Сертификаты_требуемые
main,рюкзак,,152,🟢 ПОЛНЫЕ ДАННЫЕ,Рюкзак,"Полиэстер, нейлон, хлопок, Оксфорд, ПВХ",5,True,True,True,True,True,2000.784741666667,125.0,1350.0,"6,1","8,2",ДС
main,часы,,72,🟢 ПОЛНЫЕ ДАННЫЕ,Часы,"металл, пластик, стекло",5,True,True,True,True,True,1422.004340277778,163.8503329924006,612.5,"4,4","6,5",ДС
main,тарелка,,46,🟢 ПОЛНЫЕ ДАННЫЕ,Посуда,керамика,5,True,True,True,True,True,1159.180357291666,315.9537857590301,1087.5,4,"6,1",ДС
main,проектор,,46,🟢 ПОЛНЫЕ ДАННЫЕ,Проектор,"Пластик, ABC",5,True,True,True,True,True,3093.922777777778,155.0387596899225,806.25,"27,1","29,2",ДС+СС
main,тарелка,,46,🟢 ПОЛНЫЕ ДАННЫЕ,Посуда,фарфор,5,True,True,True,True,False,1159.180357291666,315.9537857590301,1087.5,4,"6,1",
main,гирлянда,,37,🟢 ПОЛНЫЕ ДАННЫЕ,Гирлянда,"Пластик, хлопок",5,True,True,True,True,True,553.4254375,200.0,2850.0,"5,7","7,8",ДС+СС
main,носки,,23,🟢 ПОЛНЫЕ ДАННЫЕ,Носки,"хлопок, акрил, полиэстер",5,True,True,True,True,True,261.44,142.9994426711253,2250.0,5,"7,1",СС / маркировка ЧЗ
main,ремувка,,19,🟢 ПОЛНЫЕ ДАННЫЕ,Ремувка,"нейлон, металл, полиэстер",5,True,True,True,True,False,93.19,333.3333333333334,5000.0,"9,1","11,2",
main,скакалка,,8,🟢 ПОЛНЫЕ ДАННЫЕ,Скакалка,Пластик,5,True,True,True,True,False,1145.362704014649,350.2680311890837,3015.0,"3,7","5,8",
main,колонка,,92,🟡 БД + CSV (нет ставок),Колонка,"Пластик 

Товар с аккумулятором",5,True,True,False,True,False,1476.77,266.6003128110337,1500.0,,,
main,сумка,,775,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,511.3434958333333,182.6651111890474,1500.0,,,
main,кружка,,495,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,791.2747499999999,193.452380952381,752.5,,,
