 ,,"Обрати внимание! 
Фиолетовым цветом отмечен товар с аккумулятором. Если планируется авиа доставка, на товары с аккумуляторами необходимо предоставлять доп.сертификаты, которые мы запрашиваем у фабрики:
Сертификат происхождения - CO certificate of origin - 原产地证书 
Паспорт безопасности - MSDS - 安全技术说明书
Документы запрашиваем заранее. Нужно учитывать, что без этих документов груз могут не принять на авиа перевозку, и закладывать этот риск в сроки (в таком случае груз поедет жд).",,,,,,Дата обновления ставок - 1.03.2025,,,,,,,,,,,,
Фото,Категория,Материал,Фото примеров ,"Ориентир плотности 
(рекомендации по расчету)",общий вес (кг),объем (м3),плотность,ставка жд базовая,ставка авиа базовая,ставка жд по плотности,ставка авиа по плотности,серты/дс/ру,серты/дс/ру в наличии у HW,,,,,,,
,"Пакеты - не бумага
Пакет, пакет фольгированный","пластик, полиетилен",https://disk.yandex.ru/d/We4vrg-chNDjbQ,300,"112,9","0,27","418,1481481","4,5","6,7","4,5","6,7",ДС,есть,,,,,,,
,Карман для бейджа," пластик, кожзам",https://disk.yandex.ru/d/sXOi6pk3m783Dw,200,"19,9","0,05",398,"4,2","6,3","4,2","6,3",,,,,,,,,
,Картхолдер + ланьярд + ретрактор,"силикон, пластик, полиэстер",https://disk.yandex.ru/d/LGYDNyOCZ0gKWA,300,9,"0,01",900,"7,2","9,3","7,2","9,3",,,4202321000,,,,,,
,"Картхолдер, кардхолдер"," пластик, кожзам",https://disk.yandex.ru/d/6F4yGl6jh38Pxg,"160

Совет: можно посчитать Карго ","4,2","0,005553333333",200,"7,2","9,3","7,2","9,3",ДС,есть,,,,,,,
,"Картхолдер, кардхолдер", кожа,https://disk.yandex.ru/d/6F4yGl6jh38Pxg,"160

Совет: можно посчитать Карго ","72,5","0,252","287,6984127","11,1","13,2","11,1","13,2",,,,,,,,,
,Рюкзаки кожа,кожа,https://disk.yandex.ru/d/KsZpiFns8iU6Ww,"100

Совет: считаем под полную ","4166,7","27,08333333","153,8473846",11,"13,1","11,36","13,46",ДС,есть,,,,,,,
,Рюкзак,"Полиэстер, нейлон, хлопок, Оксфорд, ПВХ",https://disk.yandex.ru/d/KsZpiFns8iU6Ww,"100

Совет: считаем под полную ","18,9","0,11","171,8181818","6,1","8,2","6,21","8,2",ДС,есть,,,,,,,
,Поясная сумка,ор,https://disk.yandex.ru/d/XCfbMRMae-Ys8g,"120

Совет: считаем под полную ",234,"1,3",180,"6,1","8,2","6,1","8,2",ДС,есть,,,,,,,
,"Рюкзак мешок, гермомешок","Полиэстер, нейлон, хлопок, Оксфорд, пвх",https://disk.yandex.ru/d/TVJVdyNZ40QiQA,"160

Совет: считаем под полную ","954,8","6,14","155,504886","6,1","8,2","6,39","8,56",ДС,есть,,,,,,,
,"Шоппер, сумка","Полиэстер, нейлон, хлопок, Оксфорд",https://disk.yandex.ru/d/WNlQdlalH30nuw,"250

Совет: можно посчитать Карго ","263,2","1,894736842","138,9111111","6,1","8,2","6,7","9,23",ДС,есть,,,,,,,
,"Сумка для ноутбука, чехол ","Полиэстер, нейлон, хлопок, Оксфорд, плюш, фетр, акрил, кожзам",https://disk.yandex.ru/d/0jqOO1VFJgdQAQ,"100

Совет: можно посчитать Карго ",703,"5,81","120,9982788","6,1","8,2",7,"9,82",ДС,есть, ,,,,,,
,"Органайзер, несессер","Полиэстер, нейлон, хлопок, Оксфорд, плюш, фетр, акрил, кожзам",https://disk.yandex.ru/d/KKMJKemn0mtT3Q,200,25,"0,12","208,3333333","6,1","8,2","6,1","8,2",ДС,есть,,,,,,,
,Органайзер - машина,"Полиэстер, нейлон, Оксфорд, кожзам",https://disk.yandex.ru/d/eKpF9mVB8Xvh9g,270,120,"0,67","179,1044776","6,1","8,2","6,15","8,2",ДС,есть,,,,,,,
,"Косметичка, пенал (без наполнения)","Полиэстер, нейлон, хлопок, Оксфорд, плюш, акрил, кожзам",https://disk.yandex.ru/d/DOpgY-Ew1HF60A,160,"383,3","2,85","134,4912281","6,1","8,2","6,79","9,23",ДС,есть,,,,,,,
,"Термосумка, сумка для еды, сумка курьера, сумка для ланчбокса, сумка холодильник","полиэстер,алюминиевая фольга, спанбонд",https://disk.yandex.ru/d/otEd8L3MbSfvAw,170,33800,"739,38","45,71397657","6,1","8,2","11,5","20,19",ДС,есть,,,,,,,
,Авоськи,акрил,https://disk.yandex.ru/d/PwXN2B3baCjXdg,200,200,1,200,"4,4","6,5","4,4","6,5",,,,,,,,,
,Чехлы для чемодана,"Полиэстер, нейлон, акрил",https://disk.yandex.ru/d/sLpgi9_heV9pRw,225,"28,75","0,1","287,5","5,5","7,6","5,5","7,6",,,,,,,,,
,"Стикеры, наклейки",бумага,https://disk.yandex.ru/d/YFo01IlQoP5sAw,300,200,1,200,"3,9",6,"3,9",6,,,,,,,,,
,"Стикеры, наклейки",Виниловая пленка,https://disk.yandex.ru/d/GoH8D43Dlzsfag,200,200,1,200,"4,2","6,3","4,2","6,3",,,,,,,,,
,"Ежедневники, блокноты","бумага, кожа, кожзам, акрил",https://disk.yandex.ru/d/eiujfRrDanKCTw,350,"181,5","0,34","533,8235294","4,1","6,2","4,1","6,2",,,,,,,,,
,Носки,"хлопок, акрил, полиэстер",https://disk.yandex.ru/d/j5IFRrYeBTMXAQ,110,"433,3333333","3,5","123,8095238",5,"7,1","5,9","8,72",СС / маркировка ЧЗ,"Нужно уточнять у ХВ, мог просрочиться",,,,,,,
,"Шарфы, платки","хлопок, акрил, полиэстер, нейлон, оксфорд",https://disk.yandex.ru/d/edh1DWH-0x6eDw,"280

Совет: считаем под полную","203,125","1,07","189,8364486","11,8","13,9","11,8","13,9",ДС / маркировка ЧЗ,ДС есть,,,,,,,
,"Кепка, бейсболка","хлопок, полиэстер, акрил",https://disk.yandex.ru/d/3liXscBN1aNCiQ,120,"47,34","0,36","131,5",5,"7,1","5,69","8,41",маркировка ЧЗ,,,,,,,,
,Футболки,"хлопок, полиэстер, акрил",https://disk.yandex.ru/d/6GIpxHkYCdMDjQ,200,9500,"40,432","234,962406","9,5","11,6","9,5","11,6",СС,Нет,,,,6109100000,,,
,"Худи, толстовка ","хлопок, полиэстер, акрил",https://disk.yandex.ru/d/nMbUib_aMx19cQ,230,"262,5","1,21296","216,4127424","9,3","11,4","9,3","11,4",СС+ЧЗ,Нет,,,,6110209900,,,
,Шапки,"хлопок, полиэстер, акрил",https://disk.yandex.ru/d/vtqSL9X-mq0kMA,100,200,1,200,5,"7,1",5,"7,1",СС,"Нужно уточнять у ХВ, мог просрочиться",,,,,,,
,Пледы,"хлопок, акрил, полиэстер, нейлон, оксфорд, фланель, флис, жаккард",https://disk.yandex.ru/d/HVxfUlErbmDqjg,80,"166,7","1,24","134,4354839","5,3","7,4","5,99","8,43",ДС,нет,,,,,,,
,Тряпки,"акрил, полиэстер, нейлон, оксфорд",https://disk.yandex.ru/d/Zn8ClaPbJ0T3kA,150,200,1,200,"5,3","7,4","5,3","7,4",,,,,,,,,
,Полотенца,"хлопок, микрофибра, бамбук",https://disk.yandex.ru/d/UVHTkwwYIUJsUg,250,138,"0,6",230,"7,2","9,3","7,2","9,3",ДС / маркировка ЧЗ,нет,,,,,,,
,Резиновая обувь,резина,,"80

Для просчета обуви необходимо обратиться к Денису! ",200,1,200,,,,,ДС / маркировка ЧЗ,нет,,,,,,,
,Ланчбокс,пластик,https://disk.yandex.ru/d/aF9zWgZhJt3YUw,170,"51,9","0,4945675325","104,9401681","4,3","6,4","5,74","8,76",ДС,есть,,,,,,,
,Таблетницы,пластик,https://disk.yandex.ru/d/GpxyPwV8n2pgEg,200,179,"0,78","229,4871795","4,4","6,5","4,4","6,5",,,,,,,,,
