Источник,ID,Sheet_ID,Название_листа,Название_проекта,Описание,Google_Sheets_URL,Исполнитель,Контрагент,Регион,Количество_товаров,Статус,Дата_создания
SheetMetadata,1,original_sheet,original_sheet,,,https://docs.google.com/spreadsheets/d/original_sheet,,,,4,completed,
SheetMetadata,2,sheet_18cySstG_1758278370,sheet_18cySstG_1758278370,,,https://docs.google.com/spreadsheets/d/sheet_18cySstG_1758278370,,,,6,completed,
SheetMetadata,3,sheet_17MYSsxo_public,sheet_17MYSsxo_public,,,https://docs.google.com/spreadsheets/d/sheet_17MYSsxo_public,,,,6,completed,
SheetMetadata,4,Мерч для Sense_1758096973,Мерч для Sense_1758096973,,,https://docs.google.com/spreadsheets/d/Мерч для Sense_1758096973,,,,14,completed,
SheetMetadata,5,sheet_1WmKw-t2_1758278219,sheet_1WmKw-t2_1758278219,,,https://docs.google.com/spreadsheets/d/sheet_1WmKw-t2_1758278219,,,,2,completed,
SheetMetadata,6,sheet_1onAKPl5_1758278373,sheet_1onAKPl5_1758278373,,,https://docs.google.com/spreadsheets/d/sheet_1onAKPl5_1758278373,,,,1,completed,
SheetMetadata,7,sheet_1qkWtnDW_1758278205,sheet_1qkWtnDW_1758278205,,,https://docs.google.com/spreadsheets/d/sheet_1qkWtnDW_1758278205,,,,1,completed,
SheetMetadata,8,sheet_15ipEk2j_1758278196,sheet_15ipEk2j_1758278196,,,https://docs.google.com/spreadsheets/d/sheet_15ipEk2j_1758278196,,,,1,completed,
SheetMetadata,9,sheet_12fQQJFP_1758278191,sheet_12fQQJFP_1758278191,,,https://docs.google.com/spreadsheets/d/sheet_12fQQJFP_1758278191,,,,1,completed,
SheetMetadata,10,sheet_1CZAC0TA_1758278189,sheet_1CZAC0TA_1758278189,,,https://docs.google.com/spreadsheets/d/sheet_1CZAC0TA_1758278189,,,,1,completed,
SheetMetadata,11,sheet_1L4XSR4k_1758278208,sheet_1L4XSR4k_1758278208,,,https://docs.google.com/spreadsheets/d/sheet_1L4XSR4k_1758278208,,,,1,completed,
SheetMetadata,12,sheet_1SD3YfSQ_public,sheet_1SD3YfSQ_public,,,https://docs.google.com/spreadsheets/d/sheet_1SD3YfSQ_public,,,,11,completed,
SheetMetadata,13,sheet_1FIAT6ri_1758278199,sheet_1FIAT6ri_1758278199,,,https://docs.google.com/spreadsheets/d/sheet_1FIAT6ri_1758278199,,,,1,completed,
SheetMetadata,14,sheet_1OlOPoua_1758278186,sheet_1OlOPoua_1758278186,,,https://docs.google.com/spreadsheets/d/sheet_1OlOPoua_1758278186,,,,2,completed,
SheetMetadata,15,sheet_1czLDW19_1758278202,sheet_1czLDW19_1758278202,,,https://docs.google.com/spreadsheets/d/sheet_1czLDW19_1758278202,,,,2,completed,
SheetMetadata,16,sheet_1actsAoD_1758278181,sheet_1actsAoD_1758278181,,,https://docs.google.com/spreadsheets/d/sheet_1actsAoD_1758278181,,,,1,completed,
SheetMetadata,17,sheet_1FHHpsQJ_public,sheet_1FHHpsQJ_public,,,https://docs.google.com/spreadsheets/d/sheet_1FHHpsQJ_public,,,,3,completed,
SheetMetadata,19,sheet_1OBjfVrv_1758278376,sheet_1OBjfVrv_1758278376,,,https://docs.google.com/spreadsheets/d/sheet_1OBjfVrv_1758278376,,,,2,completed,
SheetMetadata,20,sheet_18M6bs8k_1758278363,sheet_18M6bs8k_1758278363,,,https://docs.google.com/spreadsheets/d/sheet_18M6bs8k_1758278363,,,,1,completed,
SheetMetadata,21,sheet_1-5pUbx__1758278401,sheet_1-5pUbx__1758278401,,,https://docs.google.com/spreadsheets/d/sheet_1-5pUbx__1758278401,,,,0,completed,
SheetMetadata,22,sheet_1nav9w2d_public,sheet_1nav9w2d_public,,,https://docs.google.com/spreadsheets/d/sheet_1nav9w2d_public,,,,11,completed,
SheetMetadata,23,Вторая таблица_1757933504,Вторая таблица_1757933504,,,https://docs.google.com/spreadsheets/d/Вторая таблица_1757933504,,,,2,completed,
SheetMetadata,38,1hBrqW7Eb1LEd8LaqYvsgkw2Le2A2CsI-7JitkF2I5bw,google_sheet_20250923_152114,,,https://docs.google.com/spreadsheets/d/1hBrqW7Eb1LEd8LaqYvsgkw2Le2A2CsI-7JitkF2I5bw/edit,,,,2,completed,
SheetMetadata,40,1iR2ruzZq23l5_uG-5099ibNXmE-KJKihSTzBrrPM3jo,google_sheet_20250923_152134,,,https://docs.google.com/spreadsheets/d/1iR2ruzZq23l5_uG-5099ibNXmE-KJKihSTzBrrPM3jo/edit,,,,3,completed,
SheetMetadata,41,18mCRfsNMhKGX8nCOxd4Taa4NzJ4LBbC4WE6KMDzSw-c,google_sheet_20250923_152516,,,https://docs.google.com/spreadsheets/d/18mCRfsNMhKGX8nCOxd4Taa4NzJ4LBbC4WE6KMDzSw-c/edit,,,,3,completed,
SheetMetadata,42,1BKQSWJTYaGT6GCBnSSEjakQuSXj4Wc5NMA6Gph9I1Hc,google_sheet_20250923_153626,,,https://docs.google.com/spreadsheets/d/1BKQSWJTYaGT6GCBnSSEjakQuSXj4Wc5NMA6Gph9I1Hc/edit?usp=sharing,,,,1,completed,
SheetMetadata,43,1RYRPydC3p1a48WvMOMeudqEpJwKI2J4waCEF_JFtcjA,google_sheet_20250923_154121,,,https://docs.google.com/spreadsheets/d/1RYRPydC3p1a48WvMOMeudqEpJwKI2J4waCEF_JFtcjA/edit,,,,1,completed,
SheetMetadata,44,1R57Swpcsmp9dx00a7Ll06ORsubymVqP4bcyv3Kz3xS8,google_sheet_20250923_154131,,,https://docs.google.com/spreadsheets/d/1R57Swpcsmp9dx00a7Ll06ORsubymVqP4bcyv3Kz3xS8/edit,,,,1,completed,
SheetMetadata,45,1XkppiF9akKbizSztbcICKRKdfRi0GGzh7P10vvWedp8,google_sheet_20250923_154154,,,https://docs.google.com/spreadsheets/d/1XkppiF9akKbizSztbcICKRKdfRi0GGzh7P10vvWedp8/edit,,,,0,error,
SheetMetadata,46,1_zCmUkERKGpyd3ke1wE9Jb6eH4RkqHPVpVQSB6z755M,google_sheet_20250923_154201,,,https://docs.google.com/spreadsheets/d/1_zCmUkERKGpyd3ke1wE9Jb6eH4RkqHPVpVQSB6z755M/edit,,,,6,completed,
SheetMetadata,47,1ABuiOSjeP2uQbzLKGjslNj6OxooEGfIxqM2bQeQzdgA,google_sheet_20250923_154219,,,https://docs.google.com/spreadsheets/d/1ABuiOSjeP2uQbzLKGjslNj6OxooEGfIxqM2bQeQzdgA/edit,,,,1,completed,
SheetMetadata,48,1hlMvD_L3ra4NAgcpzMdUyPTbh6OYLzvB23ripTrDHsY,google_sheet_20250923_154232,,,https://docs.google.com/spreadsheets/d/1hlMvD_L3ra4NAgcpzMdUyPTbh6OYLzvB23ripTrDHsY/edit?gid=1860127244#gid=1860127244,,,,13,completed,
SheetMetadata,49,1HPRcElUJd224N1wYuVGsrpEJHsVL8HGhP67M9fxh8NE,google_sheet_20250923_154246,,,https://docs.google.com/spreadsheets/d/1HPRcElUJd224N1wYuVGsrpEJHsVL8HGhP67M9fxh8NE/edit,,,,12,completed,
SheetMetadata,50,1o2pbdHQh-cWFhm3x2X7OhetDQsnrIeldUqk0gPZGdkI,google_sheet_20250923_154254,,,https://docs.google.com/spreadsheets/d/1o2pbdHQh-cWFhm3x2X7OhetDQsnrIeldUqk0gPZGdkI/edit,,,,1,completed,
SheetMetadata,51,d,google_sheet_20250923_154306,,,https://docs.google.com/spreadsheets/d/1ieWELvo2yAnWWvKvyCNBK8f2eXEIM68EWMfs6zBZU4c,,,,2,completed,
SheetMetadata,52,1VET6F_49zuS0_RpaHLAMA_0yIIUe5e_WCoZ06m36V9Q,google_sheet_20250923_154313,,,https://docs.google.com/spreadsheets/d/1VET6F_49zuS0_RpaHLAMA_0yIIUe5e_WCoZ06m36V9Q/edit,,,,2,completed,
SheetMetadata,53,1oFevegLnqEC1GfCPz24bV1VVem8AyDcVGeuAExikfsI,google_sheet_20250923_154325,,,https://docs.google.com/spreadsheets/d/1oFevegLnqEC1GfCPz24bV1VVem8AyDcVGeuAExikfsI/edit,,,,1,completed,
SheetMetadata,54,1vqjQpaEbjT_LDx84pn8wnfe1GaSMbCEw2myIbIexn1s,google_sheet_20250923_154339,,,https://docs.google.com/spreadsheets/d/1vqjQpaEbjT_LDx84pn8wnfe1GaSMbCEw2myIbIexn1s/edit,,,,1,completed,
SheetMetadata,55,1F8qZie9Xa2-27wqGvAqYuMeuXglZFq8Ubd9GJSqvI2I,google_sheet_20250923_154349,,,https://docs.google.com/spreadsheets/d/1F8qZie9Xa2-27wqGvAqYuMeuXglZFq8Ubd9GJSqvI2I/edit,,,,1,completed,
SheetMetadata,56,18hGcTTFRk_wB6OnGFqV53aFQ-dYiBuX9A4vLlbiyk-o,google_sheet_20250923_154404,,,https://docs.google.com/spreadsheets/d/18hGcTTFRk_wB6OnGFqV53aFQ-dYiBuX9A4vLlbiyk-o/edit,,,,1,completed,
SheetMetadata,57,1ieWELvo2yAnWWvKvyCNBK8f2eXEIM68EWMfs6zBZU4c,google_sheet_20250923_Просчет-Межд_DSIR_Ruwaida__Брендированные_теннисны,,,https://docs.google.com/spreadsheets/d/1ieWELvo2yAnWWvKvyCNBK8f2eXEIM68EWMfs6zBZU4c,,,,2,completed,
SheetMetadata,58,1xBM0vZ09a0SbF-NPIxVrcdECqzORDyXeIjuW0LtwIno,google_sheet_20250923_Просчет-Межд_Gold_Apple__Мерч_на_продажу_1000-2000,,,https://docs.google.com/spreadsheets/d/1xBM0vZ09a0SbF-NPIxVrcdECqzORDyXeIjuW0LtwIno,,,,0,error,
SheetMetadata,59,1f_TuKLxM3xV7nR8pQkIgwfBUKLE0xBMccjZxFPrhcxw,google_sheet_20250923_Просчет-Межд_Gold_Apple__Стикеры_120тыс_шт_27-05-2,,,https://docs.google.com/spreadsheets/d/1f_TuKLxM3xV7nR8pQkIgwfBUKLE0xBMccjZxFPrhcxw,,,,1,completed,
SheetMetadata,60,1NJ_7eS1DdkklICqnq9-p-71eG6DLJRseRtPy2KXEjjo,google_sheet_20250923_Просчет-Межд_Zamna_Group__Веер_-_5000_шт_30-04-202,,,https://docs.google.com/spreadsheets/d/1NJ_7eS1DdkklICqnq9-p-71eG6DLJRseRtPy2KXEjjo,,,,1,completed,
SheetMetadata,61,1r3PV4HRi5ozJWfWZ9onUWJ9WyMC2EbezK99gFqBWReE,google_sheet_20250923_Просчет-ОАЭ_BHM_Capital__Подарки_партнерам_6_катег,,,https://docs.google.com/spreadsheets/d/1r3PV4HRi5ozJWfWZ9onUWJ9WyMC2EbezK99gFqBWReE,,,,1,completed,
SheetMetadata,62,1R7w1J6qHBWc7AY6tzmEsHvKsakHv5ZensEOac2P-iRU,google_sheet_20250923_Просчет-ОАЭ_Burjeel_Holdings_Saheer__Бутылки_и_кер,,,https://docs.google.com/spreadsheets/d/1R7w1J6qHBWc7AY6tzmEsHvKsakHv5ZensEOac2P-iRU,,,,1,completed,
SheetMetadata,63,1hE-deiIfgFGRNv-hVFNEiKw65gweFAW-dHwtgahKsNc,google_sheet_20250923_Просчет-ОАЭ_Elation_Avenue_Joanna__Пляжные_товары_,,,https://docs.google.com/spreadsheets/d/1hE-deiIfgFGRNv-hVFNEiKw65gweFAW-dHwtgahKsNc,,,,1,completed,
