Номер,Файл_Excel,Sheet_ID,Название_проекта,Google_Sheets_URL,Статус_поиска
1,google_sheet_20250923_094851.xlsx,google_sheet_20250923_094851,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
2,google_sheet_20250923_094858.xlsx,google_sheet_20250923_094858,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
3,google_sheet_20250923_094907.xlsx,google_sheet_20250923_094907,от 7 до 1000,https://docs.google.com/spreadsheets/d/1ONp3q4efFRfCSkMzVuZmn8Q_hjpfSPB3uMTWtSk-g4s/edit,Найдена (по названию)
4,google_sheet_20250923_094914.xlsx,google_sheet_20250923_094914,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
5,google_sheet_20250923_094920.xlsx,google_sheet_20250923_094920,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
6,google_sheet_20250923_094925.xlsx,google_sheet_20250923_094925,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
7,google_sheet_20250923_094933.xlsx,google_sheet_20250923_094933,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
8,google_sheet_20250923_094946.xlsx,google_sheet_20250923_094946,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
9,google_sheet_20250923_094954.xlsx,google_sheet_20250923_094954,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
10,google_sheet_20250923_095001.xlsx,google_sheet_20250923_095001,от 500 до 2000,https://docs.google.com/spreadsheets/d/17qcAtcYcaHgFC8O8TcK8S2exCC4z-7BJV60OkbQXD6o/edit,Найдена (по названию)
11,google_sheet_20250923_095025.xlsx,google_sheet_20250923_095025,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
12,google_sheet_20250923_095032.xlsx,google_sheet_20250923_095032,от 50 до 1000,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM/edit,Найдена (по названию)
