Номер,Файл_Excel,Sheet_ID,Название_проекта,Ссылка_Google_Sheets,Статус_ссылки
1,google_sheet_20250923_094851.xlsx,google_sheet_20250923_094851,,file://storage/excel_files/google_sheet_20250923_094851_normalized.xlsx,Найдена
2,google_sheet_20250923_094858.xlsx,google_sheet_20250923_094858,,file://storage/excel_files/google_sheet_20250923_094858_normalized.xlsx,Найдена
3,google_sheet_20250923_094907.xlsx,google_sheet_20250923_094907,,file://storage/excel_files/google_sheet_20250923_094907_normalized.xlsx,Найдена
4,google_sheet_20250923_094914.xlsx,google_sheet_20250923_094914,,file://storage/excel_files/google_sheet_20250923_094914_normalized.xlsx,Найдена
5,google_sheet_20250923_094920.xlsx,google_sheet_20250923_094920,,file://storage/excel_files/google_sheet_20250923_094920_normalized.xlsx,Найдена
6,google_sheet_20250923_094925.xlsx,google_sheet_20250923_094925,,file://storage/excel_files/google_sheet_20250923_094925_normalized.xlsx,Найдена
7,google_sheet_20250923_094933.xlsx,google_sheet_20250923_094933,,file://storage/excel_files/google_sheet_20250923_094933_normalized.xlsx,Найдена
8,google_sheet_20250923_094946.xlsx,google_sheet_20250923_094946,,file://storage/excel_files/google_sheet_20250923_094946_normalized.xlsx,Найдена
9,google_sheet_20250923_094954.xlsx,google_sheet_20250923_094954,,file://storage/excel_files/google_sheet_20250923_094954_normalized.xlsx,Найдена
10,google_sheet_20250923_095001.xlsx,google_sheet_20250923_095001,,file://storage/excel_files/google_sheet_20250923_095001_normalized.xlsx,Найдена
11,google_sheet_20250923_095025.xlsx,google_sheet_20250923_095025,,file://storage/excel_files/google_sheet_20250923_095025_normalized.xlsx,Найдена
12,google_sheet_20250923_095032.xlsx,google_sheet_20250923_095032,,file://storage/excel_files/google_sheet_20250923_095032_normalized.xlsx,Найдена
13,google_sheet_20250923_095040.xlsx,google_sheet_20250923_095040,,file://storage/excel_files/google_sheet_20250923_095040_normalized.xlsx,Найдена
14,google_sheet_20250923_095047.xlsx,google_sheet_20250923_095047,,file://storage/excel_files/google_sheet_20250923_095047_normalized.xlsx,Найдена
15,google_sheet_20250923_095052.xlsx,google_sheet_20250923_095052,,file://storage/excel_files/google_sheet_20250923_095052_normalized.xlsx,Найдена
16,google_sheet_20250923_095126.xlsx,google_sheet_20250923_095126,,file://storage/excel_files/google_sheet_20250923_095126_normalized.xlsx,Найдена
17,google_sheet_20250923_095133.xlsx,google_sheet_20250923_095133,,file://storage/excel_files/google_sheet_20250923_095133_normalized.xlsx,Найдена
18,google_sheet_20250923_095143.xlsx,google_sheet_20250923_095143,,file://storage/excel_files/google_sheet_20250923_095143_normalized.xlsx,Найдена
19,google_sheet_20250923_100041.xlsx,google_sheet_20250923_100041,,file://storage/excel_files/google_sheet_20250923_100041_normalized.xlsx,Найдена
20,google_sheet_20250923_100121.xlsx,google_sheet_20250923_100121,,file://storage/excel_files/google_sheet_20250923_100121_normalized.xlsx,Найдена
21,google_sheet_20250923_151725.xlsx,google_sheet_20250923_151725,,file://storage/excel_files/google_sheet_20250923_151725_normalized.xlsx,Найдена
22,google_sheet_20250923_151729.xlsx,google_sheet_20250923_151729,,file://storage/excel_files/google_sheet_20250923_151729_normalized.xlsx,Найдена
23,google_sheet_20250923_151737.xlsx,google_sheet_20250923_151737,,file://storage/excel_files/google_sheet_20250923_151737_normalized.xlsx,Найдена
24,google_sheet_20250923_151800.xlsx,google_sheet_20250923_151800,,file://storage/excel_files/google_sheet_20250923_151800_normalized.xlsx,Найдена
25,google_sheet_20250923_151811.xlsx,google_sheet_20250923_151811,,file://storage/excel_files/google_sheet_20250923_151811_normalized.xlsx,Найдена
26,google_sheet_20250923_151819.xlsx,google_sheet_20250923_151819,,file://storage/excel_files/google_sheet_20250923_151819_normalized.xlsx,Найдена
27,google_sheet_20250923_151824.xlsx,google_sheet_20250923_151824,,file://storage/excel_files/google_sheet_20250923_151824_normalized.xlsx,Найдена
28,google_sheet_20250923_151834.xlsx,google_sheet_20250923_151834,,file://storage/excel_files/google_sheet_20250923_151834_normalized.xlsx,Найдена
29,google_sheet_20250923_151843.xlsx,google_sheet_20250923_151843,,file://storage/excel_files/google_sheet_20250923_151843_normalized.xlsx,Найдена
30,google_sheet_20250923_151856.xlsx,google_sheet_20250923_151856,,file://storage/excel_files/google_sheet_20250923_151856_normalized.xlsx,Найдена
31,google_sheet_20250923_151904.xlsx,google_sheet_20250923_151904,,file://storage/excel_files/google_sheet_20250923_151904_normalized.xlsx,Найдена
32,google_sheet_20250923_151915.xlsx,google_sheet_20250923_151915,,file://storage/excel_files/google_sheet_20250923_151915_normalized.xlsx,Найдена
33,google_sheet_20250923_151924.xlsx,google_sheet_20250923_151924,,file://storage/excel_files/google_sheet_20250923_151924_normalized.xlsx,Найдена
34,google_sheet_20250923_151933.xlsx,google_sheet_20250923_151933,,file://storage/excel_files/google_sheet_20250923_151933_normalized.xlsx,Найдена
35,google_sheet_20250923_151942.xlsx,google_sheet_20250923_151942,,file://storage/excel_files/google_sheet_20250923_151942_normalized.xlsx,Найдена
36,google_sheet_20250923_151947.xlsx,google_sheet_20250923_151947,,file://storage/excel_files/google_sheet_20250923_151947_normalized.xlsx,Найдена
37,google_sheet_20250923_151958.xlsx,google_sheet_20250923_151958,,file://storage/excel_files/google_sheet_20250923_151958_normalized.xlsx,Найдена
38,google_sheet_20250923_152008.xlsx,google_sheet_20250923_152008,,file://storage/excel_files/google_sheet_20250923_152008_normalized.xlsx,Найдена
39,google_sheet_20250923_152020.xlsx,google_sheet_20250923_152020,,file://storage/excel_files/google_sheet_20250923_152020_normalized.xlsx,Найдена
40,google_sheet_20250923_152032.xlsx,google_sheet_20250923_152032,,file://storage/excel_files/google_sheet_20250923_152032_normalized.xlsx,Найдена
41,google_sheet_20250923_152042.xlsx,google_sheet_20250923_152042,,file://storage/excel_files/google_sheet_20250923_152042_normalized.xlsx,Найдена
42,google_sheet_20250923_152058.xlsx,google_sheet_20250923_152058,,file://storage/excel_files/google_sheet_20250923_152058_normalized.xlsx,Найдена
43,google_sheet_20250923_152104.xlsx,google_sheet_20250923_152104,,file://storage/excel_files/google_sheet_20250923_152104_normalized.xlsx,Найдена
44,google_sheet_20250923_152114.xlsx,google_sheet_20250923_152114,,file://storage/excel_files/google_sheet_20250923_152114_normalized.xlsx,Найдена
45,google_sheet_20250923_152125.xlsx,google_sheet_20250923_152125,,file://storage/excel_files/google_sheet_20250923_152125_normalized.xlsx,Найдена
46,google_sheet_20250923_152134.xlsx,google_sheet_20250923_152134,,file://storage/excel_files/google_sheet_20250923_152134_normalized.xlsx,Найдена
47,google_sheet_20250923_152145.xlsx,google_sheet_20250923_152145,,file://storage/excel_files/google_sheet_20250923_152145_normalized.xlsx,Найдена
48,google_sheet_20250923_152516.xlsx,google_sheet_20250923_152516,,file://storage/excel_files/google_sheet_20250923_152516_normalized.xlsx,Найдена
49,google_sheet_20250923_152539.xlsx,google_sheet_20250923_152539,,file://storage/excel_files/google_sheet_20250923_152539_normalized.xlsx,Найдена
50,google_sheet_20250923_152550.xlsx,google_sheet_20250923_152550,,file://storage/excel_files/google_sheet_20250923_152550_normalized.xlsx,Найдена
51,google_sheet_20250923_152608.xlsx,google_sheet_20250923_152608,,file://storage/excel_files/google_sheet_20250923_152608_normalized.xlsx,Найдена
52,google_sheet_20250923_152623.xlsx,google_sheet_20250923_152623,,file://storage/excel_files/google_sheet_20250923_152623_normalized.xlsx,Найдена
53,google_sheet_20250923_152639.xlsx,google_sheet_20250923_152639,,file://storage/excel_files/google_sheet_20250923_152639_normalized.xlsx,Найдена
54,google_sheet_20250923_152655.xlsx,google_sheet_20250923_152655,,file://storage/excel_files/google_sheet_20250923_152655_normalized.xlsx,Найдена
55,google_sheet_20250923_152712.xlsx,google_sheet_20250923_152712,,file://storage/excel_files/google_sheet_20250923_152712_normalized.xlsx,Найдена
56,google_sheet_20250923_152731.xlsx,google_sheet_20250923_152731,,file://storage/excel_files/google_sheet_20250923_152731_normalized.xlsx,Найдена
57,google_sheet_20250923_152749.xlsx,google_sheet_20250923_152749,,file://storage/excel_files/google_sheet_20250923_152749_normalized.xlsx,Найдена
58,google_sheet_20250923_152807.xlsx,google_sheet_20250923_152807,,file://storage/excel_files/google_sheet_20250923_152807_normalized.xlsx,Найдена
59,google_sheet_20250923_152825.xlsx,google_sheet_20250923_152825,,file://storage/excel_files/google_sheet_20250923_152825_normalized.xlsx,Найдена
60,google_sheet_20250923_152844.xlsx,google_sheet_20250923_152844,,file://storage/excel_files/google_sheet_20250923_152844_normalized.xlsx,Найдена
61,google_sheet_20250923_152902.xlsx,google_sheet_20250923_152902,,file://storage/excel_files/google_sheet_20250923_152902_normalized.xlsx,Найдена
62,google_sheet_20250923_153031.xlsx,google_sheet_20250923_153031,,file://storage/excel_files/google_sheet_20250923_153031_normalized.xlsx,Найдена
63,google_sheet_20250923_153051.xlsx,google_sheet_20250923_153051,,file://storage/excel_files/google_sheet_20250923_153051_normalized.xlsx,Найдена
64,google_sheet_20250923_153522.xlsx,google_sheet_20250923_153522,,file://storage/excel_files/google_sheet_20250923_153522_normalized.xlsx,Найдена
65,google_sheet_20250923_153626.xlsx,google_sheet_20250923_153626,,file://storage/excel_files/google_sheet_20250923_153626_normalized.xlsx,Найдена
66,google_sheet_20250923_154121.xlsx,google_sheet_20250923_154121,,file://storage/excel_files/google_sheet_20250923_154121_normalized.xlsx,Найдена
67,google_sheet_20250923_154131.xlsx,google_sheet_20250923_154131,,file://storage/excel_files/google_sheet_20250923_154131_normalized.xlsx,Найдена
68,google_sheet_20250923_154154.xlsx,google_sheet_20250923_154154,,file://storage/excel_files/google_sheet_20250923_154154_normalized.xlsx,Найдена
69,google_sheet_20250923_154201.xlsx,google_sheet_20250923_154201,,file://storage/excel_files/google_sheet_20250923_154201_normalized.xlsx,Найдена
70,google_sheet_20250923_154219.xlsx,google_sheet_20250923_154219,,file://storage/excel_files/google_sheet_20250923_154219_normalized.xlsx,Найдена
71,google_sheet_20250923_154232.xlsx,google_sheet_20250923_154232,,file://storage/excel_files/google_sheet_20250923_154232_normalized.xlsx,Найдена
72,google_sheet_20250923_154246.xlsx,google_sheet_20250923_154246,,file://storage/excel_files/google_sheet_20250923_154246_normalized.xlsx,Найдена
73,google_sheet_20250923_154254.xlsx,google_sheet_20250923_154254,,file://storage/excel_files/google_sheet_20250923_154254_normalized.xlsx,Найдена
74,google_sheet_20250923_154306.xlsx,google_sheet_20250923_154306,,file://storage/excel_files/google_sheet_20250923_154306_normalized.xlsx,Найдена
75,google_sheet_20250923_154313.xlsx,google_sheet_20250923_154313,,file://storage/excel_files/google_sheet_20250923_154313_normalized.xlsx,Найдена
76,google_sheet_20250923_154325.xlsx,google_sheet_20250923_154325,,file://storage/excel_files/google_sheet_20250923_154325_normalized.xlsx,Найдена
77,google_sheet_20250923_154339.xlsx,google_sheet_20250923_154339,,file://storage/excel_files/google_sheet_20250923_154339_normalized.xlsx,Найдена
78,google_sheet_20250923_154349.xlsx,google_sheet_20250923_154349,,file://storage/excel_files/google_sheet_20250923_154349_normalized.xlsx,Найдена
79,google_sheet_20250923_154404.xlsx,google_sheet_20250923_154404,,file://storage/excel_files/google_sheet_20250923_154404_normalized.xlsx,Найдена
80,google_sheet_20250923_154510.xlsx,google_sheet_20250923_154510,,file://storage/excel_files/google_sheet_20250923_154510_normalized.xlsx,Найдена
81,google_sheet_20250923_154517.xlsx,google_sheet_20250923_154517,,file://storage/excel_files/google_sheet_20250923_154517_normalized.xlsx,Найдена
82,google_sheet_20250923_154527.xlsx,google_sheet_20250923_154527,,file://storage/excel_files/google_sheet_20250923_154527_normalized.xlsx,Найдена
83,google_sheet_20250923_154535.xlsx,google_sheet_20250923_154535,,file://storage/excel_files/google_sheet_20250923_154535_normalized.xlsx,Найдена
84,google_sheet_20250923_154544.xlsx,google_sheet_20250923_154544,,file://storage/excel_files/google_sheet_20250923_154544_normalized.xlsx,Найдена
85,google_sheet_20250923_154649.xlsx,google_sheet_20250923_154649,,file://storage/excel_files/google_sheet_20250923_154649_normalized.xlsx,Найдена
86,google_sheet_20250923_154658.xlsx,google_sheet_20250923_154658,,file://storage/excel_files/google_sheet_20250923_154658_normalized.xlsx,Найдена
87,google_sheet_20250923_154710.xlsx,google_sheet_20250923_154710,,file://storage/excel_files/google_sheet_20250923_154710_normalized.xlsx,Найдена
88,google_sheet_20250923_154721.xlsx,google_sheet_20250923_154721,,file://storage/excel_files/google_sheet_20250923_154721_normalized.xlsx,Найдена
89,google_sheet_20250923_154734.xlsx,google_sheet_20250923_154734,,file://storage/excel_files/google_sheet_20250923_154734_normalized.xlsx,Найдена
90,google_sheet_20250923_154748.xlsx,google_sheet_20250923_154748,,file://storage/excel_files/google_sheet_20250923_154748_normalized.xlsx,Найдена
91,google_sheet_20250923_Просчет-Межд_DSIR_Ruwaida__Брендированные_теннисны_1758711322.xlsx,google_sheet_20250923_Просчет-Межд_DSIR_Ruwaida__Брендированные_теннисны_1758711322,,file://storage/excel_files/google_sheet_20250923_Просчет-Межд_DSIR_Ruwaida__Брендированные_теннисны_1758711322_normalized.xlsx,Найдена
92,google_sheet_20250923_Просчет-Межд_DSIR_Ruwaida__Брендированные_теннисны_excel.xlsx,google_sheet_20250923_Просчет-Межд_DSIR_Ruwaida__Брендированные_теннисны_excel,,file://storage/excel_files/google_sheet_20250923_Просчет-Межд_DSIR_Ruwaida__Брендированные_теннисны_excel_normalized.xlsx,Найдена
93,google_sheet_20250923_Просчет-Межд_Gold_Apple__Мерч_на_продажу_1000-2000_1758711326.xlsx,google_sheet_20250923_Просчет-Межд_Gold_Apple__Мерч_на_продажу_1000-2000_1758711326,,file://storage/excel_files/google_sheet_20250923_Просчет-Межд_Gold_Apple__Мерч_на_продажу_1000-2000_1758711326_normalized.xlsx,Найдена
94,google_sheet_20250923_Просчет-Межд_Gold_Apple__Мерч_на_продажу_1000-2000_excel.xlsx,google_sheet_20250923_Просчет-Межд_Gold_Apple__Мерч_на_продажу_1000-2000_excel,,file://storage/excel_files/google_sheet_20250923_Просчет-Межд_Gold_Apple__Мерч_на_продажу_1000-2000_excel_normalized.xlsx,Найдена
95,google_sheet_20250923_Просчет-Межд_Gold_Apple__Стикеры_120тыс_шт_27-05-2_1758711329.xlsx,google_sheet_20250923_Просчет-Межд_Gold_Apple__Стикеры_120тыс_шт_27-05-2_1758711329,,,Не найдена
96,google_sheet_20250923_Просчет-Межд_Gold_Apple__Стикеры_120тыс_шт_27-05-2_csv.xlsx,google_sheet_20250923_Просчет-Межд_Gold_Apple__Стикеры_120тыс_шт_27-05-2_csv,,file://storage/excel_files/google_sheet_20250923_Просчет-Межд_Gold_Apple__Стикеры_120тыс_шт_27-05-2_csv_normalized.xlsx,Найдена
97,google_sheet_20250923_Просчет-Межд_Gold_Apple__Стикеры_120тыс_шт_27-05-2_excel.xlsx,google_sheet_20250923_Просчет-Межд_Gold_Apple__Стикеры_120тыс_шт_27-05-2_excel,,,Не найдена
98,google_sheet_20250923_Просчет-Межд_Zamna_Group__Веер_-_5000_шт_30-04-202_1758711332.xlsx,google_sheet_20250923_Просчет-Межд_Zamna_Group__Веер_-_5000_шт_30-04-202_1758711332,,file://storage/excel_files/google_sheet_20250923_Просчет-Межд_Zamna_Group__Веер_-_5000_шт_30-04-202_1758711332_normalized.xlsx,Найдена
99,google_sheet_20250923_Просчет-Межд_Zamna_Group__Веер_-_5000_шт_30-04-202_excel.xlsx,google_sheet_20250923_Просчет-Межд_Zamna_Group__Веер_-_5000_шт_30-04-202_excel,,file://storage/excel_files/google_sheet_20250923_Просчет-Межд_Zamna_Group__Веер_-_5000_шт_30-04-202_excel_normalized.xlsx,Найдена
100,google_sheet_20250923_Просчет-ОАЭ_BHM_Capital__Подарки_партнерам_6_катег_1758711334.xlsx,google_sheet_20250923_Просчет-ОАЭ_BHM_Capital__Подарки_партнерам_6_катег_1758711334,,,Не найдена
101,google_sheet_20250923_Просчет-ОАЭ_BHM_Capital__Подарки_партнерам_6_катег_csv.xlsx,google_sheet_20250923_Просчет-ОАЭ_BHM_Capital__Подарки_партнерам_6_катег_csv,,file://storage/excel_files/google_sheet_20250923_Просчет-ОАЭ_BHM_Capital__Подарки_партнерам_6_катег_csv_normalized.xlsx,Найдена
102,google_sheet_20250923_Просчет-ОАЭ_BHM_Capital__Подарки_партнерам_6_катег_excel.xlsx,google_sheet_20250923_Просчет-ОАЭ_BHM_Capital__Подарки_партнерам_6_катег_excel,,,Не найдена
