Номер,Файл_Excel,Тип_файла,Sheet_ID,Название_проекта,Описание,Исполнитель,Контрагент,Регион,Компания_из_файла,Количество_товаров,Google_Sheets_URL,Примечание
1,google_sheet_20250923_094851.xlsx,Временный файл,google_sheet_20250923_094851,google_sheet_20250923_094851_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
2,google_sheet_20250923_094858.xlsx,Временный файл,google_sheet_20250923_094858,google_sheet_20250923_094858_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
3,google_sheet_20250923_094907.xlsx,Временный файл,google_sheet_20250923_094907,google_sheet_20250923_094907_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
4,google_sheet_20250923_094914.xlsx,Временный файл,google_sheet_20250923_094914,google_sheet_20250923_094914_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
5,google_sheet_20250923_094920.xlsx,Временный файл,google_sheet_20250923_094920,google_sheet_20250923_094920_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
6,google_sheet_20250923_094925.xlsx,Временный файл,google_sheet_20250923_094925,google_sheet_20250923_094925_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
7,google_sheet_20250923_094933.xlsx,Временный файл,google_sheet_20250923_094933,google_sheet_20250923_094933_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
8,google_sheet_20250923_094946.xlsx,Временный файл,google_sheet_20250923_094946,google_sheet_20250923_094946_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
9,google_sheet_20250923_094954.xlsx,Временный файл,google_sheet_20250923_094954,google_sheet_20250923_094954_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
10,google_sheet_20250923_095001.xlsx,Временный файл,google_sheet_20250923_095001,google_sheet_20250923_095001_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
11,google_sheet_20250923_095025.xlsx,Временный файл,google_sheet_20250923_095025,google_sheet_20250923_095025_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
12,google_sheet_20250923_095032.xlsx,Временный файл,google_sheet_20250923_095032,google_sheet_20250923_095032_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
13,google_sheet_20250923_095040.xlsx,Временный файл,google_sheet_20250923_095040,google_sheet_20250923_095040_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
14,google_sheet_20250923_095047.xlsx,Временный файл,google_sheet_20250923_095047,google_sheet_20250923_095047_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
15,google_sheet_20250923_095052.xlsx,Временный файл,google_sheet_20250923_095052,google_sheet_20250923_095052_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
16,google_sheet_20250923_095126.xlsx,Временный файл,google_sheet_20250923_095126,google_sheet_20250923_095126_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
17,google_sheet_20250923_095133.xlsx,Временный файл,google_sheet_20250923_095133,google_sheet_20250923_095133_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
18,google_sheet_20250923_095143.xlsx,Временный файл,google_sheet_20250923_095143,google_sheet_20250923_095143_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
19,google_sheet_20250923_100041.xlsx,Временный файл,google_sheet_20250923_100041,google_sheet_20250923_100041_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
20,google_sheet_20250923_100121.xlsx,Временный файл,google_sheet_20250923_100121,google_sheet_20250923_100121_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
21,google_sheet_20250923_151725.xlsx,Временный файл,google_sheet_20250923_151725,google_sheet_20250923_151725_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
22,google_sheet_20250923_151729.xlsx,Временный файл,google_sheet_20250923_151729,google_sheet_20250923_151729_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
23,google_sheet_20250923_151737.xlsx,Временный файл,google_sheet_20250923_151737,google_sheet_20250923_151737_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
24,google_sheet_20250923_151800.xlsx,Временный файл,google_sheet_20250923_151800,google_sheet_20250923_151800_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
25,google_sheet_20250923_151811.xlsx,Временный файл,google_sheet_20250923_151811,google_sheet_20250923_151811_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
26,google_sheet_20250923_151819.xlsx,Временный файл,google_sheet_20250923_151819,google_sheet_20250923_151819_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
27,google_sheet_20250923_151824.xlsx,Временный файл,google_sheet_20250923_151824,google_sheet_20250923_151824_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
28,google_sheet_20250923_151834.xlsx,Временный файл,google_sheet_20250923_151834,google_sheet_20250923_151834_normalized.xlsx,,,,,,0,,Вставьте ссылку на Google Sheets
