,"Manager:  
Email: 
Phone: ",,,,,,,,
Photo,Name,Description,Custom,"Quantity, pcs","Price per item, including air delivery to Dubai	",,,"Sample price (does not include delivery cost), $",Add Photos
,,,,,"Price per item, $","Price per item, AED",Circulation period,,
,Umbrella,"Material: Umbrella frame made of aluminum alloy + polyester fabric
Size: 3m round center column umbrella, Total height: 2.47 m, Pole height: 2.23 m
Package: individual package","Design: 3m round center column umbrella, aluminum alloy umbrella frame, center column 38*2.0mm, spokes 17*22*1.1mm, eight spokes, with ordinary plastic umbrella plate, yarn-dyed fabric, 280g, two-color printing",30,"416,34","1 529,18","Production: 10 calendar days
+ Delivery:  15 calendar days","378,36",
,,,,,,,,,
,Umbrella,"Material: Umbrella frame made of aluminum alloy + polyester fabric
Size: 3m round center column umbrella, Total height: 2.47 m, Pole height: 2.23 m
Package: individual package","Design: 3m round center column umbrella, aluminum alloy umbrella frame, center column 38*2.0mm, spokes 17*22*1.1mm, eight spokes, with ordinary plastic umbrella plate, yarn-dyed fabric, 280g, two-color printing",30,"235,84",,"Production:  10 calendar days
+ Delivery:  65 calendar days","378,36",
,,,,,,,,,
,"
swimming circle","Material: 0.18mm pvc
Size: 110-120cm diameter
Package: opp bag","Design: 
stock red and white colors, gold line stamp, logo one color",100,"35,93",,"Production: 20-25 calendar days
+ Delivery:  15 calendar days","150,00",
,,,,,,,,,
,ball,"Material: 0.18mm pvc
Size: 70см 
Package: opp bag","Design: 
stock red and white colors, gold line stamp, logo one color",100,"31,32",,"Production: 20-25 calendar days
+ Delivery:  15 calendar days","150,00",
,,,,,,,,,
,"""
swimming circle
","Material:  pvc
Size: 250*180cm 
Package: opp bag","Design: 
stock,  make logo 
minimum order 1000 pieces",10,"59,,4",,"Production: 20-25 calendar days
+ Delivery:  15 calendar days","80,00",
,,,,,,,,,
,Towel 190*80,"Material:  microfiber
Size: 190*80 cm
Package: opp bag","Design: 
 
red towel with logo one color",300,"12,99",,"Production: 7-10 calendar days
+ Delivery:  15 calendar days","120,00",
,,,,,,,,,
,Towel 100*50,"Material:  microfiber
Size: 100*50cm 
Package: opp bag","Design: 

red towel with logo one color",400,"4,98",,"Production: 7-10 calendar days
+ Delivery:  15 calendar days","120,00",
,,,,,,,,,
,Towel 190*80,"Material:  cotton
Size: 190*80 cm
Package: opp bag","Design: 
 
red towel with logo one color",300,"30,71",,"Production: 18-20 calendar days
+ Delivery:  15 calendar days","209,00",
,,,,,,,,,
,Towel 100*50,"Material:  cotton
Size: 100*50cm 
Package: opp bag","Design: 

red towel with logo one color",400,"11,19",,"Production: 18-20 calendar days
+ Delivery:  15 calendar days","140,00",
,,,,,,,,,
,pillow,"Material: polyester
Size: 45*45cm
Package: opp bag","Design: 
stock red and white colors, logo two colors",100,"14,29",,"Production: 10 calendar days
+ Delivery:  15 calendar days","150,00",
