,"Manager:  
Email: 
Phone: ",,,,,,,,,
Photo,Name,Description,Custom,"Quantity, pcs","Price per item, including air delivery to Dubai	",,,"Sample price (does not include delivery cost), $",Add Photos,
,,,,,"Price per item, $","Price per item, AED",Circulation period,,,
,Bottle,"Material: stainless steel
Size: 27*7cm
Volume: 500ml
Color: black
Package: customized factory box",Design: engraving 3 different logo,650,"10,10",,"Production: 25 calendar days
+ Delivery: 15-20 calendar days","114,30",,https://detail.1688.com/offer/672809867669.html?spm=a21lca.1688_web_im.0.0汇赢工贸
,Powerbank,"Material: metal
Size: 105*69*15mm
10000mAh, magsafe
Color: black
Package: factory packaging

Add customized gift box ~ +35$ to price per item",Design: silk screen printing 3 different logo,650,"32,22",,"Production: 15 calendar days
+ Delivery: 15-20 calendar days","114,25",,https://detail.1688.com/offer/897618692363.html?spm=a21lca.1688_web_im.0.0续航达
,USB flash drive,"Material: metal
Size: 57*19mm
Color: black
Package: customized gift box 3 different logo

32GB",Design: engraving 3 different logo,450,"8,06",,"Production: 15 calendar days
+ Delivery: 15-20 calendar days","129,59",,https://detail.1688.com/offer/41329261590.html?spm=a26352.b28411319.offerlist.10.648f1e62gF7NN3&cosite=-&tracelog=p4p&_p_isad=1&clickid=00f25461a77c45158a9c982f8bef3491&sessionid=cad68aadb75e939eaaba33a6331d3f55盛科威电子
,,"Material: metal
Size: 57*19mm
Color: black
Package: customized gift box 3 different logo

64GB",,450,"8,74",,,,,
,Lanyard,"Material: polyester, metal
Size: 2*100cm
Package: factory package","Design: color selection from the factory's assortment, custom-shaped buckle 1 mold",100,"14,75",,"Production: 40-45 calendar days
+ Delivery: 15-20 calendar days","826,62
(mold cost)",,"ссылки нет, шьем с нуля"
,Planner,"Material: PU
Size: A5
Color: black
Package: customized gift box",Design: embossing 2 different logo ,750,"17,41",,"Production: 20 calendar days
+ Delivery: 15-20 calendar days","156,76",,"посчитано изготовление с нуля как на картинке
за реф можно взять вот это: https://detail.1688.com/offer/861584722937.html?spm=a26352.b28411319.offerlist.203.43401e62IEjaXi"
,Laptop bag,"Material: PU
Size: 39*29*4,5cm
Color: black
Package: ",Design: silk screen printing or thermal transfer printing logo 1 color,50,"34,80",,"Production: 15 calendar days
+ Delivery: 15-20 calendar days","114,60",,https://detail.1688.com/offer/709192012181.html?spm=a26352.13672862.offerlist.32.d0cf1e62FFWIlN九千猫
,Gift set (cardholder+USB+Keyring),"Material: PU, metal
Size: ~20*12*5cm
Color: black
Package: customized gift box

Price is approximate, accurate calculation after providing layout ",Design: logo on every product,100,"52,25",,"Production: 25-30 calendar days
+ Delivery: 15-20 calendar days","693,66",,"собираем набор с нуля (ссылки на флешки, кардхолдеры и брелки в других строках)"
,Cardholder,"Material: PU
Size: 10*7
Color: black
Package: factory packaging
 ",Design: embossing logo,400,"4,35",,"Production: 25-30 calendar days
+ Delivery: 15-20 calendar days","79,44",,https://detail.1688.com/offer/720776553917.html?spm=a26352.b28411319.offerlist.58.4b411e624g2icn
,Cap,"Material: Polyester
Size: 58cm diameter
Color: black
Package: factory packaging
 ",Design: Embroidery logo,600,"10,84",,"Production: 25-30 calendar days
+ Delivery: 15-20 calendar days","213,00",,https://detail.1688.com/offer/781505590631.html?spm=a26352.b28411319.offerlist.61.f8611e62kQm63k
,Pen,"Material: Metal, plastic
Size: 146*14мм
Color: silver
Package: custom packaging
 ","Design: 
Monochrome printing
Aluminum rod laser engraving
Two color printing
QR code printing
Steel pole laser engraving
Copper rod laser engraving
hot silver
hot stamping
Thermal transfer

",1400,"5,76",,"Production: 20-25 calendar days
+ Delivery: 15-20 calendar days","185,00",,https://detail.1688.com/offer/646801274793.html?spm=a21lca.1688_web_im.0.0
,Headphones,"Material: PU
Size: 28*6*18cm
Color: black
Package: custom packaging
 ",Design: factory design,50,"33,63",,"Production: 3-5 calendar days
+ Delivery: 15-20 calendar days","54,00",,https://detail.1688.com/offer/811083198318.html?spm=a26352.b28411319.offerlist.47.2fb21e62IljNSg
,Air freshener,"Material: PU
Size: 6*6*2cm
Color: black
Package: factory packaging
 ",Design: silkscreen printing logo,1300,"3,54",,"Production: 15-20 calendar days
+ Delivery: 15-20 calendar days","104,00",,https://detail.1688.com/offer/797087208698.html?spm=a21lca.1688_web_im.0.0国尊五金皮革制品
,Key ring,"Material: PU
Size: 130*20*8 mm 
Color: black
Package: factory packaging
 ",Design: silkscreen printing and laser engraving of logo,950,"3,24",,"Production: 15-20 calendar days
+ Delivery: 15-20 calendar days","142,00",,https://detail.1688.com/offer/639901247399.html?spm=a26352.b28411319.offerlist.1.7b8b1e62djMIIU&cosite=-&tracelog=p4p&_p_isad=1&clickid=2b1931822f174919a89007e4ffd725b1&sessionid=dead1cb5543967befd087c3aa4995624
,Golf Set,"Material: leather, polyester
Size: individual
Color: white
Package:  Custom packaging
 ","Design: gloves- factory design, cap- embroidery logo",50,"81,52",,"Production: 25-30 calendar days
+ Delivery: 15-20 calendar days","400,00",,"https://detail.1688.com/offer/825940928412.html?spm=a21lca.1688_web_im.0.0

https://detail.1688.com/offer/781505590631.html?spm=a26352.b28411319.offerlist.61.f8611e62kQm63k"
