,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Сумка,"Материал: оксфород
Размер: 51х30х30 см
Упаковка: опп
", Дизайн: сток,500/800/1000,"49,1","4176,6",30-35,,,,10 500,3,13-15,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,Ручка,"Материал: металл
Размер: 2x4x18 см
Примечание от фабрики: универсальная ручка, концом можно разбивать стёкла

 

Возможно потребуется оформление доп.документов
80.000-100.000 ₽ ", Дизайн: кастом картонной подложки,500,"6,0","506,5",35-40,,,,5 000,3,13-15,
,,,,800,"5,5","464,2",35-40,,,,,,,
,,,,1000,"5,3","450,1",35-40,,,,,,,
 ,Ручка - отвертка,"Материал: металл
Размер:  10,7х1,4 см
Примечание от фабрики: универсальная отвертка в форме ручки (насадки см.доп фото)
 

Возможно потребуется оформление доп.документов
80.000-100.000 ₽ ", Дизайн: кастом картонной подложки,500,"3,6","307,4",35-40,,,,5 000,3,13-15,
,,,,800,"3,2","275,0",35-40,,,,,,,
,,,,1000,"3,1","260,9",35-40,,,,,,,
 ,Ручка ,"Материал: металл
Размер: 15 см
Примечание от фабрики: универсальная ручка, с уровнем
 

Возможно потребуется оформление доп.документов
80.000-100.000 ₽ ", Дизайн: кастом картонной подложки,500,"2,7","298,7",35-40,,,,5 000,3,13-15,
,,,,800,"2,2","190,0",35-40,,,,,,,
,,,,1000,"2,1","175,9",35-40,,,,,,,
 ,Универсальная линейка,"Материал: металл
Размер: 7x4,5 см
Примечание от фабрики: универсальная линейка (можно использовать как открывашку, мини пилу)

Возможно потребуется оформление доп.документов
80.000-100.000 ₽ ", Дизайн: кастом картонной подложки,500,"2,7","232,3",35-40,,,,5 000,3,13-15,
,,,,800,"2,2","190,0",35-40,,,,,,,
,,,,1000,"2,1","175,9",35-40,,,,,,,
 ,Универсальная отвертка,"Материал: металл
Размер: 7,8х3,4 см
Примечание от фабрики: универсальная отвертка (складной нож, и мини пила)

Возможно потребуется оформление доп.документов
80.000-100.000 ₽ ", Дизайн: кастом картонной подложки,500,"11,8","1001,6",60-65,,,,5 000,3,13-15,
,,,,800,"9,3","791,5",60-65,,,,,,,
,,,,1000,"8,5","721,4",60-65,,,,,,,
 ,Инженерная ручка,"Материал: металл
Размер: 12,1 см
Примечание от фабрики: компактная инженерная ручка

Возможно потребуется оформление доп.документов
80.000-100.000 ₽ ", Дизайн: кастом картонной подложки,500,"3,6","306,3",35-40,,,,5 000,3,13-15,
,,,,800,"3,1","264,0",35-40,,,,,,,
,,,,1000,"2,9","249,9",35-40,,,,,,,
