ID_Оффера,ID_Товара,ID_Проекта,Название_Проекта,Quantity_OLD,Маршрут,Price_USD,Price_RUB
1,6,85,[Просчет-РФ] Лампы,20000,Доставка ЖД,36.6,3186.7
2,6,85,[Просчет-РФ] Лампы,20000,Доставка АВИА,38.8,3389.9
25,8,120,[Просчет] Авито / Авито 01-08-2025,3250,Доставка ЖД,0.3,25.5
26,8,120,[Просчет] Авито / Авито 01-08-2025,3250,Доставка АВИА,0.4,29.9
27,9,120,[Просчет] Авито / Авито 01-08-2025,3100,Доставка ЖД,1.03,86.9
28,9,120,[Просчет] Авито / Авито 01-08-2025,3100,Доставка АВИА,1.37,115.17
29,10,120,[Просчет] Авито / Авито 01-08-2025,3100,Доставка ЖД,1.72,144.65
30,10,120,[Просчет] Авито / Авито 01-08-2025,3100,Доставка АВИА,2.06,172.92
31,11,120,[Просчет] Авито / Авито 01-08-2025,3100,Доставка ЖД,2.13,179.05
32,11,120,[Просчет] Авито / Авито 01-08-2025,3100,Доставка АВИА,2.47,207.32
37,14,120,[Просчет] Авито / Авито 01-08-2025,3100,Доставка ЖД,12.9,1081.6
38,14,120,[Просчет] Авито / Авито 01-08-2025,3100,Доставка АВИА,16.7,1401.7
39,15,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",1000,Доставка АВИА,1.5,131.6
40,15,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",3000,Доставка АВИА,1.3,112.4
41,15,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",5000,Доставка АВИА,1.2,106.9
42,15,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка ЖД,0.7,58.1
43,15,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка АВИА,0.7,62.4
44,16,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",1000,Доставка АВИА,6.9,605.9
45,16,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",3000,Доставка АВИА,6.6,577.6
46,16,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",5000,Доставка ЖД,3.7,318.1
47,16,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",5000,Доставка АВИА,4.1,346.2
48,16,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка ЖД,3.5,297.5
49,16,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка АВИА,3.8,324.1
50,17,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",1000,Доставка АВИА,4.3,384.3
51,17,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",3000,Доставка АВИА,4.1,361.9
52,17,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",5000,Доставка АВИА,3.9,349.7
53,17,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка ЖД,1.9,165.3
54,17,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка АВИА,2.2,187.1
55,18,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",1000,Доставка АВИА,1.5,133.5
56,18,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",3000,Доставка АВИА,1.3,117.7
57,18,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",5000,Доставка АВИА,1.3,112.1
58,18,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка ЖД,0.7,59.4
59,18,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка АВИА,0.8,64.5
60,19,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",1000,Доставка АВИА,1.5,135.6
61,19,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",3000,Доставка АВИА,1.3,117.4
62,19,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",5000,Доставка АВИА,1.2,111.9
63,19,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка ЖД,0.7,64.1
64,19,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",33750,Доставка АВИА,0.7,71.4
65,20,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",1000,Доставка АВИА,2.1,178.4
66,20,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",3000,Доставка АВИА,1.8,156.9
67,20,128,"[Просчет] ООО ""КГИ"" / Мерч для конференций (бирки для чемоданов, ремешки)_100-300-500 шт_ВК_КГИ_MegaMind 29-07-2025",5000,Доставка АВИА,1.7,150.3
