image_id,product_id,sheet_id,position,image_type,row_number,product_name
1378,493,108-zZ8pwdygh44fBfKCJjTOdakEFOvJrUWAYaqRRjCo,A7,1,7,Брелок с карабином
19532,6707,10-mNIV1Bgj5BCmb7Oqe_w4JJyqSEMCpBkLvntTuNdhM,O5,0,5,Ведро для льда 2 (другая фабрика)
19574,6721,10saY1-_x2vUTZq24QcSTxprZ-ZCkNS8stlHjqAa3B4Y,P25,0,25,Игрушки
15461,5320,11Sduh8mJiC9BjSj1hm7B28dKBUf6x8Vtf19n46MGSAI,A4,1,4,Дизайн: сток
10399,3612,11TV5PkbSvWsp2wXQsY94dBL8-6wtTgYUAOKJzy82Ja8,A4,1,4,Дизайн: печать лого одноцвет
4256,,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A1,1,,
4221,1484,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A10,1,10,Кружка со складкной ручкой
4191,1485,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A12,1,12,Кружка
4192,1486,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A14,1,14,Кружка
4193,1487,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A16,1,16,Кружка
4195,1488,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A18,1,18,кружка+чайник
4194,1488,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A18,1,18,кружка+чайник
4196,1489,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A20,1,20,кружка+ложка+блюдце
4198,1490,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A22,1,22,кружка (под изготовление)
4197,1490,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A22,1,22,кружка (под изготовление)
4199,1491,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A24,1,24,кружка
4216,1492,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A26,1,26,Термохромная бутылка
4222,1493,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A27,1,27,Ионизирующая бутылка
4225,1494,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A28,1,28,Термокружка
4236,1495,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A30,1,30,Стакан
4240,1496,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A31,1,31,термос
4242,1497,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A33,1,33,термос
4244,1498,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A35,1,35,термос
4250,1499,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A37,1,37,термос для заварки чая с кейсом
4253,1500,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A39,1,39,термос
4188,1481,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A4,1,4,Кружка
4189,1482,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A6,1,6,Кружка
4190,1483,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,A8,1,8,Кружка со складкной ручкой
4208,1485,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O12,0,12,Кружка
4207,1485,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O12,0,12,Кружка
4205,1486,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O14,0,14,Кружка
4206,1486,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O14,0,14,Кружка
4203,1488,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O18,0,18,кружка+чайник
4204,1488,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O18,0,18,кружка+чайник
4220,1489,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O20,0,20,кружка+ложка+блюдце
4202,1489,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O20,0,20,кружка+ложка+блюдце
4200,1491,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O24,0,24,кружка
4201,1491,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O24,0,24,кружка
4218,1492,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O26,0,26,Термохромная бутылка
4217,1492,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O26,0,26,Термохромная бутылка
4224,1493,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O27,0,27,Ионизирующая бутылка
4223,1493,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O27,0,27,Ионизирующая бутылка
4234,1494,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O28,0,28,Термокружка
4226,1494,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O28,0,28,Термокружка
4227,1494,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O28,0,28,Термокружка
4230,1494,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O28,0,28,Термокружка
4231,1494,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O28,0,28,Термокружка
