sheet_id,position,suffix,duplicate_count,total_size_mb,sizes_mb,same_size
1jo8Jw-2KjxJ2VadiICnE0XIRLC8Ch_mm7je3nDQj3qE,N4,,20,17.99,2.27 | 2.19 | 1.73 | 1.66 | 1.59 | 1.52 | 1.52 | 1.23 | 1.03 | 0.94 | 0.79 | 0.68 | 0.51 | 0.10 | 0.06 | 0.05 | 0.04 | 0.04 | 0.02 | 0.01,НЕТ
1zyo0pjdyI5DGqN4HMqY3HbQcRcodchXevio1Rq1OvsY,O5,,16,6.14,0.76 | 0.73 | 0.68 | 0.51 | 0.41 | 0.37 | 0.35 | 0.34 | 0.32 | 0.29 | 0.29 | 0.27 | 0.26 | 0.23 | 0.22 | 0.13,НЕТ
1n4K-m2V5ZLLrE6xDGOCNjLzTtBjnwrvnsTCHeTv8CoE,N4,,13,34.44,3.03 | 2.98 | 2.98 | 2.97 | 2.91 | 2.82 | 2.80 | 2.78 | 2.69 | 2.67 | 2.62 | 2.54 | 0.65,НЕТ
1fdXv_hqjg5JT6R2PEMQsSdN5sg2HK_gu9xRqlJIraFo,O6,,12,14.10,2.12 | 2.11 | 2.09 | 1.89 | 1.31 | 1.17 | 1.02 | 0.97 | 0.84 | 0.25 | 0.22 | 0.11,НЕТ
1l7nOweYpO_hVhTWTuO9MCqiC907Gu0QrzrUbBQbC9GE,O15,,12,16.14,1.74 | 1.60 | 1.56 | 1.55 | 1.48 | 1.40 | 1.36 | 1.21 | 1.17 | 1.07 | 1.07 | 0.93,НЕТ
1,Q11,,12,9.29,1.65 | 1.51 | 1.50 | 1.48 | 0.58 | 0.50 | 0.48 | 0.46 | 0.33 | 0.33 | 0.30 | 0.17,НЕТ
18nI13amTWNCFDayRYVp6NRtFaryzT1rpZI_sWUmbbEY,O4,,12,5.25,0.85 | 0.67 | 0.51 | 0.44 | 0.44 | 0.43 | 0.43 | 0.39 | 0.36 | 0.30 | 0.23 | 0.22,НЕТ
1l7nOweYpO_hVhTWTuO9MCqiC907Gu0QrzrUbBQbC9GE,O4,,11,9.49,1.61 | 1.55 | 1.37 | 1.21 | 1.18 | 0.92 | 0.89 | 0.23 | 0.21 | 0.20 | 0.12,НЕТ
1ppbZkChuQc6cphgLYTQmpcNhZzBSNtF8xnKvc9Gq9rM,K12,,11,4.10,0.63 | 0.57 | 0.54 | 0.45 | 0.43 | 0.38 | 0.28 | 0.25 | 0.25 | 0.24 | 0.08,НЕТ
1h8-Bj9psOYF2gY3bxqfq1nbHxYwRntvJ2cmBDu_V0mw,O4,,11,3.32,0.47 | 0.43 | 0.41 | 0.41 | 0.38 | 0.38 | 0.33 | 0.16 | 0.14 | 0.10 | 0.10,НЕТ
1ysFXSRvMLSFoPxLVC,R4,,10,29.29,3.70 | 3.69 | 3.63 | 3.53 | 3.40 | 3.31 | 3.03 | 2.81 | 1.16 | 1.03,НЕТ
12tu-z8_6nCnSZevcDdsxJLLZpRg6-TkrPAKzuTaYwAk,N25,,10,13.36,2.78 | 2.72 | 2.66 | 1.40 | 1.15 | 1.01 | 0.59 | 0.56 | 0.26 | 0.24,НЕТ
1gAcBWG33oMt0Q8jmafFI-7e6uLIetyd22PuPcHwx30M,O6,,10,15.28,2.57 | 2.53 | 1.81 | 1.81 | 1.31 | 1.30 | 1.12 | 1.08 | 0.95 | 0.80,НЕТ
1ThnlYwTs8WGVOt3se1KPkZyMZUr1WfRwOlDgkI0qAvI,O12,,10,9.15,1.93 | 1.40 | 1.40 | 1.12 | 1.09 | 1.04 | 0.88 | 0.21 | 0.05 | 0.03,НЕТ
1k7PezR5QghcvL_kcBcNdaaa0rFLbk5Jnwt6PUKfICa8,N16,,10,2.08,1.14 | 0.29 | 0.08 | 0.08 | 0.08 | 0.08 | 0.08 | 0.08 | 0.08 | 0.08,НЕТ
1_2nnXBrpNq0gZNq3oqirdDpRIAYTgL5BOD_0LsbyQgI,N4,,10,5.34,0.79 | 0.64 | 0.62 | 0.61 | 0.57 | 0.52 | 0.43 | 0.40 | 0.40 | 0.35,НЕТ
1d7nEnxSHNbFbUYzdNJ76QEgEpjPEHJ9Ai3Bk7TEFTXc,O16,,10,2.40,0.63 | 0.54 | 0.25 | 0.21 | 0.20 | 0.19 | 0.18 | 0.09 | 0.06 | 0.05,НЕТ
1Pa_WJPt_QoIy_F4MaiHStqnLVTa_XpgXvP1jHdSwQlY,O18,,10,3.88,0.61 | 0.56 | 0.56 | 0.54 | 0.33 | 0.33 | 0.29 | 0.23 | 0.23 | 0.20,НЕТ
