product_id,project_id,project_name,product_name,row_number,duplicate_number,group_size,action
14401,20,[Просчет-РФ] Елизавета / Куб-антистресс 27-08-2025,Куб-антистресс,13,1,2,KEEP
14402,20,[Просчет-РФ] Елизавета / Куб-антистресс 27-08-2025,Куб-антистресс,15,2,2,DELETE
14615,90,[Просчет-РФ] Настя ЯМ / Пакеты Яндекс Ультима,Пакет L,4,1,2,KEEP
14619,90,[Просчет-РФ] Настя ЯМ / Пакеты Яндекс Ультима,Пакет L,17,2,2,DELETE
14616,90,[Просчет-РФ] Настя ЯМ / Пакеты Яндекс Ультима,Пакет M,7,1,2,KEEP
14620,90,[Просчет-РФ] Настя ЯМ / Пакеты Яндекс Ультима,Пакет M,20,2,2,DELETE
14617,90,[Просчет-РФ] Настя ЯМ / Пакеты Яндекс Ультима,Пакет S,10,1,2,KEEP
14621,90,[Просчет-РФ] Настя ЯМ / Пакеты Яндекс Ультима,Пакет S,23,2,2,DELETE
14652,104,[Просчет-РФ] Яндекс_лего Ровер,Конструктор,4,1,2,KEEP
14654,104,[Просчет-РФ] Яндекс_лего Ровер,Конструктор,11,2,2,DELETE
36,146,[Просчет] Екатерина Елагина / фарфор 500 и 100 24-07-2025,Елочное украшение,11,1,2,KEEP
37,146,[Просчет] Екатерина Елагина / фарфор 500 и 100 24-07-2025,Елочное украшение,12,2,2,DELETE
44,154,"[Просчет] ООО ""ХЭДКОРН"" / Шнурок + чехол для телефона универсальный 24-07-2025",Дизайн: печать лого,5,1,2,KEEP
46,154,"[Просчет] ООО ""ХЭДКОРН"" / Шнурок + чехол для телефона универсальный 24-07-2025",Дизайн: печать лого,7,2,2,DELETE
72,164,[Просчет] Ольга Стародубцева Иллан / тапочки/антистресс/плед-пончо/очки_100-300_ОТП Банк_КГИ_ММ 22-07-2025,Антистресс,33,1,2,KEEP
73,164,[Просчет] Ольга Стародубцева Иллан / тапочки/антистресс/плед-пончо/очки_100-300_ОТП Банк_КГИ_ММ 22-07-2025,Антистресс,35,2,2,DELETE
14806,165,[Просчет-Межд] Брендированные шлемы для вело-курьеров Яндекс GO Еда в Казахстане,Шлем,4,1,2,KEEP
14807,165,[Просчет-Межд] Брендированные шлемы для вело-курьеров Яндекс GO Еда в Казахстане,Шлем,12,2,2,DELETE
94,187,[Просчет-РФ] Ваня Бочаров / Фестиваль MEDIA LAB FEST 16-07-2025,Ручка,24,1,2,KEEP
95,187,[Просчет-РФ] Ваня Бочаров / Фестиваль MEDIA LAB FEST 16-07-2025,Ручка,26,2,2,DELETE
107,188,[Просчет] Лаура Гугкаева / чайные пары 16-07-2025,Чайная пара,6,1,6,KEEP
108,188,[Просчет] Лаура Гугкаева / чайные пары 16-07-2025,Чайная пара,8,2,6,DELETE
109,188,[Просчет] Лаура Гугкаева / чайные пары 16-07-2025,Чайная пара,10,3,6,DELETE
110,188,[Просчет] Лаура Гугкаева / чайные пары 16-07-2025,Чайная пара,12,4,6,DELETE
112,188,[Просчет] Лаура Гугкаева / чайные пары 16-07-2025,Чайная пара,16,5,6,DELETE
113,188,[Просчет] Лаура Гугкаева / чайные пары 16-07-2025,Чайная пара,18,6,6,DELETE
149,206,[Просчет-РФ] Лена Иллан/Ежедневники ОМК повтор,Ежедневник А4,5,1,2,KEEP
151,206,[Просчет-РФ] Лена Иллан/Ежедневники ОМК повтор,Ежедневник А4,7,2,2,DELETE
148,206,[Просчет-РФ] Лена Иллан/Ежедневники ОМК повтор,Ежедневник А5,4,1,2,KEEP
150,206,[Просчет-РФ] Лена Иллан/Ежедневники ОМК повтор,Ежедневник А5,6,2,2,DELETE
247,245,[Просчет] Полина Вальницкая / Расчет (Универсальная позиция)_ежедневник_от 50 до 5000 шт_МТС_КГИ (Каталог НГ)_ ММ 03-07-2025,Ежедневник,4,1,2,KEEP
248,245,[Просчет] Полина Вальницкая / Расчет (Универсальная позиция)_ежедневник_от 50 до 5000 шт_МТС_КГИ (Каталог НГ)_ ММ 03-07-2025,Ежедневник,11,2,2,DELETE
14969,300,[Просчет] Елизавета Шелопаева / хрусталь 15-08-2025,Елочная игрушка,11,1,3,KEEP
14971,300,[Просчет] Елизавета Шелопаева / хрусталь 15-08-2025,Елочная игрушка,13,2,3,DELETE
14972,300,[Просчет] Елизавета Шелопаева / хрусталь 15-08-2025,Елочная игрушка,14,3,3,DELETE
15019,314,[Просчет] Юлия Жерихова / Расчет_Чехлы для пропуска_ПСБ_КГИ 11-08-2025,Картхолдер,5,1,2,KEEP
15020,314,[Просчет] Юлия Жерихова / Расчет_Чехлы для пропуска_ПСБ_КГИ 11-08-2025,Картхолдер,6,2,2,DELETE
15108,348,[Просчет] Татьяна Тихонова / зонт_3500_gala-group_КГИ_ММ 01-08-2025,Зонт,4,1,2,KEEP
15109,348,[Просчет] Татьяна Тихонова / зонт_3500_gala-group_КГИ_ММ 01-08-2025,Зонт,5,2,2,DELETE
15157,359,[Просчет] Кирилл Вихров / наборы_50 шт_ПСБ_ММ 30-07-2025,Горелка,9,1,2,KEEP
15158,359,[Просчет] Кирилл Вихров / наборы_50 шт_ПСБ_ММ 30-07-2025,Горелка,10,2,2,DELETE
