Все кандидаты на Шаблон 6 (заголовки в строке 2)
Всего файлов: 647

   25 |  34 cols | 1001 rows | project_25_1CZAC0TACrXr-5VS1CFs8I3MzQNe3lsn8frsHJjGTZ5c.xlsx
   30 |  30 cols | 1001 rows | project_30_1FHHpsQJR-N_20w4mas6ggIDB7PCzqr4hv_kc8602ok0.xlsx
   35 |  34 cols | 1001 rows | project_35_18cySstGyzUidUc8zu284rllk9gdXeNW1jLqFtGKbXT4.xlsx
   36 |  36 cols | 1003 rows | project_36_1czLDW19XjGULToYP5JCf33JveiqPbYyzjHVo2HrJMgY.xlsx
   38 |  36 cols | 1003 rows | project_38_1FIAT6riAGCmfxXX6QgPYQgYY0g2Gs3h1cy0yDyi46DQ.xlsx
   42 |  30 cols | 1001 rows | project_42_1cZj2reaukt6BxwZ99Q-mA7Bwxj_KR3Dmh2Y3Q4g5vng.xlsx
   54 |  35 cols | 1006 rows | project_54_15osNwDb2Cv3y3L7B1I55PW8zjxKc9dAeJbFlNHtFS08.xlsx
   64 |  34 cols | 1000 rows | project_64_1k_FsXsBfRWs4Vf4N4EkczlhVADdRGF980tiRJtNNHY4.xlsx
   76 |  30 cols | 1001 rows | project_76_18Bic-w40JZs1MxD7aLrWDqSrsb8DvSKTktZAiCDKiXY.xlsx
   92 |  27 cols | 1000 rows | project_92_1bYebVLNlFxPTiqlrjzSqefsHBy6qReZ702_2VZg3JNA.xlsx
   97 |  34 cols | 1001 rows | project_97_1Qv3JQHzKM7Ec6hd6FuRBVyxRvrQImia424KTN8vOOB4.xlsx
   99 |  29 cols | 1007 rows | project_99_1eoy7zkfE_kwkMZuJnWpuVutqM3GGSGHeQh-CvbXjUn4.xlsx
  117 |  30 cols | 1000 rows | project_117_1vDZKVaGrJRklSV96etwEjI1vZwJ5DdXJr4dvjMSJtsQ.xlsx
  127 |  30 cols | 1000 rows | project_127_1RCbt6Th-rMAZodVR4tTrTyJlb2ODlLX1VxiBTGUC58M.xlsx
  142 |  43 cols |  948 rows | project_142_1EV1-dVVP9vfZnQiHEAIVpVXSeyZio_3y-SqlLlovQpQ.xlsx
  156 |  35 cols | 1000 rows | project_156_1NWxa4T7StiIzi0mI61zVuhSv7BuSnZOOEjLfHrRofwg.xlsx
  172 |  33 cols | 1003 rows | project_172_1tBdSB78SPTE9-2ngy2pnpb_DQwuKZAGoRFaubpdlaAs.xlsx
  195 |  33 cols | 1009 rows | project_195_1rqgE7SwYCDyipami5HsRKimDSzYxHYLg8uDTXO55Ih0.xlsx
  215 |  34 cols | 1001 rows | project_215_1f5kV8wXRoxBdYLgtVuCtBVW4DsNpfkbZMIWTMQPhMq8.xlsx
  222 |  34 cols | 1024 rows | project_222_18W_U4wSYDzRNrT7bPEou2FlcIruVAE4soZ5-x1mUg7s.xlsx
  240 |  33 cols |  974 rows | project_240_1gR7Ovx5N32XmjPpqhjHPCdeh7Qxe_qtx7XOkapaQb-Q.xlsx
  248 |  33 cols | 1006 rows | project_248_1iB1J0TJevoHzrduqeySqO6gI_xLdhSDV9jxOdKICDY8.xlsx
  263 |  30 cols | 1000 rows | project_263_17wz0pQAUXFi0DyimaUFLVHVZoJRs3XA2NoJe580ts38.xlsx
  275 |  36 cols |  999 rows | project_275_1AVuyun1CyfCekMq5WAKVUM2nnPYxxB1ntPXt0OadidI.xlsx
  279 |  29 cols | 1027 rows | project_279_1fgWVp6XOOYmc-VuSdMTrGZzF0S8vloAE-yHjxVHOlCE.xlsx
  292 |  33 cols | 1004 rows | project_292_1G84fRx-TINEznJWAYUCUXnvpwqSR13h51TU9-SV-HNU.xlsx
  293 |  35 cols |  994 rows | project_293_18x39lbdjpnWAdx6B3mptdSsjg7HMcmOtfm2SJM-Ympw.xlsx
  307 |  31 cols | 1000 rows | project_307_1fW-mK0y2m4WE_y_DaXZP2xXA6XZgHTAtPH7FaZ8h1ck.xlsx
  327 |  33 cols | 1001 rows | project_327_1i_k1wdGJDVB_NBUOR9ECzJNUV6eaINwNYR6lGvqk97A.xlsx
  346 |  30 cols | 1001 rows | project_346_13PxVoaQ_ZAl1tjkoXdXrWlqr4T_6iq7wZt4CS0yub44.xlsx
  349 |  34 cols | 1000 rows | project_349_1DA-Xp8IEGO34PQQ0n1-v-kYGCOHMFnKoy8lzqT-mTkI.xlsx
  350 |  31 cols |    4 rows | project_350_1JnRCHm7Vonh_6kFltsB8Dqs1o9Gk08c7wJae_IPzTFE.xlsx
  358 |  30 cols | 1000 rows | project_358_1pvNjN0AbeGVYV8DSKcXIRTf8CKgwY6SbMh3cJ3GmEIw.xlsx
  360 |  34 cols | 1000 rows | project_360_1PXJbY_A4RKiCeqfRBKpsgZaw2KseYYKPtS7OO1R_8PM.xlsx
  376 |  39 cols | 1004 rows | project_376_12aDZ8bFW14AxZXqcNUUvWzEH6GbfMSkNfoYSCU6bC_4.xlsx
  401 |  30 cols | 1001 rows | project_401_1VET6F_49zuS0_RpaHLAMA_0yIIUe5e_WCoZ06m36V9Q.xlsx
  403 |  32 cols | 1002 rows | project_403_1NJ_7eS1DdkklICqnq9-p-71eG6DLJRseRtPy2KXEjjo.xlsx
  414 |  32 cols | 1003 rows | project_414_1YjRAzaaOq2V8SjANC35HVKzK8HiYzvnoHeU14-E3Ygw.xlsx
  417 |  25 cols | 1000 rows | project_417_1vqjQpaEbjT_LDx84pn8wnfe1GaSMbCEw2myIbIexn1s.xlsx
  440 |  33 cols | 1000 rows | project_440_1BffNMJdqLEgZftRznjoZzRFkdFSXPWjjolib4zn_4OI.xlsx
  471 |  33 cols | 1033 rows | project_471_1QrJiLJDJOa3nhx53wf5x0MzRUqXbIJ5tN8KbVLbv6oI.xlsx
  498 |  32 cols |    5 rows | project_498_1QYwdFuGmyFRuMH-Uvu2FsYoDN7tqXgjjvJ2gMhh4qf4.xlsx
  505 |  34 cols | 1002 rows | project_505_1a4GS4vv28-91EFFYMMwtfS7jHIlZBw9-lxEWvkhWzJk.xlsx
  519 |  36 cols | 1000 rows | project_519_1YVnHrA_LJ2pKSo_eQeuqdWop_9jxL5IME4sF2HPqjPg.xlsx
  566 |  31 cols |  986 rows | project_566_1eSG3XuY_NkUj11axjuRgeViIZCymPCms5qz8OylrhgY.xlsx
  582 |  33 cols |  983 rows | project_582_1U8w5aQ9GE66MI7S9y1MyLSMtsFRzwKNmrl0PUOyZHds.xlsx
  591 |  31 cols | 1001 rows | project_591_1IVe5-W-Kn7lI3ZNz01g3001jo8wZTMkqxLXgJ7-rxoo.xlsx
  595 |  28 cols | 1001 rows | project_595_1VSAB-Bpj_KWGMGWUBexKO3BsSXl77nHi2s5U4016m6E.xlsx
  597 |  36 cols | 1001 rows | project_597_199P-cVFodNpaYBfstDhbh0yWnyo_jjZoK4NDsQ8iy30.xlsx
  635 |  37 cols |  973 rows | project_635_1HTVQculvtd1-vfrfnbMZKOwgTExF-Zft-MSa7sqQrX8.xlsx
  662 |  34 cols |  975 rows | project_662_1qcSfoCyFuMPpGYjqN0k4_0evpzN-xffYiPK_sbJwYkk.xlsx
  664 |  31 cols | 1003 rows | project_664_1Ac7-GbRMo_65gG6YdU06_AXgDN78dbnSipywR79QNz4.xlsx
  675 |  31 cols | 1000 rows | project_675_1hfGW58mtKKTXS-jwupDwU_u2bQVecK0MMvU7dFdvG0Q.xlsx
  697 |  28 cols | 1000 rows | project_697_1vuE6GFi_zfX1NLenizoqqmLDUNdnVhUdZT7ZguWTl4Q.xlsx
  709 |  36 cols | 1003 rows | project_709_1rR1TZjFYSH6SUn5PlCD2WnFuNpzv7ThljKhcRVoAMEU.xlsx
  715 |  33 cols |  945 rows | project_715_1UyjBxxHxOwpm9NUmfyIRMo1oYkjEiqfkEMKougoHsUM.xlsx
  720 |  32 cols | 1003 rows | project_720_17vHMho80N7Uud9VPz9-pi39sJiTmWiakv0QaXxCXvAo.xlsx
  740 |  33 cols | 1001 rows | project_740_1V_iVir_GiF1Ffp-pjyHxqOkpgnQc-FTV4DJwgKA8N-w.xlsx
  753 |  34 cols |  994 rows | project_753_1gAc2WocHYb-yyoQD-ecD22zvPb4dxO3qebRGKklWXSY.xlsx
  772 |  26 cols | 1000 rows | project_772_1zgE7D3fu5RQjOBOwkQL1iod5U-iIzPqhIC7N5z5JdoM.xlsx
  783 |  34 cols | 1003 rows | project_783_1B7RF52Q8OLMbhD0b6qt5p7Y19cDVHYzZYQhHXk0mox0.xlsx
  785 |  31 cols | 1005 rows | project_785_1ABMw-DM8hRH9ojo91ZCxh0gxdA0KIywHePPjYE6MlpY.xlsx
  794 |  26 cols | 1000 rows | project_794_13v9dzvEX5soFKkskMu7difbD5PuSFnAEuMDRAY2xDC0.xlsx
  798 |  28 cols |  982 rows | project_798_1dA1aVcRIrqUF8VX-rq0Prbo7HC8d73e-bo6n8UJESFU.xlsx
  820 |  36 cols | 1003 rows | project_820_1jajsxzBmF69WwGbioz2mPz1vE-029aDF1dxVY0XD-6U.xlsx
  829 |  33 cols | 1001 rows | project_829_1t800Mu7RntFKw4_j0rT_dAte6KsuPlHDbMUGzuCzjSA.xlsx
  846 |  33 cols |  986 rows | project_846_1xoMXZh9wMdCXT8LRe3NBc637QpFTVsSpnfUgRZdfea0.xlsx
  856 |  33 cols | 1002 rows | project_856_1EV6gE6x5Oozivh174IUK3ugDNYpSmzYWd6LPjw1y7xE.xlsx
  860 |  23 cols | 1003 rows | project_860_1ulzN6gAGb19uoDL9o1h5L4O2aX6MEA-A5BDkky-A7Tk.xlsx
  868 |  31 cols | 1002 rows | project_868_1FLH1lWURH2JIhP5N_501Ff0Eo5xYrXbH09nihbo3ZxE.xlsx
  883 |  34 cols |  960 rows | project_883_1x3QzRMZK5O-x72qPBFrIuMs8yjePbhmf_g9NNkd2MgM.xlsx
  899 |  34 cols |  989 rows | project_899_1VzQEBQqArdcvdLPM--TpDm0dXWUmI8zBL8VlccKJI7E.xlsx
  907 |  44 cols |  984 rows | project_907_1vIofUZn8zLAdPSUeg8o8eOezrRDFuEmIVEUc3cl0GwU.xlsx
