,"Менеджер: Тищук Анастасия
Email: tishuk.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Вид-пош,"Материал: костяной фарфор
Размер: 18*13см
Упаковка: транспортировочная
", Дизайн: цветная и золотая деколь,500,"21,0","1788,7",70-85,"23,7","2017,0",60-75,12 000,20,30-32,
,,,,1000,"19,8","1837,9",,"22,4","2087,7",,,,,
,,,,1500,"19,7","1829,6",,"22,4","2079,3",,,,,
,,,,2000,"19,6","1824,1",,"22,3","2073,8",,,,,
,,,,2500,"19,5","1810,9",,"22,2","2060,7",,,,,
 ,Емкость для хранения,"Материал: костяной фарфор
Размер: 8,5*9см
Упаковка: транспортировочная
", Дизайн: цветная и золотая деколь,500,"16,2","1379,3",70-85,"17,8","1516,2",60-75,12 000,20,30-32,
,,,,1000,"15,6","1455,0",,"17,3","1604,9",,,,,
,,,,1500,"15,5","1441,5",,"17,1","1591,3",,,,,
,,,,2000,"15,4","1428,2",,"17,0","1578,0",,,,,
,,,,2500,"15,2","1415,0",,"16,8","1564,8",,,,,
 ,Стаканчики,"Материал: костяной фарфор
Размер: высота 9 см
Упаковка: транспортировочная
"," Дизайн: золотая деколь, 3 дизайна по 500 шт



",500,"5,0","466,7",60-75,"5,6","518,7",50-65,12 000,20,30-32,
,,,,1000,"4,9","452,0",,"5,4","504,1",,,,,
,,,,1500,"4,9","412,7",,"5,4","460,3",,,,,
,,,,2000,"4,7","433,0",,"5,2","485,0",,,,,
,,,,2500,"4,6","425,0",,"5,1","477,0",,,,,
,Стаканчики прямые,"Материал: костяной фарфор
Размер: высота 7,3*6,8 см
Упаковка: транспортировочная

"," Дизайн: золотая деколь, 3 дизайна по 500 шт



",1500,"4,9","417,3",60-75,"5,5","466,8",50-65,12000 каждый дизайн,20,30-32,
 ,Чайная пара,"Материал: костяной фарфор
Размер: блюдце 15,4см,чашка 250 мл
Упаковка: транспортировочная
", Дизайн: цветная и золотая деколь,500,"16,1","1499,9",60-75,"18,1","1686,2",50-65,12 000,20,30-32,
,,,,1000,"16,0","1485,2",,"18,0","1671,6",,,,,
,,,,1500,"15,9","1476,9",,"17,9","1663,2",,,,,
,,,,2000,"15,7","1463,6",,"17,7","1649,9",,,,,
,,,,2500,"15,6","1450,4",,"17,6","1636,7",,,,,
,,,,4000,"16,0","1357,0",,"17,6","1495,8",,,,,
,,,,4000,"16,0","1357,0",,"17,6","1495,8",,,,,
 ,Чайник,"Материал: костяной фарфор
Размер: 26,5*14,5см
Упаковка: транспортировочная
", Дизайн: цветная и золотая деколь,500,"27,8","2364,9",70-85,"31,6","2684,4",60-75,12 000,20,30-32,
,,,,1000,"27,4","2546,4",,"31,1","2896,1",,,,,
,,,,1500,"27,2","2532,9",,"31,0","2882,5",,,,,
,,,,2000,"27,1","2519,6",,"30,9","2869,2",,,,,
,,,,2500,"27,0","2506,4",,"30,7","2856,0",,,,,
