,"Менеджер: Титова Алина
Email: alina@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Нагревающаяся кружка,"Материал: Нержавеющая сталь 304, пластик ПС
Размер: 130×130×100 мм
Объём: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: в набор входит: термокружка из нержавеющей стали (включая крышку) + беспроводное зарядное устройство (включая USB-кабель) + инструкция по эксплуатации + подарочная коробка. Пищевая нержавеющая сталь 304, двухслойная внутренняя вакуумная конструкция, отсутствие ржавчины. Легко чистить, крышка из пластика ПС с теплоизоляционным силиконовым уплотнительным кольцом, значительно улучшает эффект постоянной изоляции температуры, температура воды может достигать 55 градусов, Оснащен универсальным беспроводным зарядным устройством мощностью 15 Вт, хорошей теплопроводностью, тонким и элегантным внешним видом, подходит для большинства беспроводных зарядных устройств стандарта QI на рынке, более стабилен и безопасен, прост в использовании.

Необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено."," Дизайн: настройка цвета кружки и подставки в пантон, лого 1 цвет, заводская коробка с печатью по макету клиента",10000,"24,6","2654,9",80-85,"26,7","2895,4",70-75,40 000,15,25-27,
 ,"Нагревающаяся кружка

(альтернативный способ доставки)","Материал: Нержавеющая сталь 304, пластик ПС
Размер: 130×130×100 мм
Объём: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: в набор входит: термокружка из нержавеющей стали (включая крышку) + беспроводное зарядное устройство (включая USB-кабель) + инструкция по эксплуатации + подарочная коробка. Пищевая нержавеющая сталь 304, двухслойная внутренняя вакуумная конструкция, отсутствие ржавчины. Легко чистить, крышка из пластика ПС с теплоизоляционным силиконовым уплотнительным кольцом, значительно улучшает эффект постоянной изоляции температуры, температура воды может достигать 55 градусов, Оснащен универсальным беспроводным зарядным устройством мощностью 15 Вт, хорошей теплопроводностью, тонким и элегантным внешним видом, подходит для большинства беспроводных зарядных устройств стандарта QI на рынке, более стабилен и безопасен, прост в использовании.

"," Дизайн: настройка цвета кружки и подставки в пантон, лого 1 цвет, заводская коробка с печатью по макету клиента",10000,"23,4","2510,6",80-85,"25,8","2799,2",70-75,40 000,15,25-27,
 ,Нагревающаяся кружка,"Материал: Нержавеющая сталь 304, пластик ПС
Размер: 148×133×123 мм
Объём: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: в набор входит: термокружка из нержавеющей стали (включая крышку) + подставка с нагревательным элементом (включая USB-кабель) + инструкция по эксплуатации + подарочная коробка. 
Стильный и простой внешний вид, небольшое мини-светящееся (голубой свет) основание, изготовлено из двухслойной пищевой нержавеющей стали 304, не содержит бисфенол А, не ржавеет и легко чистится; встроенный МСН керамический нагревательный элемент на дне чашки, который нагревается быстрее,  основание питается от USB 5 В, имеет водонепроницаемый корпус и функцию защиты от короткого замыкания; крышка чашки имеет силиконовое уплотнительное кольцо, которое в максимальной степени герметично и пыленепроницаемо. 
Примечание: данное изделие не содержит встроенного аккумулятора и для использования должно быть подключено к зарядному устройству USB; рекомендуется использовать зарядное устройство 5 В-2 А, QC 3.0 или PD

Необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено."," Дизайн: настройка цвета кружки и подставки в пантон, лого 1 цвет, заводская коробка с печатью по макету клиента",10000,"22,1","2392,2",80-85,"24,2","2632,7",70-75,40 000,15,25-27,
 ,"Нагревающаяся кружка

(альтернативный способ доставки)","Материал: Нержавеющая сталь 304, пластик ПС
Размер: 148×133×123 мм
Объём: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: в набор входит: термокружка из нержавеющей стали (включая крышку) + подставка с нагревательным элементом (включая USB-кабель) + инструкция по эксплуатации + подарочная коробка. 
Стильный и простой внешний вид, небольшое мини-светящееся (голубой свет) основание, изготовлено из двухслойной пищевой нержавеющей стали 304, не содержит бисфенол А, не ржавеет и легко чистится; встроенный МСН керамический нагревательный элемент на дне чашки, который нагревается быстрее,  основание питается от USB 5 В, имеет водонепроницаемый корпус и функцию защиты от короткого замыкания; крышка чашки имеет силиконовое уплотнительное кольцо, которое в максимальной степени герметично и пыленепроницаемо. 
Примечание: данное изделие не содержит встроенного аккумулятора и для использования должно быть подключено к зарядному устройству USB; рекомендуется использовать зарядное устройство 5 В-2 А, QC 3.0 или PD
"," Дизайн: настройка цвета кружки и подставки в пантон, лого 1 цвет, заводская коробка с печатью по макету клиента",10000,"20,9","2247,9",80-85,"23,4","2536,5",70-75,40 000,15,25-27,
 ,Нагревающаяся кружка,"Материал: 201 нержавеющая сталь, пластик ПС
Размер: 145×150×140 мм
Объём: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: подогревающаяся кружка с функцией смешивания.
Номинальная мощность 10 Вт
Номинальное напряжение 5В
Скорость двигателя 2500
Функциональные кнопки: кнопка помешивания, кнопка поддержания температуры, постоянная температура 55 градусов
Автоматическое отключение после 8 часов непрерывной работы

Необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено."," Дизайн: настройка цвета кружки и подставки в пантон, лого 1 цвет, заводская коробка с печатью по макету клиента",10000,"30,0","3241,1",85-90,"32,8","3571,5",75-80,67 000,15,25-27,
 ,"Нагревающаяся кружка

(альтернативный способ доставки)","Материал: 201 нержавеющая сталь, пластик ПС
Размер: 145×150×140 мм
Объём: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: подогревающаяся кружка с функцией смешивания.
Номинальная мощность 10 Вт
Номинальное напряжение 5В
Скорость двигателя 2500
Функциональные кнопки: кнопка помешивания, кнопка поддержания температуры, постоянная температура 55 градусов
Автоматическое отключение после 8 часов непрерывной работы

"," Дизайн: настройка цвета кружки и подставки в пантон, лого 1 цвет, заводская коробка с печатью по макету клиента",10000,"28,3","3042,9",85-90,"31,7","3439,3",75-80,67 000,15,25-27,
 ,Нагревающаяся кружка,"Материал: алюминиевый сплав + пластик
Размер: диаметр круга: 98 мм, толщина: 8 мм
Объём: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: 
Расстояние передачи: <6 мм
Эффективность зарядки: MAX80%
Выходная мощность: беспроводная зарядка до 15 Вт; постоянный нагрев до 18 Вт
Совместимые модели: мобильные устройства, соответствующие стандарту беспроводной зарядки Qi




Необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено."," Дизайн: настройка цвета кружки и подставки в пантон, лого 1 цвет, заводская коробка с печатью по макету клиента",10000,"30,0","3241,1",65-70,"32,8","3571,5",55-60,36 000,15,25-27,
 ,"Нагревающаяся кружка

(альтернативный способ доставки)","Материал: алюминиевый сплав + пластик
Размер: диаметр круга: 98 мм, толщина: 8 мм
Объём: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: 
Расстояние передачи: <6 мм
Эффективность зарядки: MAX80%
Выходная мощность: беспроводная зарядка до 15 Вт; постоянный нагрев до 18 Вт
Совместимые модели: мобильные устройства, соответствующие стандарту беспроводной зарядки Qi



"," Дизайн: настройка цвета кружки и подставки в пантон, лого 1 цвет, заводская коробка с печатью по макету клиента",10000,"28,3","3042,9",65-70,"31,7","3439,3",55-60,36 000,15,25-27,
 ,увлажнитель-арома 1,"Материал:  ABS, PP, AS, электронные компоненты
Размер:   15*9,5*9,5*см
Емкость резервуара для воды: 120 мл
Упаковка: заводская коробка
Примечание от фабрики: рабочий ток: ≤850 мА, номинальная мощность: ≤4.5W, объем распыления: около 10-15 мл/ч, для использования: добавить воду в резервуар для воды (не превышайте макс линию уровня воды), добавить нужное количество эфирных масел, зарядка от Type-C

Требутся ДС и СС , примерная стоимость 100000 руб, не включено в стоимость.", Дизайн: выкрас в шоколадный оттенок+нанесение лого шелкографией в 1 цвет,10000,"12,81","1 398,92",65-70,"13,8","1 516,86",55-60,"67 000,00",9,19-21,
