,"Менеджер: Тищук Анастасия
Email: tishuk.a@megamind.ru
Телефон:89384630209 
",,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,
,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д."
 ,Ваза,"Размер: 13*9*16.5
Цвет серый или золотой",200-300,"16,4","1739,1",28-32,"23,5","2488,1",18-22,7 895,1,11-13
 ,Ваза,"Размер: 15*9*17
Цвет серый или золотой










",200-300,"21,3","2256,3",28-32,"29,2","3097,5",18-22,8 974,1,11-13
 ,Ваза,"Размер: 18*11*19
Цвет серый или золотой

















",200-300,"23,5","2488,0",28-32,"31,9","3386,6",18-22,9 556,1,11-13
,Ваза,"Размер: 20*12*24
Цвет серый или золотой











",200-300,"30,7","3258,0",28-32,"43,0","4555,1",18-22,12 754,1,11-13
 ,Ваза,"Размер: 19*10*28
Цвет прозрачный




",200-300,"24,8","2626,0",28-32,"31,3","3322,6",18-22,"8837,27
8895,64
",1,11-13
,,"Размер: 19*10*28
Цветной вариант




",200-300,"25,3","2684,3",28-32,"31,9","3381,0",18-22,,1,
 ,Ваза,"Размер: 14.5*8*22
Цвет прозрачный




",200-300,"15,7","1661,2",28-32,"21,3","2260,2",18-22,"6903,52
6961,89
",1,11-13
,,"Размер: 14.5*8*22
Цветной вариант



",200-300,"16,2","1719,6",28-32,"21,9","2318,6",18-22,,1,
 ,Ваза,"Размер: 18*10*27
Цвет прозрачный




",200-300,"24,8","2626,0",28-32,"31,3","3322,6",18-22,"8837,27
8895,64
",1,11-13
,,"Размер: 18*10*27
Цветной вариант



",200-300,"25,3","2684,3",28-32,"31,9","3381,0",18-22,,1,
 ,Ваза,"Размер: 14.5*8*22
Цвет прозрачный




",200-300,"15,7","1661,2",28-32,"21,3","2260,2",18-22,"6903,52
6961,89
",1,11-13
,,"Размер: 14.5*8*22
Цветной вариант



",200-300,"16,2","1719,6",28-32,"21,9","2318,6",18-22,,1,
 ,Ваза,"Размер: 19*10*27
Цвет прозрачный




",200-300,"24,8","2626,0",28-32,"31,3","3322,6",18-22,"8837,27
8895,64
",1,11-13
