,"Менеджер: Добрынин Павел
Email: paveld@megamind.ru
Телефон: 
",,,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,,
Фото,Наименование,Ссылка,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,,Доставка АВИА,,,Образец,,,,Доп. фото
,,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,коф 40% ,цена конфетса ,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,,,"Срок образца, к.д.",
 ,Ежедневник,https://detail.1688.com/offer/644559260537.html?spm=a26352.b28411319.offerlist.17.22ed1e62ypAzsJ,"Материал: PU кожа
Размер: A5
Упаковка: Индивидуальная коробка коробка
Примечание от фабрики:   листы пустые с лого клиента , кремовая плотная бумага, нахзац и форзац с девизами + лого ", Дизайн: тиснение,500,"8,8","910,0",364,"1274,0","Производство - 10 
Доставка - 20-25","11,38","1 140,11","Производство - 10 
Доставка - 15-20","11 000,00",2200,"13 200,00","Производство - 4
Доставка - 12-13",
,,,,,1000,"8,79",910,364,1274,,"11,36","1 138,41",,,0,0,,
 ,Органайзер со скребками,https://detail.1688.com/offer/617169467007.html,"Материал: пластик, бумага
Размер: 
Упаковка: Индивидуальная коробка
Цвет: Белый, серый, коричневый, черный
Примечание от фабрики: логотип расположен на передней части, нельзя забрендировать листочки", Дизайн: тампопечать,500,8,"801,59","320,636","1122,226","Производство - 7
Доставка - 20-25","9,23","925,26","Производство - 7
Доставка - 15-20","14 200,00",2840,"17 040,00","Производство - 3
Доставка - 12-13",
,,,,,1000,"7,94","795,73","318,292","1114,022",,"9,18","919,4",,,0,0,,
 ,Кофер,https://shop868855658xii6.1688.com/?spm=a26352.13672862.offerlist.11.74c51e62qKLweE,"Материал: двойные стенки из нержавеющей стали и пластиковая крышка
Объём: 350 мл
Упаковка: Индивидуальная коробка
Примечание от фабрики: ", Дизайн: шелкография,500,"5,56","557,37","222,948","780,318","Производство - 7
Доставка - 20-25","6,63","664,55","Производство - 7
Доставка - 15-20","7 400,00",1480,"8 880,00","Производство - 5
Доставка - 12-13",
,,,,,1000,"5,55","555,67","222,268","777,938",,"6,62","662,85",,,0,0,,
 ,Ежедневник,,"Материал: натуральная кожа
Примечание от фабрики:
Размер: А5
Количество страниц по макету клиента
Бумага плотная
Корешок ежедневника можно уплотнить", Дизайн: полный кастом по макету клиента,500,"36,3","3639,5","1455,8","5095,3",45-50,"38,0","3762,3",35-40,"18 700,00",3740,"22 440,00","Фото - 10 
Доставка - 10-12",
,,,,,1000,"33,29","3 336,00","1334,4","4 670,40",,"35,57","3 564,07",,,0,0,,
 ,Шоппер,,"Материал: полиэстер 100%
Примечание от фабрики: доступен выкрас по пантону клиента ", Дизайн: печать лого по маету клиента,500,"16,8","1681,9","672,744","2354,6",75-80,"18,8","1884,9",65-70,"5 000,00",1000,"6 000,00","Фото - 14
Доставка - 10-12",
,,,,,1000,"16,77","1 680,16","672,064","2 352,22",,"18,79","1 883,15",,,0,0,,
 ,Набор: вечный карандаш + ручка + 5 наконечников в коробке,https://detail.1688.com/offer/604829548868.html?spm=a26352.b28411319.offerlist.154.18351e62feVe0h,"Материал: картон + подложка ЭВА
Размер: 10,5*20,5 см
Упаковка: ОПП-пакет
Примечание от фабрики:   наконечники можно будет расположить в коробке, справа от карандаша (см. в доп.фото)"," Дизайн: лого клиента могут нанести на ручку методом лазерной гравировки; на коробке тоже могут сделать лого тинением с позолотой, либо серебром",500,"6,1","607,4","242,964","850,4","Производство 12-17 
Доставка 25-30","6,94","695,74","Производство 12-17 
Доставка 15-20","9 500,00",1900,"11 400,00","Производство 5-7
Доставка 10-12",
,,,,,1000,"5,75","576,39","230,556","806,946",,"6,63","664,73",,,0,0,,
 ,Двойной аккумулятор,https://qr.1688.com/s/MMPf56GO,"Материал: пластик
Размер: 33×38×89 мм
Упаковка: заводская коробка
Примечание от фабрики: 5200 mAh; мощность 20V", Дизайн: лого клиента могут нанести на корпус самого товара методом шелкографии; место нанесения см. в доп.фото,500,"30,0","3003,4","1201,364","4204,8","Производство 25-30
Доставка 25-30","31,23","3 129,37","Производство 25-30
Доставка 15-20","5 000,00",1000,"6 000,00","Производство 7
Доставка 10-12",
,,,,,1000,"29,66","2972,4","1188,96","4161,36",,"30,92","3 098,35",,,0,0,,
 ,Офисный набор,https://detail.1688.com/offer/657855757815.html,"Материал: PU
Упаковка: индивидуальная коробка
Примечание от фабрики: В набор входит коврик для рабочего стола 76*43 см
Лоток для бумаг 33,5*27*5,5 см
Держатель для ручек 8,7*8,7*12 см ", Дизайн: тиснение,500,"146,3",14289.43 ,#VALUE!,#VALUE!,"Производство 20
Доставка 25-30",,,"Производство 20
Доставка 15-20","19 500,00",,,"Производство 3-5
Доставка 10-12",
,,,,,1000,"131,7","12062,59 ₽","4825,036","16 887,63",,,,,,0,0,,
 ,Офисный набор,https://detail.1688.com/offer/754603501248.html,"Материал: PU
Упаковка: индивидуальная коробка
Примечание от фабрики: ", Дизайн: тиснение,500,"236,93","23 740,23","9496,092","33 236,32","Производство 12
Доставка 25-30","260,96","26 148,36","Производство 12
Доставка 15-20","43 500,00",8700,"52 200,00","Производство 7
Доставка 10-12",
,,,,,1000,"236,91","23 738,53","9495,412","33 233,94",,"260,94","26 146,66",,,0,0,,
 ,Офисный набор,https://detail.1688.com/offer/754603501248.html,"Материал: PU
Упаковка: индивидуальная коробка
Примечание от фабрики: 
1.Папка 35x25x5cm
2 держатель ручки 8x8x10cm
3.Держатель карты 11x7x5cm
4.Мышь пэд 24х20см
5.Мембо поднос 12x10x3cm
6.Настольный коврик: 60x40x0.8cm", Дизайн: тиснение,500,"153,4","15 370,34","6148,136","21 518,48","Производство 25
Доставка 25-30","178,17","17 852,67","Производство 25
Доставка 15-20","30 200,00",6040,"36 240,00","Производство 12-15
Доставка 10-12",
,,,,,1000,"153,38","15 368,64","6147,456","21 516,10",,"178,15","17 850,97",,,0,0,,
 ,Шоппер,https://detail.1688.com/offer/614807838523.html?spm=a26352.b28411319.offerlist.16.7b651e629wR3Qv,"Материал: PU
Упаковка: опп-пакет
", Дизайн: сток,500,"24,79","2 578,49","1031,396","3 609,89","Производство 25
Доставка 25-30","28,61","2 975,82","Производство 25
Доставка 15-20","9 700,00",1940,"11 640,00","Производство 5
Доставка 10-12",
,,,,,1000,"24,78","2 576,79","1030,716","3 607,51",,"28,6","2 974,12",,,0,0,,
 ,Шоппер,https://detail.1688.com/offer/694356558666.html,"Материал: PU
Упаковка: опп-пакет
", Дизайн: сток,500,"21,28","2 213,40","885,36","3 098,76","Производство 25
Доставка 25-30","25,1","2 610,73","Производство 25
Доставка 15-20","22 200,00",4440,"26 640,00","Производство 10
Доставка 10-12",
,,,,,1000,"21,27","2 211,70","884,68","3 096,38",,"25,09","2 609,03",,,0,0,,
 ,Шоппер,https://detail.1688.com/offer/657218886272.html,"Материал: PU
Упаковка: опп-пакет
", Дизайн: сток,500,"11,12","1 156,07","462,428","1 618,50","Производство 30
Доставка 25-30","12,86","1 337,33","Производство 30
Доставка 15-20","9 700,00",1940,"11 640,00","Производство 5
Доставка 10-12",
,,,,,1000,"11,1","1 154,37","461,748","1 616,12",,"12,84","1 335,63",,,0,0,,
 ,Шоппер,https://detail.1688.com/offer/657218886272.html,"Материал: PU
Упаковка: опп-пакет
Размер: 30*32*12см", Дизайн: сток,500,"9,92","1 032,20","412,88","1 445,08","Производство 18
Доставка 25-30","11,23","1 168,14","Производство 18
Доставка 15-20","3 100,00",620,"3 720,00","Производство 7
Доставка 10-12",
,,,,,1000,"9,91","1 030,50","412,2","1 442,70",,"11,22","1 166,44",,,0,0,,
 ,Офисный набор,https://detail.1688.com/offer/857357815574.html?spm=a26352.b28411319.offerlist.7.34891e62pUewlk&pcLoginAbJumpBeforeTimeStr=1756100689989&scene=a261y.7663282.description&from=login-modal,"Материал: PU
Упаковка: индивидуальная коробка
Примечание от фабрики: 
Зарядка Type-C и беспроводная в комплекте
Мощность 5000 мАх
Провод и инструкция (англ.) в комплекте
Раскладка с серым в комментариях"," Дизайн: тиснение, подбор кожи по раскладке",500,"24,45","2 053,65","821,46","2 875,11","Производство 25
Доставка 25-30","27,77","2 332,85","Производство 25
Доставка 15-20","9 400,00",1880,"11 280,00","Производство 12-15
Доставка 10-12",
,,,,,1000,"23,91","2 008,28","803,312","2 811,59",,"27,23","2 287,49",,,0,0,,
