,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
,Сумка ,"Материал: переработанное сырьё (водонепроницаемый материал)
Размер:  43х16х7
Упаковка:  инд пакет 
Примечание от фабрики:  1) можно выкрасить в др цвет по карте фабрики 2) светоотражающие полоски  ширина до 0,5см фабрика делает бесплатно ", Дизайн:  пуллеры по дизайну клиента ,1000,"14,6","1463,6",75-80 дней ,"15,62","1564,95",65-70 дней ,"21468,88р               (с пуллером )                       стоковый - 3492,96р",20-25 дней/ стоковый - 12-15 дней ,
,,,,2000,"13,95","1397,45",,"14,96","1498,85",,,,
,Сумка ,"Материал: переработанное сырьё (водонепроницаемый материал)
Размер:  33,5х12,5х7,5
Упаковка:  инд пакет 
Примечание от фабрики:    1) можно выкрасить в др цвет по карте фабрики 2) светоотражающие полоски  ширина до 0,5см фабрика делает бесплатно ", Дизайн:  пуллеры по дизайну клиента ,1000,"14,3","1433,4",75-80 дней ,"15,55","1558,35",65-70 дней ,"21468,88р               (с пуллером )                       стоковый - 3492,96р",20-25 дней/ стоковый - 12-15 дней ,
,,,,2000,"13,6","1363,19",,"14,88","1488,11",,,,
,Сумка ,"Материал: полиэстер (водонепроницаемый), кожаная мембрана
Размер:  31х15х5
Упаковка:  инд пакет 
Примечание от фабрики:    1) можно выкрасить в др цвет по карте фабрики  2) можно добавить светоотражающие полоски ", Дизайн:  пуллеры по дизайну клиента ,1000,"10,6","1066,5",75-80 дней ,"11,84","1186,38",65-70 дней ,"21536,98р               (с пуллером )             ",20-25 дней (7-10 дней фото/видео),
,,,,2000,"10,49","1051,16",,"11,69","1171,08",,,,
,Сумка ,"Материал: нейлон водонепроницаемый 
Размер:  19х13х5
Упаковка:  инд пакет 
Примечание от фабрики:   1) можно выкрасить в др цвет по карте фабрики  2) можно добавить светоотражающие полоски ", Дизайн:  пуллеры по дизайну клиента ,1000,"8,9","895,7",75-80 дней ,"9,74","975,97",65-70 дней ,"21298,62р               (с пуллером )             ",20-25 дней (7-10 дней фото/видео),
,,,,2000,"8,79","880,36",,"9,59","960,66",,,,
,Сумка ,"Материал: нейлон  водонепроницаемый 
Размер:  38х13х8
Упаковка:  инд пакет 
Примечание от фабрики:   1) можно выкрасить в др цвет по карте фабрики  2) можно добавить светоотражающие полоски ", Дизайн:  пуллеры по дизайну клиента ,1000,"11,7","1175,1",60-65  дней ,"13,22","1324,99",50-55  дней ,"21809,39р               (с пуллером )             ",20-25 дней (7-10 дней фото/видео),
,,,,2000,"11,49","1151,11",,"12,98","1301,01",,,,
,Сумка ,"Материал: tpu
Размер:  31х14х9 см
Упаковка:  инд пакет 
Примечание от фабрики:  ", Дизайн:  пвх пуллеры по дизайну клиента ,1000,"16,225","1625,78",60-65,"17,245","1727,98",50-55,"12 000,00",22 дня (фото / видео 7-10 дней),
,,,,2000,"15,946","1597,77",,"16,966","1699,97",,,,
,Бутылка ,"Материал: нержавеющая сталь 304
Размер:  500 мл
Упаковка:  инд коробка
Примечание от фабрики:  ", Дизайн: круговая  3D печать ,1000,"12,500","1255,60",35-40,"13,900","1393,86",30-35,"20 000,00", 20-22 дней (фото / видео 9-10 дней),
,,,,2000,"11,930","1195,03",,"13,260","1329,10",,,,
