,"Менеджер: Титова Алина
Email: alina@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Таблетница,"Материал: РР пластик
Размер: 11.9 *6.3 см, 100 гр 
Упаковка:  ОРР пакет 
", Дизайн: без кастома,3000,"3,4","362,9",35-40 кален.дней,"3,79","405,71",25-30 кален.дней,"3565,76 фабричный",12-14 кален.дней,
,,, Дизайн: шелкография лого 1 цвет,3000,"3,49",412,35-40 кален.дней,"3,91",464,25-30 кален.дней,,,
 ,Таблетница,"Материал: РР пластик
Размер: 11*8*3 см, 67 гр 
Упаковка: ОРР пакет", Дизайн: без кастома,3000,"1,1","123,3",35-40 кален.дней,"1,41","155,34",20-25 кален.дней,"2674,07 фабричный",12-14 кален.дней,
,,, Дизайн: шелкография лого 1 цвет,3000,"1,33",160,40-45 кален.дней,"1,63",198,30-35 кален.дней,,,
 ,Маленькая таблетница,"Материал: РР пластик
Размер: 26*32*56 см, 60 гр 
Упаковка: цветная упаковка (см.доп фото)
", Дизайн: без кастома ,3000,"2,3","240,3",35-40 кален.дней,"2,53","270,83",25-30 кален.дней,"2798,81 фабричный",12-14 кален.дней,
,Большая таблетница ,"Материал: РР пластик
Размер: 35*33*45 см, 60 гр 
Упаковка: цветная упаковка (см.доп фото)",,3000,"3,47","376,69",35-40 кален.дней,"4,25",465.83,25-30 кален.дней,,,
 ,Маленькая таблетница,"Материал: РР пластик
Размер: 26*32*56 см, 60 гр 
Упаковка: цветная упаковка (см.доп фото)
", Дизайн: УФ печать лого 1 цвет,3000,"2,32","273,0",40-45 кален.дней,"2,58",307,30-35 кален.дней,,,
,Большая таблетница ,"Материал: РР пластик
Размер: 35*33*45 см, 60 гр 
Упаковка: цветная упаковка (см.доп фото)",,3000,"2,61",308,40-45 кален.дней,"2,93",347,30-35 кален.дней,,,
 ,Маленькая таблетница,"Материал: РР пластик
Размер:  14.5*7*2.5 см
Упаковка: прозрачный пакет
", Дизайн: тампопечать в один цвет,3000,"2,23","245,1",40-45,"2,95","327,5",30-35,"5 000,00","3-5 фото/видео

12-14 доставка в Москву",
,Средняя таблетница,"Материал: РР пластик
Размер:  17.5*8.5*3
Упаковка: прозрачный пакет",,3000,"2,33","255,61",,"3,06","338,05",,,,
,Большая таблетница ,"Материал: РР пластик
Размер: 21.5*10.5*4
Упаковка: прозрачный пакет",,3000,"2,75","299,3",,"3,48","381,74",,,,
 ,Таблетница,"Материал: РР пластик
Размер: 17.5*11*5 см
Упаковка:  фабричная коробка
Примечание от фабрики: возможны незначительные царапины при печати, так как поверхность гланцевая", Дизайн: шелкография в один цвет,3000,"6,5","700,2",55-60,"7,99","867,93",45-50,"27 600,00","10-12 фото/видео

12-14 доставка в Москву

",
,Таблетница,"Материал: РР пластик
Размер: 6*10*3.5 см
Упаковка:  прозрачный пакет 
", Дизайн: шелкография в один цвет,3000,"2,2","233,8",55-60,"2,48","263,87",45-50,"11 200,00","5-7 фото/видео

12-14 доставка в Москву

",
 ,Маленькая таблетница,"Материал: РР пластик
Размер: 6.6*6.6*3.4 см
Упаковка: прозрачный пакет
", Дизайн: шелкография в один цвет,3000,"1,99","209,7",45-50,"2,24","237,93",35-40,"26 300,00","5-7 фото/видео

12-14 доставка в Москву

",
,Большая таблетница ,"Материал: РР пластик
Размер: 6.6*13*3.4 см
Упаковка: прозрачный пакет
",,3000,"2,59","274,2",,"2,98","318,34",,"26 700,00",,
 ,Таблетница,"Материал: РР пластик
Размер: 13*15.2*5.5 см
Упаковка:  прозрачный пакет
", Дизайн: шелкография в один цвет,3000,"4,5","478,5",55-60,"5,45","591,46",45-50,"27 100,00","10-12 фото/видео

12-14 доставка в Москву

",
,Таблетница,"Материал: РР пластик
Размер: 10.2*8.2*4.7 см
Упаковка:  фабричная коробка
", Дизайн: шелкография или тампопечать в один цвет,3000,"3,2","339,4",50-55,"3,73","401,16",40-45,"11 600,00","7-10 фото/видео

12-14 доставка в Москву

", 
 ,Маленькая таблетница,"Материал: РР пластик
Размер: 7.8*7.3*2.7 см
Упаковка: белая коробка
", Дизайн: шелкография или тампопечать в один цвет,3000,"2,02","216,1",50-55,"2,42","261,99",40-45,"11 200,00","7-10 фото/видео

12-14 доставка в Москву

",
,Большая таблетница ,"Материал: РР пластик
Размер: 11.7*7.3*2.7 см
Упаковка: белая коробка
",,3000,"2,66","284,49",,"3,19","344,52",,"11 400,00",,
