,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Зажигалка,"Материал: металл
Размер: 562*35*9 мм
Упаковка: опп пакет
Примечание от фабрики: без жидкости", Дизайн: изготовление по макету клиента (согласно тз),100 000,"1,9","182,6",75-80,,,,556 000 (при заказе тиража стоимость образца вычитается из суммы),"Фото 22-25

Доставка 10-12",
,,,,200 000,"1,8","176,02",,,,,,,
,,,,300 000,"1,79","174,89",,,,,,,
,,,,300 000 МОРЕ,"1,6","152,9",110-120,,,,,,
 ,Чехол для планшета,"Материал: полиэстер, оксфорд
Размер: 440*310 мм
Упаковка: опп пакет", Дизайн: изготовление по макету клиента (согласно тз),1300,"9,7","950,5",55-60,,,,18 590,"Фото 8-10

Доставка 10-12",
 ,Зонт,"Материал: полиэстер, двухслойное покрытие ткани
Размер: 90 см
Упаковка: опп пакет (и ручка, и зонт)
Дополнительно к зонтам идет чехол, запечатка по макету клиента или одноцвет (в тон зонта)
Ручка по тз клиента", Дизайн: запечатка сверху по макету клиента,50000 (контейнер),"5,1","498,3",95-110,,,,"16 700,00","Фото 14

Доставка 10-12",
,,,,100000 (контейнер),"4,9","474,9",,,,,,,
 ,Термокружка,"Материал: нержавеющая сталь 304, дерево
Размер: 90*78 мм (300 мл)
Упаковка: опп пакет", Дизайн: сток,40000,"2,8","268,9",65-70,,,,3 800,"Фото 1

Доставка 10-12",
,,,,"40000
МОРЕ","2,0","196,3",100-110,,,,,,
,Термокружка,"Материал: нержавеющая сталь 304, дерево
Размер:  113*78 мм (400 мл)
Упаковка: опп пакет", Дизайн: сток,40000,"3,3","323,4",65-70,,,,3 800,"Фото 1

Доставка 10-12",
,,,,"40000
МОРЕ","2,3","223,7",100-110,,,,,,
 ,Термокружка,"Материал: нержавеющая сталь 304, бамбук
Размер: 172*90 мм (450 мл)
Упаковка: опп пакет", Дизайн: сток,40000,"5,4","531,5",90-95,,,,3 800,"Фото 1

Доставка 10-12",
,,,,"40000
МОРЕ","3,8","377,0",120-130,,,,,,
 ,Термокружка,"Материал: нержавеющая сталь 304, лакировка
Размер: 70*80*139 мм (420 мл)
Упаковка: опп пакет", Дизайн: сток,40000,"6,4","633,4",65-70,,,,3 800,"Фото 1

Доставка 10-12",
,,,,"40000
МОРЕ","4,6","455,9",90-100,,,,,,
 ,Зонт (перерасчет),"Материал: полиэстер, двухслойное покрытие ткани
Размер: 90 см
Упаковка: опп пакет (и ручка, и зонт)
Дополнительно к зонтам идет чехол, запечатка по макету клиента или одноцвет (в тон зонта)
Ручка по тз клиента", Дизайн: запечатка сверху по макету клиента,50000 (контейнер),"5,1","526,6",95-110,,,,"16 700,00","Фото 14

Доставка 10-12",
,,,,150000 (контейнер),"4,6","479,5",,,,,,,
 ,Шоппер,"Материал: 100% хлопок
Размер: 40*34 см, ручки - 70*3см
Упаковка: опп пакет
Доступен полный кастом по макету клиента"," Дизайн: полный кастом по макету клиента, печать уф",100 000 (контейнер),"1,7","198,6",90-100,,,,"7 500,00","Фото - 10
Доставка 10-12",
,,,,100 000,"4,2","478,7",45-50,,,,,,
