https://vkvideo.ru/video-213558036_456240077,"Менеджер: Попова Дарья
Email: daryap@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
,Колонка с подсветкой,"Материал: пластик и стекло
Размер: 149*149*178
Упаковка: заводская коробка
Примечание от фабрики: 
Bluetooth-соединение
Диапазон частот: 100 Гц - 20 кГц
Разъём USB
Диапазон подключения 10 метров
Емкость встроенного аккумулятора
2000мАч-4000мАч", Дизайн: возможно нанесение логотипа клиента,800,"42,2","4118,8",50-60,,,,"19 600,00","Фото 5-7
Доставка 10-12",
,,,,,,,,,,,,,
,Беспроводная зарядка,"Материал: пластик
Размер: 121.5*144*75.7mm
Упаковка: заводская коробка
Примечание от фабрики: ", Дизайн: кастом по макету клиента,800,"29,2","2853,7",50-60,,,,"8 100,00","Фото 5-7
Доставка 10-12",
,,,,,,,,,,,,,
,Двусторонний плед,"Материал: водонепроницаемая ткань + флис
Размер: 200*140см
Упаковка:  опп-пакет
Примечание от фабрики: возможные цвета см. в доп. фото", Дизайн: возможно нанесение логотипа клиента,600,"22,9","2230,3",55-65,,,,"7 100,00","Фото 5-7
Доставка 10-12",
,,,,,,,,,,,,,
,Стальная кружка,"Материал: сталь
Размер: 17,5*8,8 см
Примечание от фабрики: возможные цвета см. в доп. фото", Дизайн: возможно нанесение логотипа клиента,600,"8,8","861,1",50-60,,,,"7 600,00","Фото 5-7
Доставка 10-12",
,,,,,,,,,,,,,
,Колонка,"Материал: пластик
Упаковка: заводская упаковка
Примечание от фабрики: Цвет: см. доп. фото
Bluetooth-соединение
Диапазон частот: 100 Гц - 20 кГц
Разъём USB
Диапазон подключения 10 метров
LED подсветка

Микс цветов возможен (любое количество)", Дизайн: печать лого шелкография,500,"9,9","901,9",30-37,,,,"8 000,00","Фото - 3-5 
Доставка - 10-12",
,,,,,,,,,,,,,
,Зарядная станция,"Материал: пластик
Упаковка: заводская коробка
Примечание от фабрики: беспроводная зарядка для телефонов
Цвета песка: синий и оранжевый
Три вида света
Подходит для всех видов смартфонов", Дизайн: печать лого шелкография,500,"32,4","3431,0",45-50,,,,"12 200,00","Фото - 4
Доставка - 10-12",
,,,,,,,,,,,,,
,Флешка со сканером отпечатка пальцев ,"Материал: пластик
Упаковка: 
Примечание от фабрики: 
Объем 32 гб", Дизайн: печать лого шелкография,500,"30,58","3 241,98",35-40,,,,"5 200,00","Фото - 2
Доставка - 10-12",
,,,,,,,,,,,,,
,Кружка,"Материал: фарфор
Упаковка: в коробке
Примечание от фабрики: ", Дизайн: без нанесения логотипа,500,"7,71","817,02",40-50,,,,"10 300,00","Фото - 7-10
Доставка - 10-12",
,,,,,,,,,,,,,
,Блокнот,"Материал: кожзам
Упаковка: A5
Примечание от фабрики: "," Дизайн: с логотипом клиента, кастомизированный блок, вид нанесения - тиснение, шелкография",500,"5,23","554,28",32-37,,,,"7 000,00","Фото - 2
Доставка - 10-12",
,,,,,,,,,,,,,
,,"Материал: пластик + нержавеющая сталь
Размер: 85*49*38мм
Упаковка: заводская коробка
Примечание от фабрики: ёмкость аккумулятора 1000мАч; способ нанесения логотипа - шелкография", Дизайн: возможно нанесение логотипа клиента (место нанесения см. в доп. фото),1000,"14,7","1438,4",40-45,,,,"4 300,00","Фото - 3
Доставка - 10-12",
,Устройство от бессоницы,,,,,,,,,,,,
,Ручка,"Материал: металл
Размер: 137*11мм
Упаковка: опп-пакет
", Дизайн: вид нанесения - лазерная гравировка,500,"1,5","153,4",33-38,,,,"3 100,00","Фото - 4
Доставка - 10-12",
,,,,,,,,,,,,,
,Стикеры,"Материал: ПВХ
Размер: 5см
Упаковка: опп-пакет
"," Дизайн: под заказ клиента, комплект состоит из 3 стикеров в соответствии с дизайном клиента",500,"0,3","30,9",30-35,,,,"6 700,00","Фото - 2
Доставка - 10-12",
,,,,,,,,,,,,,
,Кожаный органайзер для документов ,"Материал: кожзам
Размер: см
Упаковка: опп-пакет
"," Дизайн: с логотипом клиента, вид нанесения -шелкография",500,"6,8","717,1",45-50,,,,"15 000,00","Фото - 5-7
Доставка - 10-12",
,,,,,,,,,,,,,
,Тихий будильник ,"Материал: пластмасса
Размер:  10.5*9.3*3.37 см
Упаковка: опп-пакет
"," Дизайн: с логотипом клиента, вид нанесения - типография",800,"14,0","1484,7",39-44,,,,"17 200,00","Фото - 7
Доставка - 10-12",
,,,,,,,,,,,,,
,Брелок-фотоаппарат,"Материал: пластик 
Упаковка: коробочка

Для работы необходима SD карта",Дизайн: шелкография лого клиента,500,"20,7",1 996,35-40,,,,9 100,"Фото - 7
Доставка - 10-12",
,Карточки с рецептами,"Материал: картон
Упаковка: опп пакет
Размер: А5",Дизайн: печать по макету клиента,500,"3,0","316,1","40-45

без учета праздников",,,,17 000,"Фото - 7
Доставка - 10-12",
,Доска задач,"Материал: акрил, магнит, пластик 
Упаковка: ОПП пакет

Размер А3
В комплекте маркеры (зеленый, черный, красный, желтый, фиолетовый, синий)",Дизайн: печать лого клиента,500,"8,5","902,0","40-45

без учета праздников",,,,10 000,"Фото - 7
Доставка - 10-12",
,Разделочная доска,"Материал: дерево
Упаковка: опп пакет
Размер: 39*29 СМ",Дизайн: гравировка лого клиента,500,"9,3","953,1","55-60

без учета праздников",,,,10 200,"Фото - 7
Доставка - 10-12",
,Набор карточек для изучения города,"Материал: картон
Упаковка: кастомная коробочка
Размер: 90*60 мм",Дизайн: изготовление по макету клиента,500,"8,1","859,2","50-55

без учета праздников",,,,25 000,"Фото - 7
Доставка - 10-12",
,Многогранник,"Материал: пластик
Размер: примерно 3-5 см (размер настраиваемый)
Упаковка: нет
Примечание от фабрики: доступен выкрас в цвет клиента
Имеет 20 граней", Дизайн: печать на каждой грани,3000,"2,4","250,4",45-50,,,,"13 500,00","Фото - 4 
Доставка - 10-12",
,,,,,,,,,,,,,
,Камин,"Материал: камень
Упаковка: заводская коробка
Примечание от фабрики: топливо не входит в комплект
Крышка в комплекте
Прилагается инстуркция по эксплуатации
Белый и серый цвета", Дизайн: печать лого,300,"35,3","3740,1",45-50,,,,"11 800,00","Фото - 10 
Доставка 10-12",
,,,,,,,,,,,,,
,Свеча,"Материал: камень
Размер: 13*6 см
Упаковка: заводская коробка
Примечание от фабрики: пустая, не можем сделать запах клиента"," Дизайн: гравировка лого, кастом цвета по пантону клиента",100,"5,4","569,2",45-50,,,,"3 000,00","Фото - 6 
Доставка - 10-12",
,,,,,,,,,,,,,
,Колонка с магнитной жидкостью,"Материал: пластик
Размер: 137мм*137мм*127м
Упаковка: заводская коробка                    Цвета: белый, чёрный, серый
Примечание от фабрики: 10 Вт, ≥70 дБ, 
Bluetooth-соединение", Дизайн: могут добавить лого с помощью наклейки; место лого - см. доп. фото,500,"119,2","12319,3",45-52,,,,"20 900,00","Фото 5-7 
Доставка 13-15",
,,,,1000,"115,17","11907,12",45-52,,,,,,
