,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,Кол-во цветов нанесения,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец (за шар),Срок образца,Доп. фото
,Набор елочных шаров,"6 шаров в подарочной упаковке
Диаметр шара: 80мм
Материал: стекло
Цвет: 3 белых, 3 зеленых в пантон
Нанесение: WTP - пленка, деколь
Площадь запечатки примерно 40*45 мм",1 цвет,600-1000 наборов,"14,2","1 206,21",65-70 календ дн,8 400,"Фото 10-12 календ дн

Доставка 10-12 календ дн",
,,,1 цвет без коробки,,"12,8","1069,2",,,,
,,,2 цвета,,"14,6","1 214,24",,11 700,,
,,,2 цвета без коробки,,"12,9","1077,0",,,,
,,,3+ цветов,,"14,7","1 222,27",,16 100,,
,,,3+ цветов без коробки,,"13,02","1 084,78",,,,
,,"6 шаров в подарочной упаковке
Диаметр шара: 80мм
Материал: стекло
Цвет: 3 белых, 3 зеленых в пантон
Нанесение: УФ печать
Площадь запечатки примерно 40*45 мм",1 цвет,600-1000 наборов,"14,5","1210,2",65-70 календ дн,12 800,,
,,,1 цвет без коробки,,"12,9","1 073,06 ₽",,,,
,,,2 цвета,,"14,6","1218,3",,,,
,,,2 цвета без коробки,,"12,97","1 080,87",,16 100,,
,,,3+ цветов,,"14,7","1226,3",,,,
,,,3+ цветов без коробки,,"13,06","1 088,69",,20 500,,
,Подарочная коробка,"Подарочная коробка с ложементом
Дизайн по макету клиента",3+ цветов,600-1000 шт,"1,7","138,0",,22 700,,
