,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Графический планшет,"Материал: пластик
Цвета: розовый, синий, черный, красный, голубой
Размер: 23 х 15 х 1 см (диагональ 8,5 дюймов)
Работает от батареек в комплекте
Нанесение: лого 1 цвет",860,"2,4","195,76 ₽",35-40 календ дн,8 200,"Фото 7 календ дн

Доставка 10-12 календ дн",
,Ночник,"Материал: резина
Работает от батареек в комплекте
Размер: 11 х 9,6 х 9
Упаковка: белая фабричная коробочка
Нанесение: лого 1 цвет",860,"2,3","188,33 ₽",35-40 календ дн,6 000,"Фото 7 календ дн

Доставка 10-12 календ дн",
,Смарт часы,"Материал: пластик, пвх
Сенсорный экран
Есть фонарик и камера
Поддерживает USB-соединение
Цвет: голубой с синим, озовый с синим
Упаковка: заводская коробка

Кастом: печать лого на задней крышке часов",2000,"9,29","837,55 ₽",32-37 календ. дн.,12 500,"Фото 7 календ дн

Доставка 10-12 календ дн",
,Караоке,"Материал: пластик
Два микрофона в комплекте
Цвет: розовый, чёрный, голубой, белый
Имеется подсветка
Дальность подключения микрофонов: 10м
Мощность: 100HZ-20KHZ

Кастом: печать лого",2000,"16,34","1 549,94 ₽",28-33 календ. дн.,5 000,"Фото 3 календ дн

Доставка 10-12 календ дн",
,Колонка,"Материал: пластик
Цвет: красный, черный, синий синий узор, зелёный узор 
Bluetooth-соединение
Диапазон частот: 100 Гц - 20 кГц
Разъём USB
Диапазон подключения 10 метров
Имеется фабричная упаковка, картон

Кастом: печать шелкографией",2000,"8,11","761,91 ₽",40-50 календ. дн.,12 500,7 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,ПЗУ,"Материал: пластик
Ёмкость: 6000
Цвет: красный, черный
Упаковка: заводская коробка

Кастом: отсутствует",2000,"7,75","708,08 ₽",32-38 календ. дн.,2 800,3 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,,"Материал: пластик
Ёмкость: 10000
Цвет: красный, черный
Упаковка: заводская коробка

Кастом: отсутствует",,"9,99","908,82 ₽",,,,
,Светоотражающий мешок,"Материал: полиэстер
Размер: 40*30см
Цвет: серый/белый
Цвет шнурков: чёрный

Кастом: полноцветная печать",3000,"2,67","237,98",35-40 календ. дн.,8 200,5 календ. дн. - фото+видео + 10-12 календ. дн. доставка,видео
,Рюкзак,"Материал: ткань оксфорд
Цвет: синий
Размер: M

Кастом: полноцветная печать",3000,"5,33","474,75",45-50 календ. дн.,2 400,3 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,Рюкзак,"Материал: ткань оксфорд
Цвет: см. доп. фото
Размер: 23*33*10см

Кастом: отсутствует",900,"7,51","668,47",32-37 календ. дн.,4 900,3 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,,,3000,"7,20","641,11",45-45 календ. дн.,,,
,Неоновая лента,"Материал: пластик
Встроенное приложение, имеется русский язык
Длина: 3м
Беспроводное подключение
Упаковка: коробка (без кастома)",2000,"9,27","849,01 ₽",30-39 календ. дн.,2 800,2-3 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,Плюшевая игрушка,"Материал: ткань, плюш
Примерный размер: длина 35 см

Кастом: полный кастом по макету клиента, со всеми деталям",2000,"23,86","2123,43",50-55 календ. дн.,21 600,10 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,Плюшевая игрушка,"Материал: ткань, плюш
Есть вариант с новогодней шапочкой и без
Примерный размер: 22 см
Кастом: отсутствует",2000,"3,88","345,20",39-44 календ. дн.,2200,2-3 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,Попрыгунчик,"Материал: резина
Форма коровы (есть другие формы на выбор, цена разнится)

Кастом: отсутствует",2000,"21,09","1877,37",26-33 календ. дн.,6200,2-3 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
