,"Менеджер: Дергаусова Мила
Email: ludmila.d@megamind.ru

",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",жд цена за шт. ($.):,жд цена за шт. (₽):,Срок тиража жд ,авиа цена за шт. ($.):,авиа цена за шт. (₽):,Срок тиража авиа,Образец (₽),Срок образца,Доп. фото
,подушка по индивидуальному макету 1 вариант с вшитой этикеткой жаккард логотипом,"Материал: полиэстр 
фото материала в доп.фото
Наполнение: пп хлопок
Размер: 40*40 см
Вес: 800 грамм",500,"16,85","1567,1",45-50 дней,"20,6","1895,2",35-40 дней,"11826,29","17-19 дней (фото,видео 7 дней)",
,подушка по индивидуальному макету 2 вариант с вшитой этикеткой жаккард логотипом,"Материал: полиэстр 
Наполнение: пп хлопок
Размер: 40*40 см
Вес: 800 грамм",500,"17,43","1621,0",45-50 дней,"21,2","1950,4",35-40 дней,"11826,29","17-19 дней (фото,видео 7 дней)",
,подушка по индивидуальному макету 1 вариант с вшитой этикеткой жаккард логотипом,"Материал: короткий плюш
Наполнение: пп хлопок
Размер: 40*40 см
Вес: 450 грамм",500,"14,79","1375,5",45-50 дней,"16,7","1536,4",35-40 дней,"15600,99","17-19 дней (фото,видео 7 дней)",
,подушка по индивидуальному макету 2 вариант с вшитой этикеткой жаккард логотипом,"Материал: короткий плюш
Наполнение: пп хлопок
Размер: 40*40 см
Вес: 450 грамм",500,"13,35","1241,6",45-50 дней,"15,2","1398,4",35-40 дней,"15600,99","17-19 дней (фото,видео 7 дней)",
,надувная сумка ,"Материал: пвх
размер 50*50 см
с логотипом
подушка будет не запечатана, вокруг ваакумные бортики
с цветным двусторонним логотипом","500
1000","12,24
7,03","11126,08
646,76",45-50 дней,"13,05
7,84","1200,6
721,28",35-40 дней,"41642,39
36143,94","15-17 дней (фото, видео 5 дней)",
,надувная упаковка,"Материал: пвх
размер 50*50 см
с логотипом
запечатанный
с цветным двусторонним логотипом",500,"8,96","824,3",45-50 дней,"9,6","883,2",35-40 дней,"19074,42","15-17 дней (фото, видео 5 дней)",
,сумка,"Материал: пвх, ручки из искусственной кожи
размер 50*50 см
с логотипом",500,"3,87","356,0",35-40 дней,"4,7","432,4",25-30 дней,"8651,72","14-16 дней (фото, видео 4 дня)",
,надувная упаковка с клапаном ,"Материал: пвх
размер 50*50 см
с цветным двусторонним логотипом",500,"5,82","535,4",50-55 дней,"6,5","598,0",40-45 дней,"10464,05",15-17 дней(фото-видео 5-7 дней),
,елочная игрушка по индивидуальному дизайну,"Материал: окрашенное стекло
Размер: 25*8 см
наполнение пузырчатый пакет / губка / пенопласт.",100,"4,50","414,0",35-40 дней,"6,1","561,2",25-30 дней,"5932,03",17-19 дней (фото видео 7 дней),
,"наконечник на елку
по индивидуальному дизайну","материал:окрашенное стекло
размер:31*16 см
упаковка: индивидуальный дизайн по макету клиента картонная коробка, внутри пузырчатая обертка
цвет: серебро, вариант цвета см.доп.фото",500,"26,54","2441,50",70-75 дней,"39,75","3656,73",55-60 дней,"35441,66",25-27 дней (фото/ видео 15 дней),
,подушка по индивидуальному макету 1 вариант с вшитой этикеткой жаккард логотипом + упаковка вакуумная с логотипом,"Материал: полиэстр/ спандекс
возможен материал тэди см.доп.фото
Наполнение: пп хлопок
Размер: 40*40 см
упаковка: материал пвх(как у надувной подушки) цена упаковки может подняться в зависимости от сложности и цвета логотипа
способ упаковки: вакуумный",500,"21,18","1948,3",50-55 дней,"24,9","2292,4",40-45 дней,"12614,95","17-19 дней (фото,видео 7 дней)",
,подушка по индивидуальному макету 2 вариант с вшитой этикеткой жаккард логотипом  + упаковка вакуумная с логотипом,"Материал: полиэстр / спандекс
фото материала в доп.фото
Наполнение: пп хлопок
Размер: 40*40 см
упаковка: материал пвх(как у надувной подушки) цена упаковки может подняться в зависимости от сложности и цвета логотипа
способ упаковки: вакуумный",500,"21,75","2001,4",50-55 дней,"25,5","2345,5",40-45 дней,"12614,95","17-19 дней (фото,видео 7 дней)",
,подушка по индивидуальному макету 1 вариант с вшитой этикеткой жаккард логотипом + упаковка вакуумная с логотипом,"Материал: полиэстр / короткий плюш
Наполнение: пп хлопок
Размер: 40*40 см
упаковка: материал пвх(как у надувной подушки)
способ упаковки: вакуумный",500,"21,78","2003,9",50-55 дней,"24,0","2210,3",40-45 дней,"25136,6","17-19 дней (фото,видео 7 дней)",
,подушка по индивидуальному макету 2 вариант с вшитой этикеткой жаккард логотипом  + упаковка вакуумная с логотипом,"Материал: полиэстр / короткий плюш
Наполнение: пп хлопок
Размер: 40*40 см
упаковка: материал пвх(как у надувной подушки)
способ упаковки: вакуумный",500,"20,34","1871,1",50-55 дней,"22,6","2077,6",40-45 дней,"25136,6","17-19 дней (фото,видео 7 дней)",
,подушка по индивидуальному макету 1 вариант с вшитой этикеткой жаккард логотипом + упаковка надувная с логотипом,"Материал: полиэстр/ спандекс
возможен материал тэди см.доп.фото
Наполнение: пп хлопок
Размер: 40*40 см
упаковка: материал пвх, цена упаковки может подняться в зависимости от сложности и цвета логотипа
способ упаковки: надувной",500,"23,91","2199,8",55-60 дней,"31,4","2887,1",45-50 дней,"25606,81","20-22 дня(фото, видео 10 дней)",
,подушка по индивидуальному макету 2 вариант с вшитой этикеткой жаккард логотипом  + упаковка надувная с логотипом,"Материал: полиэстр / спандекс
фото материала в доп.фото
Наполнение: пп хлопок
Размер: 40*40 см
упаковка: материал пвх, цена упаковки может подняться в зависимости от сложности и цвета логотипа
способ упаковки: надувной",500,"24,49","2252,9",55-60 дней,"32,0","2940,2",45-50 дней,"25606,81","20-22 дня(фото, видео 10 дней)",
,подушка по индивидуальному макету 1 вариант с вшитой этикеткой жаккард логотипом + упаковка надувная с логотипом,"Материал: полиэстр / короткий плюш
Наполнение: пп хлопок
Размер: 40*40 см
упаковка: материал пвх
способ упаковки: надувной",500,"24,14","2220,7",55-60 дней,"29,7","2732,6",45-50 дней,"28176,28","20-22 дня(фото, видео 10 дней)",
,подушка по индивидуальному макету 2 вариант с вшитой этикеткой жаккард логотипом  + упаковка надувная с логотипом,"Материал: полиэстр / короткий плюш
Наполнение: пп хлопок
Размер: 40*40 см
упаковка: материал пвх
способ упаковки: надувной",500,"22,70","2088,0",55-60 дней,"28,3","2599,8",45-50 дней,"28176,28","20-22 дня(фото, видео 10 дней)",
,"надувная упаковка c карманом
","материал:пвх
размер: 45*40 см /
размер на заказ /
цена 50*50 см
односторонний цветной логотип
надувается с помощью насоса
*не передувать",500,"9,14","841,0",57-60 дней,"10,1","930,2",47-50 дней,"8896,16",13-15 дней(фото / видео 3 дня),
,портативный электрический насос с двумя функциями,"Встроенный литий-ионный аккумулятор. Питание - 3,7 В
Время работы: 20 минут
Функции: воздушного насоса + откачки воздуха
Размеры:7,6*7,9*10,7 см.
Вес: 0,147 кг.
Мощность: 25 Вт.
Кабель для зарядки - тип C.
Время зарядки:180 минут.
Емкость аккумулятора - 1200 мАч",500,"9,55","878,9",25-30 дней,"10,0","916,5",15-20 дней,"2884,46",10-12 дней,
,вакуумный пакет,"Материал: полиамид и полиэтилен высокого давления
Размер: 40*60см / 50*70 см
Логотип: прозрачная наклейка с цветным логотипом",500,"1,21","111,5",40-45 дней,"1,5","139,1",30-35 дней,"1754,18",10-12 дней,
,ручной насос ,"Материал: пластик
Цвет: белый, розовый
Функционал: для вакуумной упаковки",500,"1,63","150,4",25-30 дней,"2,0","187,6",15-20 дней,"1923,62",10-12 дней,
