,,"Менеджер: 
Email: 
Телефон: ",,"Волкова Екатерина
ekaterinav@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Менеджер,Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
Саша, ,Пенал,"Материал: силикон
Размер: 21*8 cm (можно скорректировать)
Упаковка: инд пакет
Примечание от фабрики: минимальное кол-во 1000 штук"," Дизайн: по запросу, открытие формы",1000,"6,30",529.4,529350,45-50,"6,34",532.9,532870,35-40,"115155,46",15,25-27,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Саша, ,Кошелек,"Материал: силикон
Размер: 96*80*30MM (можно скорректировать)
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: по запросу, открытие формы",300,"3,50",294.1,88233,45-50,"3,64",306.1,91833,35-40,"41988,20",15,25-27,
,,,,,500,"3,39",284.6,142300,,"3,53",296.7,148330,,,,,
,,,,,1000,"3,24",272.4,272370,,"3,39",284.4,284370,,,,,
Света Л, ,Брелоки,"Материал: ПВХ
Размер: 5-6 см
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости", Дизайн: индивидуальная форма обвеса (цена за 1 дизайн),300,"1,37",114.8,34449,40-45,"1,42",119.7,35904,30-35,"13,590",7,17-19,
,,,,,500,"1,10",92.3,46130,,"1,16",97.1,48555,,,,,
,,,,,1000,"0,84",70.3,70270,,"0,89",75.1,75120,,,,,
Лена, ,Силиконовые клипсы на шнурки (набор из трех шт),"Материал: пвх
Размер:  5*5
Упаковка:  три шт в пакете 
Примечание от фабрики: мок от 500", Дизайн: по макету,300,,,0,40-45 ,,,0,30-35,"17,084",5-7,15-17,
,,,,,500,"2,72","228,61",#VALUE!,,"3,23","271,45",#VALUE!,,,,,
,,,,,1000,"1,98","166,63",#VALUE!,,264.0,"201,91",#VALUE!,,,,,
Света Л, ,Линейки,"Материал: акрил
Размер: 30 х 3 см
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости", Дизайн: цветная запечатка,300,"3,59",301.3,90393,45-50,"3,70",310.6,93171,35-40,"11,620",7,17-19,
,,,,,500,"2,29",192.7,96365,,"2,40",202.0,100995,,,,,
,,,,,1000,"2,21",185.9,185920,,"2,32",195.2,195180,,,,,
Лена, ,Закладки (набор из трех шт),"Материал: магнитные закладки
Размер: размер закладки 6,5х4
Упаковка: картонная подложка+пакет. 
Примечание от фабрики:  три закладки на картонной подложке", Дизайн: по макету клиента ,300,"2,15","180,40",,40-45 ,"2,28","191,82",,30-35,"7732,91",7,17-19,
,,,,,500,"1,51","126,46",,,"1,62","135,87",,,,,,
,,,,,1000,"1,25","104,82",,,"1,36","114,23",,,,,,
Катя, ,Ручка с наконечником,"Материал: пластмасса
Размер: 145 х 10 мм
Упаковка: ОПП пакет

        "," Дизайн: по макету клиента: логотип (печать), пвх клип, цвета пантон",300,"4,4",372.7,111810,55-60,"4,5",380.1,114030,45-50,"8,750",15,25-27,
,,,,,500,"2,2",182.3,91150,,"2,2",189.1,94550,,,,,
,,,,,1000,1,88,88000,,"1,1",94,94100,,,,,
Арина, ,Стикеры,"Материал: бумага
Размер: 10*16 см
Упаковка: OPP пакет
Примечание от фабрики: мин тираж 500 наборов"," Дизайн: подложка со стикерами индивидуальной формы по макету, подложку также можно запечатать в своем дизайне ",500,1.9,161.2,80600,40-45,2.0,167.4,83720,30-35,"5,500",5,15-17,
,,,,,1000,1.6,138.5,138490,,1.7,144.4,144360,,,,,
Аня, ,Блокноты,"Материал: Обложка — белый картон 300 г с цветной печатью и горячим тиснением.
Внутренние страницы — бумага 100 г, двойная офсетная цветная печать.
Размер: 15 × 12 см, 30 листов
Упаковка: сток
Примечание от фабрики: требуется подтверждение стоимости по макету и образцу ", Дизайн: согласно макету ,2000,"3,3","281,3",#VALUE!,40-45,"4,0","336,2",#VALUE!,30-35,22 100,5,15-17,
Катя ,,,"Материал: нержавейка 316 и 201
Размер: 18 х 7 см, 500 мл
Упаковка: коробка


","
Дизайн: форму бутылки изменить нельзя, паттерн по макету, цвет бутылки можно изменить
",3000 (мин),"8,9",786.3,#VALUE!,50-55,"11,3",1 003.2,#VALUE!,40-45,45200 (открытие формы),10,22-24,
Света Л, ,Джибитсы,"Материал: ПВХ
Размер: 3 х 3 см
Упаковка: пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости", Дизайн: индивидуальная форма (расчет на 1 дизайн),300,"0,96",80.5,24162,40-45,"0,98",82.1,24630,30-35,13560 (1 диз),7,17-19,
,,,,,500,"0,75",63.0,31515,,"0,77",64.5,32250,,,,,
,,,,,1000,"0,49",41.1,41100,,"0,51",42.5,42500,,,,,
Света Л, ,Джибитсы,"Материал: ПВХ
Размер: 3 х 3 см
Упаковка: пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости", Дизайн: индивидуальная форма (расчет на 5 дизайнов),300,"4,53",380.7,114219,40-45,"4,64",389.6,116880,30-35,13560 (1 диз),7,17-19,
,,,,,500,"3,51",294.9,147450,,"3,62",303.7,151850,,,,,
,,,,,1000,"2,29",192.1,192100,,"2,39",200.8,200800,,,,,
