,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
,Мишка,"Материал: плюш
Размер: 38 см
Упаковка :  опп-пакет
Примечание от фабрики: ", Дизайн: полный кастом по макету клиента,300,"19,8","1824,5",40-45 календ. дн.,,,,"14 200,00",10 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,,,,500,"17,5","1606,9",,,,,,,
,,,,1000,"16,0","1470,7",,,,,,,
,,"Материал: плюш
Размер: 25 см
Упаковка :  опп-пакет
Примечание от фабрики: ", Дизайн: полный кастом по макету клиента,300,"14,0","1286,2",40-45 календ. дн.,,,,"14 200,00",10 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,,,,500,"13,4","1230,2",,,,,,,
,,,,1000,"12,2","1120,8",,,,,,,
 ,Мишка,"Материал: плюш
Размер: 20см
Упаковка :  опп-пакет
Примечание от фабрики: ", Дизайн: кастом футболки у мишки по макету клиента,300,"10,8","990,6",40-45 календ. дн.,,,,"13 600,00",10 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,,,,500,"10,16","934,54",,,,,,,
,,,,1000,"8,97","825,18",,,,,,,
