,"Менеджер: Марковская Злата
Email: zlata@megamind.ru
Телефон: 
","ВНИМАНИЕ! ВСЕ ЦЕНЫ И СРОКИ ПРИМЕРНЫЕ, ТОЧНЫЕ БУДУТ ИЗВЕСТНЫ ПОСЛЕ ПРЕДОСТАВЛЕНИЯ МАКЕТОВ!",,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
ЖД,,,,,,,,,
,Термобутылка,"Материал: нержавеющая сталь 304
Размер: 23,5*7,8см
Объем: 600мл
Брендирование: лого лазер (круговое нанесение невозможно)",1000,"11,6","1 093,98 ₽",35-40кд,7 847 ₽,17-19кд,
,,"Материал: нержавеющая сталь 304
Размер: 23,5*7,8см
Объем: 600мл
Брендирование: лого лазер (круговое нанесение невозможно) + перекраска бутылки (не включая крышку) в пантон",6000,"10,4","989,97 ₽",40-45кд,17 348 ₽,22-24кд,
,,,6500,"9,8","934,27 ₽",45-50кд,,,
,,,7000,"9,3","880,16 ₽",50-55кд,,,
АВИА,,,,,,,,,
,Термобутылка,"Материал: нержавеющая сталь 304
Размер: 23,5*7,8см
Объем: 600мл
Брендирование: лого лазер (круговое нанесение невозможно)",1000,"13,8","1 318,56 ₽
",25-30кд,7 847 ₽,17-19кд,
,,"Материал: нержавеющая сталь 304
Размер: 23,5*7,8см
Объем: 600мл
Брендирование: лого лазер (круговое нанесение невозможно) + перекраска бутылки (не включая крышку) в пантон",6000,"12,5","1 201,34 ₽
","30-35кд
",17 348 ₽,22-24кд,
,,,6500,"11,9","
1 139,03 ₽","
35-40кд",,,
,,,7000,"11,2","1 078,32 ₽",40-45кд,,,
,,,,,,,,,
ЖД,,,,,,,,,
,Термобутылка,"Материал: нержавеющая сталь 316
Размер: 21,5*8см
Объем: 600мл
Брендирование: лого лазер (круговое нанесение невозможно)",1000,"10,8","1 029,00 ₽",35-40кд,8 078 ₽,17-19кд,
,,"Материал: нержавеющая сталь 316
Размер: 21,5*8см
Объем: 600мл
Брендирование: лого лазер (круговое нанесение невозможно) + перекраска бутылки с крышкой в пантон",6000,"9,7","924,27 ₽",40-45кд,17 858 ₽,22-24кд,
,,,6500,"9,3","889,16 ₽",45-50кд,,,
,,,7000,"8,9","849,42 ₽",50-55кд,,,
АВИА,,,,,,,,,
,Термобутылка,"Материал: нержавеющая сталь 316
Размер: 21,5*8см
Объем: 600мл
Брендирование: лого лазер (круговое нанесение невозможно)",1000,"13,2","1 266,78 ₽",25-30кд,8 078 ₽,17-19кд,
,,"Материал: нержавеющая сталь 316
Размер: 21,5*8см
Объем: 600мл
Брендирование: лого лазер (круговое нанесение невозможно) + перекраска бутылки с крышкой в пантон",6000,"11,9","1 148,84 ₽
",30-35кд,17 858 ₽,22-24кд,
,,,6500,"11,5","1 107,13 ₽",35-40кд,,,
,,,7000,"11,0","1 060,79 ₽",40-45кд,,,
,,,,,,,,,
ЖД,,,,,,,,,
,Термобутылка,"Материал: нержавеющая сталь 304
Размер: 22,5*7см
Объем: 500мл
Брендирование: лого круговое уф-печатью",1000,"8,0","756,68 ₽
",35-40кд,7 017 ₽,20-22кд,
,,"Материал: нержавеющая сталь 304
Размер: 22,5*7см
Объем: 500мл
Брендирование: лого круговое уф-печатью + пантон",6000,"7,2","686,08 ₽
",40-45кд,16 518 ₽,23-25кд,
,,,6500,"6,7","639,54 ₽
",45-50кд,,,
,,,7000,"6,2","594,59 ₽",50-55кд,,,
АВИА,,,,,,,,,
,Термобутылка,"Материал: нержавеющая сталь 304
Размер: 22,5*7см
Объем: 500мл
Брендирование: лого круговое уф-печатью",1000,"9,2","879,88 ₽
",25-30кд,7 017 ₽,20-22кд,
,,"Материал: нержавеющая сталь 304
Размер: 22,5*7см
Объем: 500мл
Брендирование: лого круговое уф-печатью + пантон",6000,"8,4","802,43 ₽
",30-35кд,16 518 ₽,23-25кд,
,,,6500,"7,8","752,47 ₽
",35-40кд,,,
,,,7000,"7,3","704,10 ₽",40-45кд,,,
