 ,,,ВНИМАНИЕ! Все цены и сроки примерные!,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Ссылка на 1688,Наименование,Описание,Коэффициент,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Цена БЕЗ НДС (руб.),Срок тиража (в календ. днях),Образец ,Срок образца (в календ. днях),Доп. фото
,柚木菜板 切菜板实木家用砧板格砧板厨房案板木质菜板 (1688.com),Доска разделочная,"Материал: дерево
Размер: 34*24*2.5см
Брендирование: лазер
Упаковка: заводская гофрокоробка",2,200,"29,6","2758,7","2298,9",65-70,6500 ₽,"7-9 фото/видео


19-21 с доставкой в Москву",
,,,,,300,"29,5","2755,3","2296,1",,,,
,,,,,500,"29,5","2752,7","2293,9",,,,
,胡椒研磨器电动黑胡椒粒家用研磨瓶厨房碾碎瓶不锈钢现磨批发零售 (1688.com),Электрическая перечница / солонка,"Материал: нержавеющая сталь
Размер: 22*5см
Брендирование: лазер
Упаковка: заводская коробка",2,200,"10,4","985,9","821,6",45-50,7000 ₽,"6-8 фото/видео

18-20 с доставкой в Москву",
,,,,,300,"10,3","979,4","816,2",,,,
,,,,,500,"10,3","973,6","811,3",,,,
,登山野外露营垫户外防寒保暖抓绒野餐垫办公室沙发午休垫空调毯子 (1688.com),Плед с крышкой (крышку можно убрать),"Материал: полиэстер
Размер: 200*140см
Брендирование: печать лого термотрансфером, смена цвета пледа по цветовой карте
Упаковка: пакет",2,250,"34,6","3284,4","2737,0",45-50,12000 ₽,"10-12 фото/видео

22-24 с доставкой в Москву",
,,,,,300,"33,7","3201,0","2667,5",50-55,,,
,,,,,500,"32,8","3116,4","2597,0",55-60,,,
,не берем ,Варежки (от тиража менее 1500шт сделать кастом нельзя),"Материал: полиэстер, флис 100г/м2 примерно
Размер: 22см в длине, стандартно на взрослую руку
Брендирование: форма фабрики, мех заменить на серый фабричный, пришить жаккардовую бирку
Упаковка: пакетик",2,1500,"7,8","745,0","620,8",40-45,6 600 ₽,"15-17 фото-видео

27-29 с доставкой в Москву",
,Берем следующую модель,Кардхолдер MagSafe,"Материал: ПУ+магниты
Цвета: черный, коричневый,зеленый, фиолетовый,синий, оранжевый
Брендирование от 300 шт: тиснение
Универсальный для iPhone12/13/14/15
Упаковка: заводская упаковка",2,300,"11,1","1025,3","854,4",45-50 кд,7500,"8-10 кд фото и видео

12-14 кд доставка в Мск",
,,,,,500,"11,1","1022,6","852,2",,,,
,Magsafe适用iPhone12/13苹果15磁吸卡包手机卡包插卡背贴皮 (1688.com),Кардхолдер MagSafe,"Материал: ПУ+магниты
Размер: 9,5*6,5*0,6 см 
13 магнитов
Брендирование: шелкография
Универсальный для iPhone13/14, iPhone16 15 Pro
Упаковка: заводская упаковка
",2,200,"3,8","353,8","294,8",45-50 кд,7500,"10-12 кд фото и видео

12-14 кд доставка в Мск",
,,,,,300,"3,7","350,4","292,0",,,,
,,,,,500,"3,7","347,8","289,8",,,,
,佳美达旅行护照夹包护照包男女护照收纳包出国证件包登机牌保护套 (1688.com),Дорожное портмоне,"Материал: натуральная кожа
Размер: 14*10*1 см
Цвета: жёлтый, синий
Брендирование: тиснение
Упаковка: заводская упаковка","1,9",200,"12,6","1172,5","977,1",55-60 кд,10200,"10-12 кд фото и видео

12-14 кд доставка в Мск",
,,,,,300,"12,6","1169,3","974,4",,,,
,,,,,400,"12,6","1167,7","973,1",,,,
,,,,,500,"12,2","1136,8","947,4",,,,
,家用高硼硅玻璃钢漏壶 方形透明玻璃花茶壶 带不锈钢过滤泡茶器 (1688.com),Заварочный чайник,"Материал: термостойкое стекло
Размер: 10*7,3*7,3 см
Объём: 350 мл
Брендирование: шелкография
Упаковка: заводская упаковка",2,200,"6,1","580,4","483,7",45-50 кд,8200,"7-9 кд фото и видео

12-14 кд доставка в Мск",
,,,,,300,"6,0","577,1","480,9",,,,
,,,,,400,"6,0","575,4","479,5",,,,
