,"Менеджер: Ким Софья
Email: sofia.k@megamind.ru
Телефон: 
",,,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,,,,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. Долгое ЖД ($.):,Цена за шт. Долгое ЖД (руб.):,Цена за шт. ЖД ($.):,Цена за шт. ЖД (руб.):,Цена за шт. Авиа ($.):,Цена за шт. Авиа (руб.):,Срок тиража Долгое ЖД,Срок тиража ЖД,Срок тиража Авиа,Образец ,Срок образца,Доп. фото,,,,,,
Фабрика 1,,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 4 мм",400 000,"0,6","52,7","0,8","68,1","0,9","79,3",85-90,75-80,65-70,18 700,20-22,,,,,,,
,Монета 35 мм,,400 000,"0,7","66,4","0,9","81,7",1,93,,,,,,,,,,,,
,Монета 40 мм,,400 000,"0,9","79,8","1,1","95,2","1,2","106,4",,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм",400 000,"0,5","38,6","0,6","53,2","0,7","63,8",85-90,75-80,65-70,18 700,20-22,,,,,,,
,Монета 35 мм,,400 000,"0,5","46,7","0,7","61,3","0,8","71,9",,,,,,,,,,,,
,Монета 40 мм,,400 000,"0,6","54,6","0,8","69,1","0,9","79,8",,,,,,,,,,,,
Упаковка вариант 1 (картон),,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 4 мм
Размер коробки: 150*150*70 мм
Материал коробки: мелованная бумага + EVA + акрил",400 000,"3,2","295,0","4,7","429,3","5,8","527,7",90-95,80-85,70-75,18 700 (монета) + 9500 (коробка),28-30,,,,,,,
,Монета 35 мм,,400 000,"3,4","308,7","4,9","442,9",6,"541,4",,,,,,,,,,,,
,Монета 40 мм,,400 000,"3,5","322,1","5,0","456,4","6,1","554,8",,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм
Размер коробки: 150*150*70 мм
Материал коробки: мелованная бумага + EVA + акрил",400 000,"3,2","272,0","4,6","398,9","5,7","491,9",90-95,80-85,70-75,18 700 (монета) + 9500 (коробка),28-30,,,,,,,
,Монета 35 мм,,400 000,"3,2","275,8","4,7","402,6","5,8","495,6",,,,,,,,,,,,
