,"Менеджер: Марковская Злата
Email: zlata@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото,
,Магнитик акриловый,"Материал: акрил, магнитная лента
Размер: 5*5см
Упаковка: в пакетик","1000

3000

5000","1,21

1,09

1,01","114,41 ₽

104,06 ₽

96,47 ₽","37-42кд

43-48кд

47-52кд",6 760 ₽,20-22кд,,
,Игрушки мягкие,"Материал: плюш, синтепон
Размер: высота 10-12см
Упаковка: в пакетик","1000

3000

5000","2,69

2,19

2,00","244,98

198,93

181,88","55-60кд

63-68кд

70-75кд",17 262 ₽,24-26кд,,
,Мыльтитул-подставка,"Материал: нержавеющая сталь 420, пластик
Размер: 6*4см
Лого: лазер на мультитуле
Упаковка: в пакетик","1000

3000

5000","1,04

0,98

0,93","97,77 ₽

92,42 ₽

88,05 ₽","38-43кд

43-48кд

48-53кд",5 955 ₽,18-20кд,,
,"Тапочки дорожные (стоимость ""честного знака"" и пошлины на ввоз обуви в стоимость не входит)","Материал: плюш с мелким начесом
Размер: 28*11см, толщина 6мм
Лого: на внешней стороне шелкографией
Упаковка: в пакетик","3000

5000","0,92

0,83","87,89 ₽

80,17 ₽","50-55кд

55-60кд",10 212 ₽,24-26кд,,
,Йо-йо,"Материал: дерево
Размер: 5*5см
Лого: уф-печать на двух сторонах йо-йо с покрытием лаком
Упаковка: в пакетик","3000

5000","0,79

0,72","74,33 ₽

67,05 ₽","55-60кд

65-70кд",13 483 ₽,20-22кд,,
,Носки,"Длина стопы  19см, высота 17см
материал хлопок",500 /1000,"1,2","105,8",45-55 кд,9517 руб,20-30 кд,,
,Органайзер для вещей,"материал: саржа
набор из 7 предметов
с лого","1000/2000/
5000","1000/2000 - 9,5
5000 - 9,35","1000/2000 - 866 руб
5000 - 851 руб",45-55 кд,16700 руб,15-25 кд,,
,Маска для сна,"Материал: шелк
Размер: 20*10 см
Цвет: 6 цветов на выбор
Кастомизация: лого 2 цвета
Упаковка: опп пакет","1000

2000

5000","1,43

1,33

1,23","129,93

120,98

112,37",45-50 кд,"15 310,81",24-26 кд,,
,Органайзер,"Материал: пластик
В наборе 9 предметов
Кастомизация: лого 2 цвета на каждом бутыльке
Упаковка: заводская упаковка","1000

2000

5000","2,68

2,61

2,54","252,87

246,62

240,71",65-70 кд,"10 174,51",24-26 кд,,
,Органайзер,"Материал: пластик
Размер: 19,8*7,2 см
Кастомизация: лого 2 цвета
Упаковка: опп пакет","1000

2000

5000","2,58

2,46

2,39","244,43

232,78

226,87",55-60 кд,"15 648,89",27-29 кд,,
,Набор косметичек,"Материал: тюль
В набор входят косметички 3 размеров
Размер маленькой: 11*11*2 см
Размер средней: 22*11*2 см
Размер большой: 22*14*7 см
Кастомизация: лого 2 цвета
Упаковка: заводская упаковка","1000

2000

5000","6,57

6,42

6,35","598,24

583,89

577,99",50-55 кд,"10 737,97",22-24 кд,,
