,,,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,Кастом,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Перчатки х/б,"Материал: х/б
Размер: 22 см
Цвет перчаток: белый, черный, серый, красный, синий, фиолетовый, зеленый.
Цвет покрытия: белый, черный, серый, красный, синий, фиолетовый, зеленый.
Нанесение логотипа: шелкография / термопечать

Выкрас в нефабричные цвета при большом заказе (~15000 шт.)
Выкрас покрытия при большом заказе (~15000 шт.)
Нанесение логотипа: каждый дополнительный цвет требует перерасчета",Без нанесения,11200,"1,1","97,7",35-40 календарных дней,6500,"3-5 календарных дней фото/видео 

13-15 календарных дней доставка до Москвы",
,,,"Нанесение: шелкография, 1 цвет",,"1,1","103,3",45-55 календарных дней,,,
,,,"Нанесение: термопечать, 
1 цвет",,"1,2","110,0",,,,
,,,,,,,,,,
,Перчатки прорезиненные,"Материал: нейлон, спандекс
Цвет перчаток: оранжевый, желтый, серый
Цвет покрытия: черный
Нанесение логотипа: шелкография

Площадь нанесения: 4,5*2,5см
Каждый дополнительный цвет требует перерасчета
",Без нанесения:,9600,"0,8","72,5",45-55 календарных дней,"Открытие формы:
17900","15-18 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,,,"Нанесение:
шелкография,
1 цвет",,"1,0","87,6",,,,
,,,,,,,,,,
,Фонарик светодиодный ручной,"
Материал: ABS-пластик
Цвет: черный, по запросу
Размер: 27*97 мм
Вес: 32,5 г
Упаковка: индивидуальная 
пластиковая коробка
USB-разъем, USB-провод
Емкость батареи: 1200 мА
Мощность: 1 Вт
3 режима: слабый, сильный, вспышка

Выкрас коробки в фабричный цвет
Кастом шнурка в фабричный цвет
Нанесение логотипа",Нанесение: логотип в 1 цвет,11200,"2,1","193,7",40-50 календарных дней,4780,"4-7 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,,,,,,,,,,
,,,"Нанесение: логотип в 1 цвет
Кастом шнурка в 1 цвет
Выкрас корпуса в 1 цвет",,"2,2","199,1",,,,
,,"Материал: ABS-пластик
Цвет: черный, не изменяется
Размер: 16,6*4*3,3см
Нанесение: лазерная гравировка
Упаковка: индивидуальная коробка

В наборе USB-провод, аккумулятор
Микро usb-разъем
Водонепроницаемый
5 режимов освещения: сильный, средний, слабый, SOS-режим, вспышка
Раскладываемый","Нанесение:
логотип в 1 цвет",9000,"9,1","823,7",75-85 календарных дней,13 630руб.,"7-10 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,,,"Нанесение:
логотип в 1 цвет
Выкрас шнурка в 1 цвет",,"9,2","834,5",,,,
,Ручка,"Материал: медь
Размер: 137*11 мм
Вес: 32,7 г
Цвет: выкраска в пантон
Нанесение: логотип в 1 цвет, гравировка

","Нанесение:
логотип в 1 цвет гравировкой
Выкрас корпуса в пантон",11200,"1,9","171,2",65-70 каленадарных дней,7480,"7-12 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,,"Материал: железо
Размер: 139*12 мм
Вес: 35,7 г
Цвет: выкраска в пантон
Нанесение: логотип в 1 цвет, гравировка","Нанесение:
логотип в 1 цвет гравировкой
Выкрас корпуса в пантон",,"1,7","157,7",,,,
,,"Материал: AS-пластик
Размер: 140 мм
Вес: 9,5 г
Упаковка: пакеты по 50 шт.
Цвета: белый, черный, красный, желтый, зеленый, синий, серый
Корпус: прозрачный, матовый
Нанесение: термопечать / наклейка
",Нанесение: термопечать логотипа,11200,"0,4","34,6",55-65 календарных дней,14250,"10-12 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,Термос,"Материал внутри: нержавеющая сталь 304
Материал снаружи: нержавеющая сталь 201
Объём: 1 л
Кастомизация: возможны различные виды нанесения, выкрас черного пластика на крышке в цвет пантона, выкрас термоса в пантон 

Сумка для термоса не влючена в стоимость, возможна кастомизация

Цвет: серебристый
PANTONE ближайший цвет - Cool Grey 1С 
РАЗМЕРЫ диаметр дна 8,2 см; высота 31,6 см; 
МАТЕРИАЛ нержавеющая сталь, 304 внутри, 201 снаружи; пластик
ОБЪЕМ, Л.1000 мл
Кастомизация: гравировка на корпусе 
",Без нанесения,11200,"9,5","909,6",33-38 кд,"4 464,06",17-19 кд,
,,,"УФ печать
(стоимость примерная, для точной необходим размер логотипа и визуал)",,"10,2","971,7",55-60 кд,"12 052,70",20-22 кд,
,,,Выкрас черного пластика на крышке в пантон+УФ печать,,"10,4","985,2",60-65 кд,"25 550,82",25-27 кд,
,,,Выкрас термоса в цвет пантона+УФ печать,,"10,8","1025,7",60-65 кд,"25 550,82",25-27 кд,
,Дорожный кейс для столовых приборов,"Материал: пластик
Размер: 19,7*4,3*2,3 см
Кастомизация: возможны различные виды нанесения, УФ запечатка, выкрас в пантон, также можно поменять форму (стоимость открытия новой формы после предоставления макета)

Столовые приборы не входят в стоимость

Добавить в комплект приборы (вилка и ложка) - 138 рублей",Без нанесения,11200,"0,7","66,2",33-38 кд,"2 028,20",17-19 кд,
,,,УФ печать,,"0,9","82,4",42-47 кд,"4 587,44",20-22 кд,
,,,УФ запечатка верхней части,,"1,0","95,9",50-55 кд,"4 587,44",22-24 кд,
,,,Выкрас в пантон+УФ печать,,"1,0","98,6",60-65 кд,"12 686,31",30-32 кд,
,Контейнер для еды,"В набор входят вилка и ложка.
Можно нагревать в микроволновке.
Герметичная крышка.

Материал: пластик, силикагель 
Объем: 1,1 л
Размер: 21,5 * 12,5 * 8 см
Цвета: фабричные зеленый, синий, выкраска в пантон по запросу
Нанесение: шелкогарфия, термопечать, УФ-печать на крышке

Стоимость образца термопечатью будет учтена в тираже.
Материал: пластик, силикагель 
Объем: 1,1 л
Размер: 21,5 * 12,5 * 8 см
В набор входят вилка и ложка.
Можно нагревать в микроволновке.
Герметичная крышка на защелках.
Разделить не съемный внутри основного отделения. 
Крышка становится подставкой под гаджет. 
Цвет основания темно-серый.
Цвет крышки черный 
","Нанесение: шелкография
Выкрас в пантон",11200,"4,8","437,2",55-65 календарных дней,"Образец с нанесением шелкографией:
9610

Образец с нанесением шелкографией и выкраской в пантон:
23100","8-12 календарных дней фото/видео

13-15 календарных дней доставка до Москвы", 
,,,"Нанесение:
УФ-печать
Выкрас в пантон",,"5,2","469,6",,,,
,,,"Нанесение: Термопечать
Выкрас в пантон

Цена примерная, включает открытие формы. Уточнение после предоставления макета для открытия формы",,"4,9","449,3",,,,
,Набор для чистки обуви,"В набор входят: тряпочка для обуви, 2 обувные щетки, 2 баночки с кремом для обуви

Размер: 18,5*11,5*6,3 см
Материал футляра: EVA / Кожа
Материал содержимого: по запросу
Цвет футляра и пуллера: по запросу
Нанесение: на футляр, на каждый предмет в наборе
Цифровая печать, шелкография, UV-печать, тампопечать

Цена примерная. Более точная при выборе материалов","EVA
Нанесение: шелкография, на футляр",11200,"6,6","596,2",60-70 календарных дней,"Образец с нанесением шелкографией:
11310","8-12 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,Сумка,"Размер: 40*30*20
Материал (внешняя сторона): оксфорд 600D / оксфорд 900D / кордура
Материал (внутренняя сторона): оксфорд 210D
Нанесение: шелкография, логотип на внешнюю часть сумки, на пуллер молнии с 2 сторон
Фурнитура: ремень, карабин",Материал: оксфорд 600D,11200,"17,2","1565,6",75-85 календарных дней,18960,"9-13 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,,,Материал: оксфорд 900D,,"17,5","1595,3",,,,
,,,Материал: кордура,,"17,5","1595,3",,,,
,Блокнот,"Материал: фетр, бумага
Размер: А5
Количество листов: 192
80 г/м²
Кастомизация: глубокая печать, тиснение золотом или серебром, цвет подбирается максимально близкий к желаемому","Глубокая печать
Тиснение золотом или серебром
Цвет подбирается максимально близкий к желаемому",9000,"5,4","520,8",50-55 кд,"11 770,97",20-22 кд,
,Набор для чистки обуви,"В набор входят: тряпочка для обуви из микрофибры, 2 деревянные обувные щетки,  банка с бесцветным кремом для обуви, ложка для обуви из пластика

Размер: 9,8х9,8х5,6 см см
Материал футляра: Металл
Цвет футляра: серебряный
Нанесение: на футляр: шелкография по макету клиента
 На крем: наклека по макету клиента
","Шелкография на кейсе, кастомная наклейка на креме для обуви",11200,"5,12","690,50 ₽",65-70,"Образец с нанесением шелкографией и наклейкой:
16700","12-14 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
