с,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Ручка-переводчик,"Европейская версия MD03: автономное сканирование текста на китайском/английском/японском/корейском/русском/немецком/французском/итальянском/испанском/португальском языках + голосовой перевод

Материал: пластик
Размер: 147х37х16 мм
Цвет: белый
Аккумулятор: 820 мач
Память: 8G
Процессор: Четырехъядерный процессор ARM Cortex-A7
Экран: 2,23-дюймовый полностью сенсорный экран
Поддержка Bluetooth-гарнитур и Bluetooth-колонок
Комплектация: Ручка для перевода, инструкция, кабель для передачи данных, защитная пленка для экрана, силиконовый защитный чехол

Нанесение логотипа, лазерная гравировка
Упаковка в фабричную коробку","1000

2000

3000","31,06

28,99

27,27","2 918,75

2 725,60

2 564,00",45-50 календ.дней,8300 руб,20-22 календ.дня,
,Подставка для наушников,"Материал: пластик
Размер: 110х281 мм
Цвет: черный
2 порта USB, аудиоинтерфейс, 7 цветов подсветки

Нанесение логотипа в один цвет, шелкография
Упаковка в фабричную коробку","1000

2000

3000","14,49

13,49

12,28","1 374,57

1 280,53

1 166,62",40-45 календ.дней,8600 руб,20-22 календ.дня,
,Рюкзак-дутик (фабричный),"Материал: нейлон, полиэстер
Размер: 50х35х16 см
Цвет: черный
Внутренние карманы для мелочей, один внутренний карман на молнии

Нанесение логотипа в один цвет, шелкография, термотрансфер, вышивка
Упаковка в прозрачный пакет","500

1000

2000","22,44

19,43

17,42","2097,96

1816,31

1628,62",40-45 календ.дней,15000 руб,20-22 календ.дня,
,Рюкзак-дутик (фабричный),"Материал: нейлон, полиэстер
Размер: 41х32х14 см
Цвет: черный, красный, бордовый, синий, голубой, коричневый, оранжевый
Внутренние карманы для мелочей, внешний карман на молнии

Нанесение логотипа в один цвет, шелкография, термотрансфер, вышивка
Упаковка в прозрачный пакет","500

1000

2000","17,62

15,73

14,47","1647,18

1470,37

1353,25",55-60 календ.дней,16350 руб,22-24 календ.дня,
,Рюкзак-дутик производство,"Рюкзак со стеганым узором и закругленной верхней ручкой.
 Внутри текстильная подкладка, карман для ноутбука с резинкой-фиксатором, несколько отделений для мелких предметов и внутренний карман на молнии. Внешний карман на молнии с застежкой-фастексом. Усиление лямок путем вшивания стропы внутрь лямки. 
 Материал изделия: полиэстер. 
 Отделка: искусственная кожа. 
 Фурнитура: металл. 
 Наполнитель: полипропиленовый хлопок
 Настройка размера по желанию заказчика
 Персонализация - ПВХ шеврон на лицевой стороне. Размер шеврон шеврона 5x3 см. Красочность 2+0 
 Жаккардовый шеврон с логотипом внутри рюкзака. Размер шеврона - 5x5 см. Красочность 3+0, включая основу
 Цвет подклада, цвет рюкзака настройка из раскладки, цвет близкий к Pantone
Пуллер - шнурок, согнутый пополам. Толщина шнурка - 6 мм. Цвет пуллера близкий к Pantone
 Упаковка в прозрачный пакет
Стоимость ориентировочная, окончательная после отшива образца","500

1000

2000","36,91

36,34

35,27","3413,80

3361,44
3262,57",55-60 календ.дней,20500 руб,24-26 календ.дня,
,Термос с функцией подогрева и авто-размешивания,"Материал: Нержавеющая сталь 304, Пластик
Размер: 65*65*225мм
Вес: 400гр
Объем: 450мл
Цвет: черный, белый
Напряжение: 12V-24V
Авторазмешивание: циркуляция за счет нагревания
Нанесение: УФ печать 2+0
 Необходимо оформление ДС+СС , ориентировочная стоимость 100тыс.руб, примерный срок оформления 1 месяц","1000

2000
","29,5","2 182,74 ₽",65-70 календ.дней,"5 290,39 ₽","12-17 календарных дней фото/видео, 15-20 календарных дней доставка до Москвы",
,Кубик рубика брелок,"Материал: ABS-пластик
Размер: 3*3см
Полная запечатка","2000

3000","1,18

1,03","113,92 ₽

99,94 ₽","40-45кд

43-48кд",4 060 ₽,18-20кд,
,"Брелок с подвесками (цена и сроки рассчитаны примерно, так как без макетов точный расчет произвести невозможно)","Материал: цинковый сплав
Метод производства литье + заливка эмалью 
 Цвет брелка: серебро / никель 
 Фурнитура - кольцо, цепочки для подвесок. 
 Упаковка в полиэтиленовый пакетик 
 Формы брелков (по макету): 
 1) Прямоугольник c логотипом. 2D Размер 4x1 см. Толщина 2 мм. Рельефный логотип с заполнением цветом с обеих сторон. 
 2) Подвеска 3D по форме логотипа. Размер 4x2 см. Толщина 2 мм. Красочность 1+0. 1 цвет эмали с одной стороны. 
 3) Подвеска 3D. Размер 4*1 см. 2 цвета эмали с 1 стороны","2000

3000","2,94

2,79","282,23 ₽

267,84 ₽","50-55кд

55-60кд",26 105 ₽,22-24кд,
,"Рюкзак под производство (цена и сроки рассчитаны примерно, так как без макетов точный расчет произвести невозможно)","Материал: полиэстер
 Цвет рюкзака: черный
 Цвет подкладки: близкий к PANTONE
 Цвет молнии: в PANTONE, логотип 5 см белым цветом. 
 Расстояние от нижнего края молнии до логотипа – 2,5 см на «видимой» части
 Люверс над молнией, цвет близкий к PANTONE
 Количество замков на молниях - 4 шт
 Замок на переднем отделении: с брендированной молнией)
 Внутри отделение для ноутбука и один боковой карман
 Пуллер: черный 
 Размер логотипа на пуллере: 16*3 мм
 Бумажная бирка согласно макету
 Пакет zip-lock согласно макету, материал CPE, белый матовый полупрозрачный, нанесение белое","1000

2000

3000","10,29

10,01

9,75","961,77

936,13

911,33","45-50кд

50-55кд

55-60кд",27 845 ₽,28-30кд,
