,"Менеджер: Васенина Татьяна
Email: tatiana.v@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Коврик для мыши,"Размеры: 220мм*180мм*2мм
Материал: резина (задник) + ткань
Без окантовки краев
Технология: сублимационная печать
Индивидуальная упаковка в пластиковый пакет","500

1000","1,29

1,12","120,56

105,07","ЖД
35-40 календарных дней","2505,63","3-7 дней календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,Коврик для мыши,"Размеры: 220мм*180мм*2мм
Материал: резина (задник) + ткань
С окантовкой краев
Технология: сублимационная печать
Индивидуальная упаковка в пластиковый пакет","500

1000","1,36

1,19","126,76

110,95","ЖД
35-40 календарных дней","2505,63","3-7 дней календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,Коврик для мыши,"Размеры: 220мм*180мм*1,5мм
Материал: резина (задник) + ткань
Технология: сублимационная печать
","500

1000","1,10

0,99","102,50

92,37","ЖД
30-35 календарных дня","3333,91","2-5 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,Коврик для мыши,"Размеры: 220мм*180мм*3мм
Материал: резина
Без окантовки краев
Технология: сублимационная печать","500

1000","1,36

1,15","126,84

107,18","
ЖД
35-45 календарных дней","2821,6"," 2-5 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,Коврик для мыши,"Размеры: 220мм*180мм*3мм
Материал: резина
С окантовкой краев
Технология: сублимационная печать","500

1000","1,47

1,24","137,47

115,93","
ЖД
35-45 календарных дней","2821,6"," 2-5 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,дорожный органайзер,"Материал изделия: полиэстер, нейлон
Количество отделений: 5 шт.
Размер:24*9*2
Цвет: Красный, черный, голубой, розовый, серый, голубой
Нанесение лого: Шелкография белого цвета","500

1000","5,42

5,16","516,10 ₽

502,36 ₽","Жд
58-63 календарных дней

","15580,53","7-10 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,дорожный органайзер,"Материал изделия: полиэстер, нейлон
Количество отделений: 5 шт.
Размер:24*9*2
Цвет: Красный, черный, голубой, розовый, серый, голубой
Нанесение лого: Шелкография белого цвета","500

1000","6,10

5,95","597,55 ₽

583,82 ₽","Авиа
45-50 календарных дней","15580,53","7-10 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,дорожный органайзер,"Материал изделия: полиэстер
Размер:30*18,5*8,5
Цвет: Красный, черный, голубой, розовый, серый, голубой
Нанесение лого: Шелкография белого цвета","500

1000","2,8","266,43 ₽","Жд
55-60 календарных дней

","5 008,94 ₽","7-10 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,дорожный органайзер,"Материал изделия: полиэстер
Размер:30*18,5*8,5
Цвет: Красный, черный, голубой, розовый, серый, голубой
Нанесение лого: Шелкография белого цвета","500

1000","3,1","303,09 ₽","Авиа
40-45 календарных дней

","5 008,94 ₽","7-10 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,дорожный органайзер,"Материал изделия: Войлок
Размер:26*14*16
Цвет: Красный, черный, голубой, розовый, серый, голубой, зеленый
Нанесение лого:  Шелкография белого цвета","500

1000","5,7","552,93 ₽","Жд
57-62 календарных дней

","3111,07","7-10 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,дорожный органайзер,"Материал изделия: Войлок
Размер:26*14*16
Цвет: Красный, черный, голубой, розовый, серый, зеленый
Нанесение лого: Шелкография белого цвета","500

1000","6,6","650,98 ₽","Авиа
40-47 календарных дней

","3111,07","7-10 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,дорожный органайзер,"Материал изделия: Пластик
Размер:15х9,5х4
Цвет: Красный
Нанесение лого: Шелкография белого цвета","500

1000","5,4","521,77 ₽","ЖД
60-65 календарных дней

","15 954,90 ₽","7-10 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,дорожный органайзер,"Материал изделия: Пластик
Размер:15х9,5х4
Цвет: Красный
Нанесение лого: Шелкография белого цвета","500

1000","6,1","587,61 ₽","Авиа
45-50 календарных дней

","15 954,90 ₽","7-10 календарных дней фото/видео, 13-15 календарных дней доставка до Москвы",
,Корзинка для пикника,"Материал изделия: полипропилен + термопластичный эластомер + железо
Размер: 46,5x29x9,5см (в сложенном виде), 46,5x29x23,5 (в разобранном виде)
2 подстаканника
Вес нетто: 1,18 кг
Цвет: серый
Нанесение лого: красный/белый, УФ-печать на кнопку-зажим


","500

1000","ЖД:
25,32
25,18

Авиа:
33,88
33,73","ЖД:
2367,86
2354,12

Авиа:
3167,78
3154,04","ЖД: 
50-55 календарных дней

Авиа: 
40-45 календарных дней","20972,35","9-12 календарных дней фото/видео 
13-15 дней доставка до Москвы",
,Корзинка для пикника,"Материал изделия: полипропилен + термопластичный эластомер + железо
Размер: 46,5x29x9,5см (в сложенном виде), 46,5x29x23,5 (в разобранном виде)
2 подстаканника
Вес нетто: 1,18 кг
Цвет: серый
Нанесение лого: красный/белый, УФ-печать на крышку ","500

1000","ЖД:
26,50
26,36

Авиа:
35,06
34,91","ЖД:
2478,00
2464,26

Авиа:
3277,91
3264,18","ЖД: 
50-55 календарных дней

Авиа: 
40-45 календарных дней","20972,35","9-12 календарных дней фото/видео 
13-15 дней доставка до Москвы",
,Термосумка для еды,"Материал: ткань оксфорд + теплоизоляционная ткань
Размер: 24см*15см*19,5см
Внутри дополнительный карман
Цвета: желтый, красный, черный, синий, серый
Нанесение: логотип в 1 цвет",1000,"ЖД:
3,57

Авиа:
4,16","ЖД:
330,95

Авиа:
386,48","ЖД:
55-60 календарных дней

Авиа:
45-50 календарных дней
","15656,65","5-10 календарных дней фото/видео
13-15 календарных дней доставка до Москвы",
,Термосумка для еды,"Материал: ткань оксфорд + теплоизоляционная ткань
Размер: 23см*24см*14см
Цвета: желтый, светло-зеленый, синий, серый розовый
Нанесение: логотип в 1 цвет
Вес: 0,25 кг","500

1000","ЖД:
7,54

Авиа:
8,66","ЖД:
699,89

Авиа:
804,01","ЖД:
45-50 календарных дней

Авиа:
35-40 календарных дней","11108,27","7-12 календарных дней фото/видео
13-15 календарных дней доставка до Москвы",
,Пластиковая корзинка для еды,"Корзинка с ручками
Материал: пластик (полипропилен), включая крышку
Размер: 34*23*19см
Цвета: белый, черный, хаки
Нанесение: логотип в 1 цвет на крышку; UV-печать на всю площадь крышки; печать на боковой поверхности
Вес: 0,9 кг","500

1000","ЖД:
12,72

Авиа:
16,46","ЖД:
1176,96

Авиа:
1522,91","ЖД:
35-40 календарных дней

Авиа:
25-30 каледнарных дней","11006,54","3-7 календарных дней фото/видео
13-15 календарных дней доставка до Москвы",
