,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,"бутылка-термос с магнитным держателем для телефона

( фабрика №1)","Материал: нержавеющая сталь, пластик
Объем: 960 мл
Цвет: см. доп. фото
Имеется магнитный держатель для телефона
Держатель подходит для всех видов телефона
Айфоны прикрепляются к магнитному держателю сами, на андроиды требуется наклеить магнит, идущий в комплекте
Выкраска в несколько цветов (по пантону производителя) дороже

Упаковка: белая коробка
Кастом: лазерная гравировка лого (от 1000)",1000,"12,07","1128,99",30-37 кд,"6094,61",12-14 кд,
,,,,"12,37","1156,34",,,,
,,,50,"12,27","1147,61",,,,
,,,250,"11,98","1096,59",,,,
,,"Материал: нержавеющая сталь, пластик
Объем: 340 мл
Цвет: см. доп. фото
Имеется магнитный держатель для телефона
Держатель подходит для всех видов телефона
Айфоны прикрепляются к магнитному держателю сами, на андроиды требуется наклеить магнит, идущий в комплекте

Упаковка: белая коробка
Кастом: лазерная гравировка лого(от 1000)",50,"9,23","863,19",30-37 кд,,,
,,,1000,"9,06","847,29",,"6094,61",12-14 кд,
,,,250,"8,94","818,25",,,,
,,"Материал: нержавеющая сталь, пластик
Объем: 450 мл
Цвет: см. доп. фото
Имеется магнитный держатель для телефона
Держатель подходит для всех видов телефона
Айфоны прикрепляются к магнитному держателю сами, на андроиды требуется наклеить магнит, идущий в комплекте

Упаковка: белая коробка
Кастом: лазерная гравировка лого (от 1000)",50,"9,76","912,13",30-37 кд,,,
,,,1000,"9,60","897,51",,"6094,61",12-14 кд,
,,,250,"9,47","866,14",,,,
,,"Материал: нержавеющая сталь, пластик
Объем: 510 мл
Цвет: см. доп. фото
Имеется магнитный держатель для телефона
Держатель подходит для всех видов телефона
Айфоны прикрепляются к магнитному держателю сами, на андроиды требуется наклеить магнит, идущий в комплекте

Упаковка: белая коробка
Кастом: лазерная гравировка лого(от 1000)",50,"10,13","946,90",30-37 кд,,,
,,,1000,"9,97","932,57",,"6094,61",12-14 кд,
,,,250,"9,84","900,18",,,,
,,"Материал: нержавеющая сталь, пластик
Объем: 620 мл
Цвет: см. доп. фото
Имеется магнитный держатель для телефона
Держатель подходит для всех видов телефона
Айфоны прикрепляются к магнитному держателю сами, на андроиды требуется наклеить магнит, идущий в комплекте

Упаковка: белая коробка
Кастом: лазерная гравировка лого(от 1000)",50,"10,97","1025,54",30-37 кд,,,
,,,1000,"10,77","1006,92",,"6094,61",12-14 кд,
,,,250,"10,68","977,13",,,,
,,"Материал: нержавеющая сталь, пластик
Объем: 710 мл
Цвет: см. доп. фото
Имеется магнитный держатель для телефона
Держатель подходит для всех видов телефона
Айфоны прикрепляются к магнитному держателю сами, на андроиды требуется наклеить магнит, идущий в комплекте

Упаковка: белая коробка
Кастом: лазерная гравировка лого(от 1000)",50,"11,54","1078,54",30-37 кд,,,
,,,1000,"11,28","1054,34",,"6094,61",12-14 кд,
,,,250,"11,25","1029,00",,,,
,,"Материал: нержавеющая сталь, пластик
Объем: 1135 мл
Цвет: см. доп. фото
Имеется магнитный держатель для телефона
Держатель подходит для всех видов телефона
Айфоны прикрепляются к магнитному держателю сами, на андроиды требуется наклеить магнит, идущий в комплекте

Упаковка: белая коробка
Кастом: лазерная гравировка лого(от 1000)",50,"13,02","1216,99",30-37 кд,,,
,,,1000,"12,82","1198,36",,"6094,61",12-14 кд,
,,,250,"12,73","1164,48",,,,
,Бутылка ( фабрика №2),"Материал: нержавеющая сталь, пластик
Объем: 720 мл
Цвет: см. доп. фото
Имеется магнитный держатель для телефона
Держатель подходит для всех видов телефона
Айфоны прикрепляются к магнитному держателю сами, на андроиды требуется наклеить магнит

Упаковка: белая коробка
Кастом: лазерная гравировка лого
Минимальный тираж при кастоме  ( 300 шт минимум)",300,"15,47","1415,21",35-40 кд,"10064,49",15-17 кд,
,,,,"15,61","1428,59",,,,
,,,250,"15,48","1416,34",,,,
,Бутылка ( фабрика №3),"Материал: нержавеющая сталь, пластик
Объем: 720 мл
Цвет: см. доп. фото
Имеется магнитный держатель для телефона
Держатель подходит для всех видов телефона
Айфоны прикрепляются к магнитному держателю сами, на андроиды требуется наклеить магнит

Упаковка: белая коробка
Кастом: лазерная гравировка лого
Минимальный тираж при кастоме и без равны","100-250 
 ( кастом) 




100-250
 ( без кастом) ","14,96","1368,57",30-35 кд,"5980,43",12-14 кд,
,,,,"14,81","1355,18",27-32 кд,,,
