,"Менеджер: Марковская Злата
Email: zlata@megamind.ru
Телефон: 
","ВНИМАНИЕ: все наборы (елка + игрушка) будут упакованы в фабричные гофрокоробки без надписей, стоимость перепаковки ввиду того, что неизвестно какое в итоге будет наполнение и вес набора рассчитать невозможно, можно только дать предположительные + 200-450р к итоговой стоимости набора",,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,"Елка без игрушек, шишек и гирлянд","Материал: pe-пластик
Цвет: фабричный
Размер: 45см
Упаковка: в пакет и в гофрокоробку без надписей","200

300

500","55,61

54,28

52,95","5 427,82 ₽

5 302,94 ₽

5 178,57 ₽",90-100кд альтернативная доставка,15 632 ₽,18-20кд,
,"Елка без игрушек, шишек и гирлянд","Материал: пвх
Цвет: фабричный
Размер: 45см
Упаковка: в пакет и в гофрокоробку без надписей
На деревянной ножке","200

300

500","33,40

33,10

32,79","3 330,59 ₽

3 301,81 ₽

3 273,57 ₽",100-110кд альтернативная доставка,10 305 ₽,18-20кд,
,"Елка без игрушек, шишек и гирлянд","Материал: пвх
Цвет: фабричный
Размер: 45см
Упаковка: в пакет и в гофрокоробку без надписей
На деревянной ножке","200

300

500","30,61

30,30

30,00","3 069,52 ₽

3 040,75 ₽

3 012,51 ₽",100-110кд альтернативная доставка,10 028 ₽,18-20кд,
,"Елка без игрушек, шишек и гирлянд","Материал: пвх
Цвет: фабричный
Размер: 60см
Упаковка: в пакет и в гофрокоробку без надписей
Ножка в мешочке","200

300

500","44,23

44,07

43,79","4 363,17 ₽

4 348,43 ₽

4 321,96 ₽",100-110кд альтернативная доставка,14 273 ₽,18-20кд,
,"Елка без игрушек, шишек и гирлянд","Материал: пвх
Цвет: фабричный
Размер: 60см
Упаковка: в пакет и в гофрокоробку без надписей
Ножка в мешочке","200

300

500","40,96

40,67

40,38","4 057,24 ₽

4 030,26 ₽

4 003,79 ₽",100-110кд альтернативная доставка,13 940 ₽,18-20кд,
,,,,,,,,,
,Елочные шары в тубусе,"Материал: пластик
Цвет: фабричный синий или зеленый
Размер шарика: 4см
Упаковка: по 24шт одного цвета в тубус из пвх 20*9,5см","200

300

500","3,84

3,67

3,62","378,59 ₽

361,45 ₽

357,05 ₽","30-35кд (если на момент заказа нужное количество наборов будет в наличии, в противном случае нужно узнавать производственное расписание фабрики)",2 500 ₽,16-18кд,
,Елочные шары в тубусе,"Материал: пластик
Цвет: фабричный синий или зеленый
Размер шарика: 3см
Упаковка: по 24шт одного цвета в тубус из пвх 15*7см","200

300

500","2,16

2,07

2,00","210,62 ₽

201,45 ₽

195,53 ₽","30-35кд (если на момент заказа нужное количество наборов будет в наличии, в противном случае нужно узнавать производственное расписание фабрики)",2 151 ₽,16-18кд,
,Металлостикеры,"Материал: металл
Цвет: золотой (можно выбрать другой)
Размер: 1,5*1,5см, лист а5 примерно
Упаковка: в пакетик


Размер: 2*2см",100,"1,52


1,62","150,68 ₽


160,10 ₽",37-42кд,6 200 ₽ - один лист,22-24кд,
,Гирлянда,"Материал: пластик
Работает от трех батареек CR2032, идут в комплекте
Длина 2 метра, 20 лампочек","200

300

500","0,45

0,42

0,39","42,65 ₽

39,82 ₽

37,55 ₽",35-40кд,1 768 ₽,16-18кд,
,Гирлянда,"Материал: пластик
Работает от трех батареек CR2032, идут в комплекте
Длина 3 метра, 30 лампочек","200

300

500","0,52

0,49

0,46","49,12 ₽

46,29 ₽

44,02 ₽",35-40кд,1 773 ₽,16-18кд,
,Набор игрушек из нетканного материала,"Материал: нетканный войлок
Размер: 1 шт 3*3см примерно
Крепление: на нитку золотистого цвета (можно поменять)

Набор: 24 штуки по 8шт на вид игрушки
Упаковка: в пакетик","500 (наборов, 12000шт)","4,3","411,33 ₽",80-85кд,15 951 ₽,27-30кд,
,Банты набор по 2шт (возможна индивидуальная перепаковка),"Материал: полиэстер со слоем блесток
Размер: 12*13см
Цвет: фабричный
Вес одного набора: 6-10г
Крепление: на две проволоки
Упаковка в пакетик по 2шт","100

150

250","2,12

2,00

1,89","201,17 ₽

189,72 ₽

179,60 ₽","115-120кд

120-125кд

125-130кд",1 952 ₽,16-18кд,
,Колокольчики набор по 6шт (возможна индивидуальная перепаковка),"Материал: лен + металл
Размер: примерно 5*5см
Вес одного набора: 30-35г
Крепление: на две нитки
Цвет: фабричный зеленый (синих цветов нет)
Упаковка: в пакетик по 6шт","834

1250

2084","2,26

2,22

2,20","216,83 ₽

213,35 ₽

211,44 ₽","115-120кд

120-125кд

125-130кд",2 037 ₽,16-18кд,
,Шарики из войлока набор по 3шт (возможна идивидуальная перепаковка),"Материал: войлок
Размер: примерно 4см
Вес одного набора: 6-8г

Цвета в близкие к пантону
Упаковка: в пакетик","1667

2500

4167","1,46

1,43

1,42","137,51 ₽

135,38 ₽

134,23 ₽","115-120кд

120-125кд

125-130кд",7 286 ₽,16-18кд,
,Подарки из войлока,"Материал: войлок
Размер: примерно 3*3см
Вес: 3-5г
Цвета в близкие к пантону
Упаковка: в пакетик","5000

7500

12500","1,06

1,04

1,04","100,20 ₽

98,77 ₽

98,02 ₽","115-120кд

120-125кд

125-130кд",7 286 ₽,16-18кд,
