,"Менеджер: Ким Софья
Email: sofia.k@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ЖД ($.):,Цена за шт. ЖД (руб.):,Цена за шт. Авиа ($.):,Цена за шт. Авиа (руб.):,Цена за шт. Долгое ЖД ($.):,Цена за шт. Долгое ЖД (руб.):,Срок тиража ЖД,Срок тиража Авиа,Срок тиража Долгое ЖД,Образец,Срок образца,Доп. фото
,Брелок змея,"Размер: 6-8 см
Материал: флок
Добавят крепление для брелка
Упаковка: инд пакет
Из наличия
",8000,"2,7","248,5","2,7","256,2",,,55-60,45-50,,2150 (из наличия),12-15,
,,,16 000,"2,7","248,4","2,7","256,1",,,,,,,,
,Брелок змея из пвх,"Размер: 6-8 см
Материал: пвх
Упаковка: инд пакет
Из наличия
",8000,"2,1","194,5","2,2","202,2",,,55-60,45-50,,2150 (из наличия),12-15,
,,,16 000,"2,1","194,4","2,2","202,1",,,,,,,,
,Брелок псбишка из смолы,"Материал: смола
Размер: 7-8 см
Упаковка: инд пакет
Брендирование: псб мишка по индивидуальному дизайну",8000,"1,6","153,6","1,8","167,6",,,45-50,35-40,,25 600,17-20,
,,,16 000,"1,6","153,5","1,8","167,5",,,,,,,,
,Брелок псбишка из пвх,"Материал: пвх
Размер: 7-8 см
Упаковка: инд пакет
Брендирование: псб мишка по индивидуальному дизайну",8000,"1,7","160,3","1,9","174,3",,,60-65,50-55,,20 900,20-22,
,,,16 000,"1,6","150,3","1,8","164,2",,,,,,,,
,Брелок псбишка из плюша,"Материал: плюш
Размер: 7-8 см
Упаковка: инд пакет
Брендирование: псб мишка по индивидуальному дизайну + шарфик",8000,"2,6","242,1","2,7","254,7",,,40-45,30-35,,13 700,17-19,
,,,16 000,"2,6","242,0","2,7","254,6",,,,,,,,
,Брелок псбишка из плюша 2,"Материал: плюш
Размер: 10 см
Упаковка: инд пакет
Брендирование: псб мишка по индивидуальному дизайну + шарфик",8000,"3,9","363,5",4,"376,1",,,45-50,35-40,,16 100,17-19,
,,,16 000,"3,9","363,4",4,376,,,,,,,,
,Брелок псбишка из плюша в инд дизайне,"Материал: плюш
Размер: 12 см
Упаковка: инд пакет
Брендирование: псб мишка по индивидуальному дизайну + шарфик",8000,"2,7","248,0","2,8",262,2,"189,1",55-60,45-50,65-70,25600,20-22,
,,,16 000,"2,7","247,9","2,8","261,9",2,189,,,,,,
,Брелок мишка из плюша из наличия,"Материал: плюш
Размер: 12 см
Упаковка: инд пакет
Белый медведь из наличия",8000,"2,6","247,2","2,8","261,2",2,"188,4",55-60,45-50,65-70,2100,12-14,
,,,16 000,"2,6","247,1","2,8","261,1",2,"188,3",,,,,,
,Масляные мелки для рисования,"12 цветов
Брендирование: инд дизайн коробки",3500,"1,5","138,8",2,"182,5",,,40-45,30-35,,20 900,18-20,
