,"Менеджер: Ким Софья
Email: sofia.k@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ЖД ($.):,Цена за шт. ЖД (руб.):,Цена за шт. Авиа ($.):,Цена за шт. Авиа (руб.):,Срок тиража ЖД,Срок тиража Авиа,Образец,Срок образца,Доп. фото
,Рюкзак,"Материал: полиэстер+нейлон
Размер: 33*22*11см
Вес: 250г
Упаковка: инд пакет
Брендирование: термотрансферная печать",300,"8,6","799,5","9,6","885,9",40-45,30-35,7100,14-17,
,,,500,"8,6","797,2","9,6","883,7",,,,,
,Рюкзак,"Материал: оксфорд + кожзам
Размер: 30*44*16 см
Вес: 480г
Упаковка: инд пакет
Брендирование: нанесение логотипа в 1 цвет",300,"26,2","2424,5","29,4",2717,45-50,35-40,14 900,17-19,
,,,500,"26,2","2422,3","29,4","2714,8",,,,,
,Термокружка,"Материал: нержавеющая сталь
Объем: 600 мл
Упаковка: инд коробка
Брендирование: нанесение логотипа в 1 цвет
Стакан + крышка + трубочка
Цвет: серый",300,"10,3","953,2","12,1","1119,2",35-40,25-30,10 000,17-19,
,,,500,"10,3","950,9","12,1",1117,,,,,
,Термокружка,"Материал: нержавеющая сталь
Объем: 60 мл
Упаковка: инд коробка
Брендирование: нанесение логотипа в 1 цвет (гравировка, так же возможны шелкография и 3д печать)
Стакан + крышка + трубочка
Цвет: серый",300,"7,1","653,8","8,9","823,3",35-40,25-30,8100,15-17,
,,,500,"7,0","651,5","8,9",821,,,,,
,Термокружка,"Материал: нержавеющая сталь
Объем: 1000мл
Цвет: серый
Брендирование: нанесение логотипа в 1 цвет 5 см(гравировка/шелкография)
Стакан + крышка с трубочкой и ручкой
Цвет: серый",300,"19,4","1798,1","24,1","2230,6",55-60,45-50,8000,25-27,
,,,500,"19,4","1795,9","24,1","2228,3",,,,,
,Рюкзак,"Материал: оксфорд + полиэстер
Размер: 36*22*13 см
Вес: 
Упаковка: инд пакет
Брендирование: нанесение в 1 цвет (шелкография)",300,"18,4","1700,0","20,3",1873,55-60,45-50,15 000,20-22,
,,,500,"18,4","1697,7","20,2","1870,7",,,,,
,Рюкзак,"Материал: полиэстер
Размер: 
Вес: 
Упаковка: инд пакет
Брендирование: нанесение в 1 цвет
Разъем для USB",500,"32,6","3012,0","35,7","3299,6",75-80,65-70,21 200,20-22,
