",03,202",,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
",03,202",Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
Света Ч, ,Капучинатор из адвентов,"Материал: ABS + нержавеющая сталь 304
Размеры: с венчиком для взбивания: 30 см высота, 3 см диаметр
с венчиком для вспенивания: 26 см высота, 3 см диаметр
Технические характеристики:
Номинальная мощность: 4W
Номинальное входное напряжение: 5V
Номинальный входной ток: 1A
Ёмкость аккумулятора: 1200 мА·ч
Скорость вращения: 6000 / 7000 / 8000 об/мин
Комплектация: венчик для взбивания яиц 1 шт, венчик для вспенивания молока 1 шт, зарядный кабель 1 шт, инструкция 1 шт
Цвета: белый, чёрный
Упаковка: коробка", Дизайн: нанесение логотипа - шелкография/лазерная гравировка,2200,"6,5","552,7",55-60,"7,3","619,6",45-50,6 700,7,17-19,
Арина, ,Пиксельный конструктор из адвентов,"Материал: пластик
Размер: коробка 11,3*4,1*7,8 см (размер самой фигурки зависит от конкретной модели)
Упаковка: индивидуальная фабричная коробка 

*в наборах от 147 до 245 деталей (зависит от модели)",Дизайн: из наличия,2200,"2,3","198,4",40-45,"3,2","269,4",30-35,3 500,5,15-17,
Катя, ,"Светодиодная гирлянда

","Материал: пластик
Размер: 3 м, 30 ламп
Упаковка: сток
Примечание от фабрики: нужен ДС (15000 тыс руб, в стоимость НЕ входит)",Дизайн: сток,2200,"6,2","533,4",45-50,"6,5","555,7",35-40,4 200,2,12-14,
,,,,,,,,,,,,,,,
Катя, ,"Светодиодная гирлянда

с шарами: вы мне такую считали на тираж 2800 штук здесь (строки 8-9)  https://docs.google.com/spreadsheets/d...9296892...
","Материал: пвх
Размер: 3 метра (20 фонариков)
Упаковка: сток
Примечание от фабрики: нужен ДС (15000 тыс руб, в стоимость НЕ входит)",Дизайн: сток,2200,"8,4","759,1",40-45,"12,6","1152,5",30-35,3 950,2,12-14,
,,,,,,,,,,,,,,,
Катя, ,Светодиодная гирлянда с фиолетовым светом,"Материал: пвх
Размер: 3 метра (20 фонарей)
Упаковка: сток
Примечание от фабрики: нужен ДС (15000 тыс руб, в стоимость НЕ входит)",Дизайн: сток,2200,9,"812,4",45-50,"13,1",1190,35-40,4 150,2,12-14,
,,,,,,,,,,,,,,,
Катя, ,"светильник/лампа

","Материал: ABS и PC пластик
Размер: 23 х 15 см
Упаковка: коробка
Примечание от фабрики: нужны серты ДС + СС (100 000 тыс руб, в стоимость входит)
Технички:
Светодиоды: LED 2835
Мощность: 1 Вт
Цветовая температура: 3000K-4000K-6000K
Питание: 5V 1A
Тип разъема: Type-C + USB-A
Емкость аккумулятора: 1200 мАч
Время работы: 3-6 часов
Вес: 0,24 кг
Комплектация: USB-кабель + Type-C"," Дизайн: можно изменить цвет (аэрозольная краска), лого лазерной гравировкой",2200,"20,7","1852,5",65-70,28,"2528,1",55-60,9 500,5,15-17,
,,,,,,,,,,,,,,,
Катя, ,"светильник/лампа

","Материал: кованое железо, акрил
Размер: 28 х 9 см
Упаковка: коробка
Примечание от фабрики: нужны серты ДС + СС (100 000 тыс руб, в стоимость входит)"," Дизайн: цвет фиолетовый сток, лого 1 цвет шелкография",2200,"19,0",1713,55-60,"26,8","2442,6",45-50,12 150,5,15-17,
,,,,,,,,,,,,,,,
