,,,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Менеджер,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,"Твистер

Игра «Акробатика» (на подобии игры «Твистер»)
",Саша,"Материал: пластик
Размер: 160*112см
Упаковка: опп пакет
Примечание от фабрики: минимальный заказ при смене формы - 4000 штук", Дизайн: по макету,4000,"3,7","312,8",45-50,73 561,10,20-22,
,,,,,,,,,,,,
 ,"Акриловое домино на 28 карточек по индивидуальному дизайну
",Света Л,"Материал: акрил
Размер: 1.9 х 3.8 х 0.5 см
Упаковка: цветная коробка
Примечание от фабрики: необходимо подтверждение стоимости после проработки образца"," Дизайн: индивидуальный дизайн карточек, одна сторона - одинаковая запечатка, другая сторона - разные макеты; 28 карточек",1300,"17,2","1459,8",45-50,10 500,5,15-17,
 ,"Елочные игрушки – картонаж

Набор из 4 елочных игрушек-картонажа
",не считаем ,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,1300,,,,,,10-12,
,,,,,,,,,,,,
 ,"Столовая дорожка


длиной 160 см
",Света Ч,"Материал: лен
Размер: 33*160 см
Упаковка: индивидуальный пакет", Дизайн: индивидуальная печать,1300,"2,6","217,5",40-45,5 800,7,17-19,
 ,"Столовая дорожка


длиной 160 см
",Света Ч,"Материал: полиэстер
Размер: 33*160 см
Упаковка: индивидуальный пакет", Дизайн: индивидуальная печать,1300,"1,9","159,5",35-40,2 000,3,13-15,
 ,"Столовые салфетки

Набор из двух салфеток для сервировки
",Света Ч,"Материал: полиэстер
Размер: 45*45 см
Упаковка: индивидуальный пакет", Дизайн: индивидуальная печать,1300,"1,3","111,5",35-40,5 000,3,13-15,
 ,"Столовые салфетки

Набор из двух салфеток для сервировки
",Света Ч,"Материал: лен
Размер: 45*45 см
Упаковка: индивидуальный пакет", Дизайн: индивидуальная печать,1300,"2,6","223,4",35-40,4 500,1,11-13,
 ,"Набор их 2-ух бокалов для шампанского с золотой деколью 
",Гоша,"Материал: стекло
Размер: 25*4,5 см ( + ножка 6,5 см)
Упаковка: безопасная упаковка (см фото)
Вес: 120-130 гр
Примечание от фабрики: бокалы ручной работы, поэтому вес бокалов может незначительно отличаться", Дизайн: деколь паттерна золотой цвет,1300 наборов по 2 бокала (всего 2600),"11,3","962,8",55-60,13 000,10-12,22-24,
,,,,,,,,,,,,
 ,"Набор их 3-ех елочных игрушек из металла индивидуальных форм
",Света Ч,"Материал: нержавеющая сталь
Размер: 6 см
Упаковка: индивидуальный пакет", Дизайн: индивидуальная форма,1300,"4,9","416,1",50-55,14000 - набор,15,25-27,
 ,"Набор из дутого шарфа и  дутых варежек 
с индивидуальным принтом.

Посчитать позиции как в наборе, 
так и по отдельности.
",Саша,"Материал: Внешняя часть выполнена из полиэстера, а внутренняя часть — из искусственного шёлкового хлопка
Размер: шарф - 115*18 мм
Упаковка: пакетик
Примечание от фабрики: цена в первой строчке - за шарф, во второй - за варежки, третья - комплект", Дизайн: по инд дизайну,1300 (шарф),"8,3","705,4",50-55,7 986,10,20-22,
,,,,,1300 (перчатки) ,"6,0","508,1",,,,,
,,,,,1300 (комплект) ,"12,1","1027,8",,,,,
,Шарф,Саша,"Материал: шерсть 13,5%
Регенерированное целлюлозное волокно 27%
Размер: 200*34CM
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток,1300,"9,8","828,9",35-40,2 454,2,12-14,
,фотохромный шарф,Саша,"Материал: 100% нейлон
Размер:  200 x 25 см
Упаковка: инд пакет 
Примечание от фабрики: "," Дизайн: фотохромный логотипом, двухцветная продукция и эффект на всю продукцию ",1300,"64,8","5509,9","55-60
",27 343,15,25-27,
,термохромный шарф,Саша,"Материал: 100% нейлон
Размер:  200 x 25 см
Упаковка: инд пакет 
Примечание от фабрики: "," Дизайн: термохромный лого, двухцветная продукция и эффект на всю продукцию ",1300,"64,8","5509,9","55-60
",27 343,15,25-27,
,Варежки ,Саша,"Материал: мех кролика, акрил, полиэстер
Размер: 23.5*12*3.5CM
Упаковка: инд пакет 
Примечание от фабрики: ", Дизайн: сток,1300,"3,6","302,9",35-40,1 891,2,12-14,
,термохромные перчатки,Саша,"Материал: 100% полиэстер
Размер: 
Упаковка: инд пакет 
Примечание от фабрики: "," Дизайн: термохромный лого, двухцветная продукция и эффект на всю продукцию ",1300,"26,0","2210,5","55-60
",12 887,15,25-27,
,фотохромные перчатки,Саша,"Материал: 100% полиэстер
Размер: 
Упаковка: инд пакет 
Примечание от фабрики: "," Дизайн: фотохромный логотипом, двухцветная продукция и эффект на всю продукцию ",1300,"26,0","2210,5","55-60
",12 887,15,25-27,
 ,"Набор для настольного тенниса Summer Club в чехле

https://illan-gifts.ru/product/nabor-dlia-nastolnogo-tennisa-summer-club-v-chehle-belyj-sinij/",Света Ч,"Материал: коучук, древесина, пластик, хлопок
Размер:  25*15 см
Упаковка: пыльник+пакет
В наборе: 2 ракетки, 3 мяча, пыльник","Дизайн: нанесение лого на ракетку, выкрас ракетки в пантон. Нанесение лого на мешок Нанесение лого на мяч с одной стороны

шелкография на пыльнике",1300,"20,2","1716,7",65-70,25 000,15,25-27,
 ,"Светильник-будильник, который имитирует рассвет

https://sl.aliexpress.ru/p?key=PPSK3sQ",Света Л,"Материал: пластик
Размер: 16.5 х 16.5 х 7 см
Упаковка: цветная коробка"," Дизайн: лого, шелкография / гравировка",1300,"31,6","2683,7",45-50,9 000,7,17-19,
 ,"Светильник-будильник, который имитирует рассвет

https://sl.aliexpress.ru/p?key=SPSK36a",Аня,"Материал: пластик
Размер: 179.69 × 158.82 × 75 мм
Упаковка: сток коробка Д 190 мм × Ш 92 мм × В 177 мм
Примечание от фабрики: необходимо подтверждение наличия у фабрики", Дизайн: одноцветный логотип,1300,"35,4","3009,4",55-60,24 800,7,17-19,
 ,"МФР-ролл

https://sl.aliexpress.ru/p?key=VSSK3rX",Света Ч,"Материал: ПВХ
Размер: 45*13 см
Упаковка: индивидуальный пакет-пленка"," Дизайн: нанесение логотипа, шелкография",1300,"9,3","793,6",40-45,5 600,5,15-17,
