,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Панама,"Материал:  полиэстер, нейлон
Размер: универсальный 
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:  лого 1 цвет ,300,"2,9","296,1",37-42,"3,5","348,2",27-32,5 784,5-7,15-17,
,,,,500,"2,3","244,7",,"2,8","285,9",,,,,
 ,Панама,"Материал:  полиэстер, нейлон, хлопок
Размер: универсальный 
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:  лого 1 цвет ,300,9.17,"779,8",37-42,"9,9","841,4",27-32,5 784,5-7,15-17,
,,,,500,"11,1","942,5",,"11,8","1004,2",,,,,
,Кепка ,"Материал:  полиэстер, нейлон, хлопок
Размер: универсальный 
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:  лого 1 цвет ,300,"5,9","504,4",37-42,"6,9","589,1",27-32,5 784,5-7,15-17,
,,,,500,"5,9","502,1",,"6,9","586,9",,,,,
 ,Панама,"Материал:  полиэстер, нейлон, хлопок
Размер: универсальный 
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:  лого 1 цвет ,300,"4,5","382,5",37-42,"5,2","444,1",27-32,5 784,5-7,15-17,
,,,,500,"4,4","375,2",,"5,1","436,9",,,,,
 ,Водонепроницаймый чехол ,"Материал:  PVC 500D
Размер: 270х130х70 мм
Упаковка: пакет 
Примечание от фабрики: ", Дизайн:  лого 1 цвет ,1000,"8,8","579,4",40-45 ,"7,5","639,8",30-35 ,8 035,5-7,15-17,
,,,,1500,"6,7","571,4",42-47,"7,4","631,8",32-37,,,,
 ,Водонепроницаймый чехол ,"Материал:  PVC 500D
Размер: 18,5х12 см
Упаковка: пакет 
Примечание от фабрики:  цвет - черный или голубой ", Дизайн:  лого 1 цвет ,1000,"5,7","487,1",50-55,"6,0","512,5",40-45 ,5 727,5-7,15-17,
,,,,1500,"5,7","484,5",50-55,"6,0","510,0",40-45,,,,
 ,Водонепроницаймый чехол ,"Материал:  PVC 500D
Размер: 18,5х12 см
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:  лого 1 цвет ,1000,"4,1","349,8",50-55,"4,4","375,2",40-45 ,5 835,5-7,15-17,
,,,,1500,04.09,"347,2",50-55,"4,4","372,7",40-45,,,,
 ,Водонепроницаймый чехол ,"Материал:  pu + tpu
Размер: 23,5х12 см
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:  лого 1 цвет ,1000,"2,7","232,5",40-45 ,"2,9","247,0",30-35,5 969,5-7,15-17,
,,,,1500,"2,7","230,1",40-45 ,"2,9","245,8",30-35,,,,
 ,Водонепроницаймый чехол ,"Материал:  tpe+pc+ стекло 
Размер: 194х112х44 мм
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:  лого 1 цвет ,1000,"33,3","2830,5",40-45 ,"35,2","2994,0",30-35,6 940,5-7,15-17,
,,,,1500,"33,3","2829,9",40-45 ,"35,2","2993,4",30-35,,,,
 ,Водонепроницаймый чехол ,"Материал:  PVC
Размер: 22х13,5 см
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:  лого 1 цвет ,1000,"5,5","472,6",40-45 ,"6,0","508,6",30-35,5 784,5-7,15-17,
,,,,1500,"5,5","470,0",40-45 ,"6,0","506,0",30-35,,,,
 ,Органайзер в машину ,"Материал:  кож зам 
Размер: 36X9X12 см
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:  лого 1 цвет ,300,"19,2","1634,0",40-45,"22,9","1942,2",30-35,6 638,5-7,15-17,
,,,,500,"19,2","1631,7",,"22,8","1940,0",,,,,
,,,,700,"19,2","1630,7",,"22,8","1939,0",,,,,
 ,Органайзер в машину ,"Материал:  полиэстер 
Размер: 90х25х8 см
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:  лого 1 цвет ,300,"7,7","655,1",40-45,"9,6","815,1",30-35,6 492,5-7,15-17,
,,,,500,"7,7","652,9",,"9,6","812,8",,,,,
,,,,700,"7,7","651,9",,"9,6","811,8",,,,,
 ,Органайзер в машину ,"Материал:  полиэстер 
Размер: 34*24cm
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:  лого 1 цвет ,300,"11,2","953,6",40-45,"13,5","1144,3",30-35,6 796,5-7,15-17,
,,,,500,10.9,"926,4",,"13,1","1117,2",,,,,
,,,,700,"10,9","925,5",,"13,1","1116,2",,,,,
 ,Органайзер в машину ,"Материал:  кож зам 
Размер: 
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:  лого 1 цвет ,300,"24,3","2064,6",40-45,"29,9","2541,4",30-35,7 772,5-7,15-17,
,,,,500,"24,0","2037,4",,"29,6","2514,3",,,,,
,,,,700,"23,7","2011,6",,"29,3","2488,5",,,,,
 ,Органайзер в машину ,"Материал:  кож зам 
Размер: 32*38*12cm
Упаковка: пакет 
Примечание от фабрики:  ", Дизайн:  лого 1 цвет ,300,"18,2","1544,8",40-45,"21,6","1837,5",30-35,7 373,5-7,15-17,
,,,,500,"17,9","1517,7",,"21,3","2064,6",,,,,
,,,,700,"17,8","1516,7",,"21,3","1809,3",,,,,
