,"Менеджер: Дергаусова Мила
Email: ludmila.d@megamind.ru
 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,ретрактор,"Материал: АБС, нержавеющая сталь
Размер: 5,51 (70 см)
Вес: 36 грамм
",Дизайн: уф печать/ лазер,1000,"2,6","240,2",33-38,"2,76","253,99",22-27,"2 805,68",17-19 (фото/видео 7 дней),
,,,,,,,,,,,,,
 ,ретрактор,"Материал: пластик, нержавеющая сталь
Размер: 12,1 (50см)
Вес: 27 грамм
",Дизайн: уф печать/ лазер,1000,"1,3","118,8",33-38,"1,42","130,87",22-27,"2 805,68","17-19 (фото/видео 7 дней)",
,,,,,,,,,,,,,
 ,ретрактор,"Материал: пластик
Размер: 2,51 см
Вес: 26 грамм
",Дизайн: уф печать/ лазер,1000,"3,7","344,5",35-40 ,"3,88","356,51",25-30 ,"3 898,72",20-22 (фото/видео 10 дней),
,,,,,,,,,,,,,
 ,ретрактор,"Материал: АБС, нержавеющая сталь
Размер: 
Вес: 50 грамм
",Дизайн: уф печать/ лазер,1000,"2,3","209,0",33-38,"2,46","226,72",22-27,"2 805,68","17-19 (фото/видео 7 дней)",
,,,,,,,,,,,,,
 ,ретрактор,"Материал: АБС
Размер: 9 см
Вес: 28 грамм
",Дизайн: уф печать/ лазер,1000,"1,4","132,5",33-38,"1,57","144,59",22-27,"2 805,68","17-19 (фото/видео 7 дней)
",
,,,,,,,,,,,,,
 ,ретрактор,"Материал: пластик
Размер: диаметр 45мм
Вес: 19 грамм
",Дизайн: уф печать/ лазер,1000,"1,1","103,5",35-40 ,"1,22","112,13",25-30 ,"3 898,72","20-22 (фото/видео 10 дней)",
,,,,,,,,,,,,,
 ,ретрактор,"Материал: металл
Размер: диаметр 40 мм
Вес: 60 грамм
",Дизайн: уф печать/ лазер,1000,"4,5","409,7",35-40 ,"4,75","437,26",25-30 ,"3 898,72","20-22 (фото/видео 10 дней)",
,,,,,,,,,,,,,
 ,ретрактор,"Материал: АБС
Размер: 4,95 см
Вес: 38 грамм
",Дизайн: уф печать/ лазер,1000,"3,7","342,1",35-40 ,"3,88","356,69",25-30 ,"3 898,72","20-22 (фото/видео 10 дней)",
