,"Менеджер: Прокопова Елена
Email: elena.p@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Цена за шт. ($.) АВИА:,Цена за шт. (руб.) АВИА::,Срок тиража ЖД ,Срок тиража авиа,Образец ,Срок образца,Доп. фото
,Бутылка 550мп,"Размер - 25,5*7    Материал -  нержавеющая сталь, крышка pp  Упаковка - коробка Нанесение - лого 1ц цвет как на визуале",2000,"5,6","514,0","6,7","616,7",50-55 дней ,40-45 дней ,"4351,56",17-22 дня,
,,,3000,"5,6","513,8","6,7","616,4",,,,,
,,,5000,"5,6","513,5","6,7","616,2",55-60 дней ,45-50 дней,,,
,чехол-сумка для бутылки ,"Размер под бутылку 25,5*7, длина ручки 80-100см Материал - полиэстер Упаковка - пакет                                Дизайн как на визуале                                        Выкрас  по цветам от фабрики  (фиолетовый в крапинку, или однотоный фиолетовый ---номера цветов на фото)",2000,"4,7","429,4","5,1","467,9",75-80 дней ,70-75 дней ,"9707,71 (чехол и шнурок )",20-25 дней ,
,,,3000,"4,5","410,6","4,9","449,1",85-90 дней ,80-90 дней ,,,
,,,5000,"4,3","391,9","4,7","430,4",100-110 дней,90-95 дней ,,,
,,выкрас по пантону ,2000,"4,7","432,0","5,1","470,5",80-85 дней ,75-80 дней ,,,
,,,3000,"4,5","413,2","4,9","451,7",90-95 дней ,85-90 дней,,,
,,,5000,"4,3","394,5","4,7","433,0",105-110 дней ,100-105 дней ,,,
,Шнурок для бутылки,"Выкрас по цветам от фабрики (фиолетовый в крапинку, или однотоный фиолетовый ---номера цветов на фото)",2000,"1,4","128,4","1,8","166,9",75-80 дней ,70-75 дней ,,,
,,,3000,"1,4","125,5","1,8","163,7",85-90 дней ,80-90 дней ,,,
,,,5000,"1,3","122,6","1,8","161,1",100-110 дней,90-95 дней ,,,
,,выкрас по пантону ,2000,"1,4","131,0","1,9","169,5",80-85 дней ,75-80 дней ,,,
,,,3000,"1,4","128,1","1,8","160,6",90-95 дней ,85-90 дней,,,
,,,5000,"1,4","125,2","1,8","163,7",105-110 дней ,100-105 дней ,,,
,чехол-сумка для бутылки ,Вариант ручек №1 (с застежкой),2000,"6,1","561,4","6,6","599,9",75-80 дней ,70-75 дней ,"9707,71 (чехол и шнурок )",20-25 дней ,
,,,3000,"5,9","542,6","6,35","581,1",85-90 дней ,80-90 дней ,,,
,,,5000,"5,7","523,9","6,2","562,4",100-110 дней,90-95 дней ,,,
,,Вариант ручек №2 (с застежкой),2000,"5,0","455,8","5,4","494,3",80-85 дней ,75-80 дней ,,,
,,,3000,"4,8","437,0","5,2","475,5",90-95 дней ,85-90 дней,,,
,,,5000,"4,6","418,3","5,0","456,8",105-110 дней ,100-105 дней ,,,
,, по цветам фабрики ,500,"4,6","421,3","5,0","459,8",70-75 дней ,60-65 дней ,"8233,52",20-25 дней,
,,,1000,"4,4","403,8","4,8","442,3",75-80  дней ,75-80  дней ,,,
,,выкрас в пантон ,500,"4,7","431,9","5,1","470,4",70-75 дней ,60-65 дней ,,,
,,,1000,"4,9","443,4","5,3","481,9",75-80  дней ,75-80  дней ,,,
,чехол-сумка для бутылки,"Два вида плетения на выбор,  по цветам фабрики ",4500,"4,9","431,5","5,3","473,1",110-115 дней ,100-105 дней ,"8233,52",20-25 дней,
