,,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,,Срок тиража,Образец ,Срок образца,Доп. фото
,Ланчбокс + сумка,"Материал: 
Ланчбокс: пластик, силикон
Сумка: 100% полиэстер
Цвет: выкраска по требованию клиента
Размеры:
Ланчбокс: 177*175*101мм
Сумка: 220*140*300мм
Упаковка в OPP-пакет

Кастом (только от 3000): возможно изменение цвета по пантону клиента, нанесение лого/картинки по макету клиента",3000,"18,7","1746,8",,80-90 календ. дн.,"34000,00",15-30 календ. дн. - фото+видео + 10-12 календ. дн. доставка,
,Ланчбокс ,"Материал: 
Ланчбокс: пластик, силикон
Цвет: выкраска по требованию клиента
Размеры:
Ланчбокс: 177*175*101мм
Упаковка в OPP-пакет

Кастом (только от 3000): возможно изменение цвета по пантону клиента, нанесение лого/картинки по макету клиента",3000,"11,7","1093,9",,,,,
,Ланчбокс + сумка,"Материал: 
Ланчбокс: пластик, силикон
Сумка: 100% полиэстер
Цвет: выкраска по требованию клиента
Размеры:
Ланчбокс: 177*175*101мм
Сумка: 220*140*300мм
Упаковка в OPP-пакет

Кастом (только от 3000): нет",1500,"18,99","1737,80",,,,,
,Шоппер-раскраска,"Материал: хлопок
Фломастеры в комплекте
Упаковка: опп-пакетик

Кастом: печать рисунка на шоппере по дизайну клиента",1000,"3,59","328,21",,28-37 календ. дн.,"8400,00",3 календ. дн. - фото+видео + 10-12 каледн. дн. доставка,
,Поп-сокет,"Материал: металл
Клейкая обратная сторона
Упаковка: опп-пакетик
Цвет: см. доп. фото

Кастом: печать рисунка на металлической поверхности",1000,"0,45","41,31",,35-40 календ. дн.,6200,2 календ. дн. - фото+видео + 10-12 каледн. дн. доставка,
,Кардхолдер,"Материал: кожзам
Клейкая обратная сторона
Упаковка: заводская коробка/опп-пакетик
Цвет: см. фото

Кастом: тиснение/печать лого","300
1000","3,94","366,09 ₽",,29-36 календ. дн.,23800,4-6 - календ. дн. - фото+видео + 10-12 каледн. дн. доставка,
,Блокнот,"Материал: пу (обложка), офсетная бумага
Упаковка: опп-пакет
Цвет: белый
",300,"5,9","567,8",170340,35-30 календ дн,9300,4 календ. дн. - фото+видео + 10-12 каледн. дн. доставка,
,,,1000,"5,7","550,45 ₽",,,,,
,Книжка - светильник,"Материал: красное ореховое дерево, крафт бумага
Упаковка: картонная коробочка
",300,"9,0","842,3",252675,32-37 календ дн,4300,3 календ. дн. - фото+видео + 10-12 каледн. дн. доставка,
,,,1000,"8,6","798,13 ₽",,,,,
,Вечный карандаш,"Материал: металл
Длина: 15,5 + колпачок 5,5
Колпачок на резьбе
5 оттенков (на фото)",300,"1,2","110,23 ₽",,29-34 календ дн,1500,1 - календ. дн. - фото+видео + 10-12 каледн. дн. доставка,
,,,1000,"1,1","100,91 ₽",,,,,
,Вечный карандаш,"Материал: дерево + металлический наконечник
Длина: 15,8
",300-1000,"0,7","67,41 ₽",,29-34 календ дн,1500,1 - календ. дн. - фото+видео + 10-12 каледн. дн. доставка,
,,"Материал: красное дерево + металлический наконечник
Длина: 15,8
",300-1000,"1,0","94,17 ₽",,,,,
,Гелевая ручка (полисандр),"
Материал: дерево, металл
Длина: 14,5
",300-1000,"0,8","74,42 ₽",,29-34 календ дн,1500,1 - календ. дн. - фото+видео + 10-12 каледн. дн. доставка,
,Гелевая ручка (красный сандал),,300-1000,"0,9","79,77 ₽",,,,,
,Гелевая ручка (черный сандал),,300-1000,"0,9","85,12 ₽",,,,,
,Гелевая ручка,"Материал: ореховое дерево, металл
Длина: 13,7",300,"5,6","513,50 ₽",,50-55 календ дн,2200,1 - календ. дн. - фото+видео + 10-12 каледн. дн. доставка,
,,,1000,"6,8","620,57 ₽",,,,,
