,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,Наценка,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб",Цена конфест,"Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Свеча,"Материал: соевый воск, стекло
Размер: 8х9,5 см
Упаковка: фабричная коробка
Примечание от фабрики: множество разных ароматов (см.доп.фото)"," Дизайн: сток, нанесение логотипа/кастом индивидуальной коробки от 500 шт","1,7",80,"73,0","6131,1","8583,5",30-35,,,,10 000,3,13-15,
,,,,,,,,,,,,,,,,
 ,Свеча,"Материал: соевый воск, стекло
Размер: 6,5х9,2 см
Упаковка: фабричная коробка
Примечание от фабрики: множество разных ароматов (см.доп.фото)"," Дизайн: сток, нанесение логотипа/кастом индивидуальной коробки от 500 шт","1,7",100,"16,5","1388,0","1943,2",30-35,,,,4 200,3,13-15,
,,,,,,,,,,,,,,,,
 ,Свеча,"Материал: соевый воск, стекло
Размер: 6х6,6 см, 200 гр
Упаковка: фабричная коробка
Примечание от фабрики: множество разных ароматов (см.доп.фото)"," Дизайн: сток, нанесение логотипа/кастом индивидуальной коробки от 500 шт","1,7",350/400,"6,5","548,3","767,7",30-35,,,,3 000,3,13-15,
,,,,,,,,,,,,,,,,
 ,Диффузор,"Материал: стекло
Размер: 200-550 мл
Упаковка: заводская коробка
Примечание от фабрики: 
Палочки в комплекте
Крышка на выбор из каталога
Форма на выбор из каталога"," Дизайн: печать шелкография 1 или несколько цветов, выкрас в пантон от 1000 штук","1,7",350/400,"6,7","561,6","786,3",45-50,,,,4 500,10,20-22,
,,,,,,,,,,,,,,,,
 ,Зажим для платка ,"Материал: сплав
Размер: около 3-5 см
Упаковка: опп
Примечание от фабрики: цвета камней см. в доп.фото", Дизайн: гравировка на задней части ,"1,8",80,"4,5","379,9","531,9",40-45,,,,7 900,7,17-19,
,,,,,,,,,,,,,,,,
 ,Зажим для платка ,"Материал: сплав
Размер: около 3-5 см
Упаковка: опп
Цвет: серебро/золото + доп.фото
Примечание от фабрики: ещё возможные формы см. в дп.фото", Дизайн: сток,"1,8",100,"3,4","288,2","403,5",30-35,,,,2 800,3,13-15,
,,,,,,,,,,,,,,,,
 ,Зажим для платка ,"Материал: сплав
Размер: около 3-5 см
Упаковка: опп
Цвет: как на фото
Примечание от фабрики: ещё возможные формы см. в дп.фото", Дизайн: сток,"1,8",350/400,"1,9","158,3","221,6",30-35,,,,2 800,3,13-15,
,,,,,,,,,,,,,,,,
 ,Саше,"Материал: гипс
Размер: около 15 см
Упаковка: фабричная
Цвет: как на фото
Примечание от фабрики: ещё возможные формы см. в дп.фото", Дизайн: сток,"1,8",350/400,"2,7","226,5","317,1",30-35,,,,3 000,5,15-17,
,,,,,,,,,,,,,,,,
 ,Саше,"Материал: гипс
Размер: около 15 см
Упаковка: фабричная
Цвет: как на фото
Примечание от фабрики: ещё возможные формы см. в дп.фото", Дизайн: сток,"1,8",100,"3,9","327,5","458,5",30-35,,,,3 000,5,15-17,
,,,,,,,,,,,,,,,,
 ,Саше,"Материал: гипс, дерево
Размер: около 13 см
Упаковка: фабричная
Цвет: как на фото", Дизайн: сток,"1,8",100,"9,7","813,4","1138,8",30-35,,,,4 000,5,15-17,
,,,,,,,,,,,,,,,,
 ,Саше,"Материал: картон
Размер: 9 см
Упаковка: фабричная вакуумная", Дизайн: печать по макету клиента,5,100,"3,5","293,7","411,2",35-40,,,,6 000,5,15-17,
,,,,,,,,,,,,,,,,
,,,,5,300-400,"2,7","226,5","317,1",,,,,,,,
,,,,,,,,,,,,,,,,
 ,Баночка,"Материал: керамика
Размер: около 7,5*10 см
Упаковка: транспортировочная
Цвет: как на фото", Дизайн: сток,"1,7",100,"4,4","366,5","513,0",35,,,,4 000,5,15-17,
,,,,"1,7",400,"4,2","353,7","495,2",,,,,4 000,5,15-17,
 ,Баночка,"Материал: костяной фарфор
Размер: около 7,5*10 см
Упаковка: транспортировочная
Цвет: как на фото", Дизайн: открытие формы,"1,7",400,"25,2","2117,1","2964,0",35,,,,30 000,25,35-37,
 ,Баночка,"Материал: керамика
Размер: около 7,5*15,3 см
Упаковка: транспортировочная
Цвет: как на фото", Дизайн: сток,"1,7",100,"6,7","561,7","786,4",35,,,,4 000,5,15-17,
,,,,"1,7",400,"6,5","549,0","768,6",,,,,4 000,5,15-17,
 ,Баночка,"Материал: костяной фарфор
Размер: около 7,5*15,3 см
Упаковка: транспортировочная
Цвет: как на фото", Дизайн: открытие формы,"1,7",400,"26,9","2262,4","3167,3",35,,,,30 000,25,35-37,
