,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,Коэф,"Тираж, шт",Доставка ЖД оптимизация под полную ожидается,,,Доставка МОРЕ,,,Доставка АВИА оптимизация под полную ожидается,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Футболка в опп пакете,"Материал: хлопок 95% + полиэстер 5% (200-230 гр/м2)
Размер: L (по лекалам клиента)
Упаковка: инд опп с маркировкой", Дизайн: DTF печать с двух сторон по макету клиента + картонная бирка ЧЗ крепится на резмерник,"1,5",4000,"13,0","1100,8",70-80,-,-,-,"14,3","1218,1",60-70,18 900,15,25-27,
,,,,"1,5",6000,"12,5","1066,3",75-85,-,-,-,"13,9","1183,5",65-75,,,,
,,,,"1,4",15000,"11,3","960,6",85-90,"7,8","659,8",120-130,"12,6","1070,0",75-80,,,,
,,,,"1,4",25000,"11,0","936,3",90-100,"7,4","631,3",120-130,"12,3","1045,7",80-90,,,,
 ,Футболка в зип пакете,"Материал: хлопок 95% + полиэстер 5% (200-230 гр/м2)
Размер: L (по лекалам клиента)
Упаковка: инд зип с маркировкой", Дизайн: DTF печать с двух сторон по макету клиента + картонная бирка ЧЗ крепится на резмерник,"1,5",4000,"13,4","1140,8",70-80,-,-,-,"14,9","1264,3",60-70,18 900,15,25-27,
,,,,"1,5",6000,"13,0","1105,8",75-85,-,-,-,"14,5","1229,3",65-75,,,,
,,,,"1,4",15000,"11,7","996,5",85-90,"7,9","669,0",120-130,"13,1","1111,7",75-80,,,,
,,,,"1,4",25000,"11,4","971,8",90-100,"7,5","640,1",120-130,"12,8","1087,0",80-90,,,,
 ,Футболка в опп пакете в коробке,"Материал: хлопок 95% + полиэстер 5% (200-230 гр/м2)
Размер: L (по лекалам клиента)
Упаковка: инд опп с маркировкой + коробка", Дизайн: DTF печать с двух сторон по макету клиента + картонная бирка ЧЗ крепится на резмерник + коробка по макету клиента,"1,5",4000,"20,5","1738,8",70-80,"12,2","1033,8",110-120,"24,0","2037,7",60-70,31 800,15,25-27,
,,,,"1,5",6000,"20,0","1702,4",75-85,"11,5","980,6",110-120,"23,6","2001,4",65-75,,,,
,,,,"1,4",15000,"18,3","1552,3",85-90,"10,6","905,2",120-130,"21,5","1831,3",75-80,,,,
,,,,"1,4",25000,"18,0","1527,0",90-100,"10,3","875,3",120-130,"21,3","1806,0",80-90,,,,
 ,Футболка в зип пакете в коробке,"Материал: хлопок 95% + полиэстер 5% (200-230 гр/м2)
Размер: L (по лекалам клиента)
Упаковка: инд зип с маркировкой + коробка", Дизайн: DTF печать с двух сторон по макету клиента + картонная бирка ЧЗ крепится на резмерник + коробка по макету клиента,"1,5",4000,"21,0","1781,3",70-80,"12,3","1044,2",110-120,"24,6","2088,4",60-70,31 800,15,25-27,
,,,,"1,5",6000,"20,5","1744,5",75-85,"11,7","990,7",110-120,"24,1","2051,7",65-75,,,,
,,,,"1,4",15000,"18,7","1590,5",85-90,"10,8","914,4",120-130,"22,1","1877,2",75-80,,,,
,,,,"1,4",25000,"18,4","1564,9",90-100,"10,4","884,2",120-130,"21,8","1851,5",80-90,,,,
