,"Менеджер: Тищук Анастасия
Email: tishuk.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,,,,,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,,,,,,,,,
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",,,,,,,,,
 ,Чайник и чп эгоист,"Материал: костяной фарфор
Упаковка: транспортировочная
Примечание от фабрики: цена ориентировочная нужен макет"," Дизайн:  цветная и золотая деколь в макете,ручки не полностью цветные,на ручках полоской цветная деколь",210,"48,7","4143,6",20-24 октября,"53,9","4577,3",10-14 октября,,,,,"433,7","216,83","49870,9","1662,2","382312,9","1879,0600","432183,8",
 ,Этажерка,"Материал: костяной фарфор
Упаковка: транспортировочная
Примечание от фабрики: цена ориентировочная нужен макет", Дизайн: цветная и золотая деколь в макете,210,"19,2","1628,3",20-24 октября,"21,9","1860,8",10-14 октября,,,,,"232,5","116,245","26736,35","531,0","122123,1","647,2","148859,45",
,Тарелка без бортов 27 см,"Материал: костяной фарфор
Упаковка: транспортировочная
Примечание от фабрики: цена ориентировочная нужен макет", Дизайн: цветная и золотая деколь в макете,2730,"18,8","1597,1",20-24 октября,"21,5","1825,3",10-14 октября,,,,,"228,2","114,095","312620,3","563,9","1544976,4","678,0","1857596,7",
 ,Ваза с тарелкой,"Материал: костяной фарфор
Упаковка: транспортировочная
Примечание от фабрики: цена ориентировочная нужен макет", Дизайн: цветная и золотая деколь в макете,610,"43,1","3662,9",20-24 октября,"54,5","4633,6",10-14 октября,,,,,"970,7","485,35",300917,"849,5","526714,8","1334,9","827631,8",
,,,,,,,,,,,,,,,,,"690144,55","3266271,75","2576127,2",,"3266271,75",
,,,,,,,,,,,,,,,,,,,,,"3266422,6","-150,85"
,,,,,,,,,,,,,,,,,,,230,,,"7,35"
,,,,,,,,,,,,,,,,,,,620,,"3266264,4",
,,,,,,,,,,,,,,,,,,,2740,,,
