,"Менеджер: Побединский Георгий
Email: georgp@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок с металлическим шильдом,"Материал: полиэстер, жаккардовая ткань, алюминиевый сплав
Длина: 18 см
Диаметр шильда: 3 см

ТТ к макетам: векторный лого + номера пантон"," Дизайн: выкрас нитей в цвет, близкий к пантону клиена + эмбоссинг на шильде + кастом жаккардовой бирки



",1000,"1,8","181,7",50-55,"1,9","195,1",40-45,7 800,12-15,22-25,
,,,,1500,"1,8","181,7",,"1,9","195,1",,,,,
,,,,2000,"1,5","150,9",,"1,6","162,4",,,,,
 ,Шнурок без кольца и шильда,"Материал: полиэстер, жаккардовая ткань, алюминиевый сплав
Длина: 18 см

ТТ к макетам: векторный лого + номера пантон"," Дизайн: выкрас нитей в цвет, близкий к пантону клиена +  кастом жаккардовой бирки",1000,"1,6","131,4",50-55,"1,7","144,0",40-45,5 000,12-15,22-25,
,,,,1500,"1,6","131,4",,"1,7","144,0",,,,,
,,,,2000,"1,3","110,8",,"1,4","116,2",,,,,
 ,"Титановый брелок

Вырезание формы лазером (с полосами по краю)","Материал: титан, жаккардовая ткань, алюминиевый сплав
Длина: 18 см, диаметр шильда примерно 3 см

ТТ к макетам: векторный лого + номера пантон","Цвет металла: серый цвет (в цене учтен матовый, глянцевый немного дороже)
Нанесение: гравировка
Цвет лого: серый / черный 
Кольцо: титан (в цене учтен серый матовый цвет, но можно выбирать из тех же 6 цветов)
Веревки: выкрас в пантон клиента
Наконечники на веревки: стандартные алюминиевые",1000 лазер,"5,9","498,8",55-65,"6,2","527,2",45-55,27 500,7-15,17-25,
,,,,1500 лазер,"5,4","461,0",,"5,7","487,3",,,,,
,,,,2000 лазер,"5,2","442,2",,"5,5","467,4",,,,,
,"Титановый брелок

CNC - технология (гладкие края)",,,1000 CNC,"7,7","656,8",,"8,1","685,2",,,,,
,,,,1500 CNC,"7,1","607,3",,"7,5","633,6",,,,,
,,,,2000 CNC,"6,9","582,6",,"7,2","607,8",,,,,
,"Титановый брелок

Вырезание формы лазером (с полосами по краю)","Материал: титан, жаккардовая ткань, алюминиевый сплав
Длина: 18 см, диаметр шильда примерно 3 см

ТТ к макетам: векторный лого + номера пантон","Цвет металла: серый цвет (в цене учтен матовый, глянцевый немного дороже)
Нанесение: фрезеровка
Цвет лого: серый / черный 
Кольцо: титан (в цене учтен серый матовый цвет, но можно выбирать из тех же 6 цветов)
Веревки: выкрас в пантон клиента
Наконечники на веревки: стандартные алюминиевые",1000 лазер,"10,8","913,5",55-65,"11,1","941,9",45-55,27 500,7-15,17-25,
,,,,1500 лазер,"9,9","845,0",,"10,3","871,3",,,,,
,,,,2000 лазер,"9,5","810,8",,"9,8","836,0",,,,,
,"Титановый брелок

CNC - технология (гладкие края)",,,1000 CNC,"12,6","1071,4",,"12,9","1099,8",,,,,
,,,,1500 CNC,"11,7","991,2",,"12,0","1017,5",,,,,
,,,,2000 CNC,"11,2","951,2",,"11,5","976,4",,,,,
