,"Менеджер: Аспидова Светлана
Email: sveta.a@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Массажёр,"Материал: пластик
Размер: примерно 15*9 см
Цвет: чёрный
Упаковка: заводская коробка (см. в доп.фото)
Примечание от фабрики: кастом заводской коробки и изменение цвета товара возможно при тираже от 1000 шт.
7,4В; 20 Вт; 1А; 1200 мАч; Type-C"," Дизайн: шелкография, места лого см. в доп.фото ",500,"29,0","2463,3",45-55,только карго,только карго,35-45,10 100,7,17-19,
,,,,700,"27,4","2325,2",,только карго,только карго,,,,,
 ,ПЗУ+переходник,"Материал: пластик
Размер: 33*38*89 мм
Цвет: как на картинке 
Упаковка: заводская коробка (см. в доп.фото)
Примечание от фабрики: кастом заводской коробки возможен при тираже от 1000 шт.
5200 мАч, 5В, 3А, 15 Вт, Type-C"," Дизайн: шелкография/лазерная гравировка, место лого см. в доп.фото ",500,"27,5","2337,1",55-60,только карго,только карго,45-50,4 500,7,17-19,
,,,,700,"27,3","2323,7",,только карго,только карго,,,,,
 ,Многофункциональный коврик для отжиманий,"Материал: резина каучук, пвх
Размер: 970*340 мм(коврика)
Цвет: белый, чёрный 
Упаковка: заводская коробка (см. в доп.фото)
Примечание от фабрики: можно сделать кастом заводской коробки 
Bluetooth 5.1, Type-C, 250 мАч
Пульт может подключаться к специальному приложению, также есть 3 автономных режима (подсчёт отжиманий, таймер и обычный)

Надписи на коврике и коробке на английском языке (см. доп.фото)", Дизайн: шелкографият на коврике/лазерная гравировка на пульте; места лого см. в доп.фото ,500,"38,9","3302,9","Производство 45
Доставка 25-30",только карго,только карго,"Производство 45
Доставка 15-20",10 800,15,25-27,
,,,,700,"38,3","3252,2",,только карго,только карго,,,,,
 ,Зонт,"Материал: полиэстер
Размер: 90 см, в сложенном висде около 20 см
Упаковка: опп-пакет
Примечание от фабрики: 
Возможен кастом цвета, выкрас ручки и купола в пантон, разные виды запечатки (от 500 шт.), запечатка чехла",Дизайн: печать шелкография,500,"20,0","1697,2",50-55,"21,8","1849,8",40-45,13 100,14,24-26,
,,,,700,"19,2","1634,0",,"21,0","1786,6",,,,,
 ,Набор для чистки клавиатуры,"Материал: пластик
Размер: примерно 9 см
Упаковка: завдская коробка
Примечание от фабрики: 
От 2000 шт. возможен выкрас в пантон (корпус, держатель, замочек)
Замена отдельных частей на другие цвета невозможна", Дизайн: печать шелкография (до 3 цветов),500,"6,1","520,8",50-55,"6,5","555,3",40-45,8 100,7,17-19,
,,,,700,"6,1","514,9",,"6,5","549,4",,,,,
 ,Скакалка ,"Материал: пластик + эва
Размер: стальная верёвка 3м, шар 65 мм 
Цвет: зелёный, розовый, чёрный, синий 
Упаковка: заводская упаковка (см. в доп.фото)
Примечание от фабрики: кастом заводской упаковки возможен при тираже от 2000 шт.
"," Дизайн: шелкография на ручке (наверху, где белая часть)",500,"5,4","461,0",45-50,"6,5","551,9",35-40,9 700,7,17-19,
,,,,700,"5,4","455,0",,"6,4","546,0",,,,,
 ,"ПЗУ Havit PB5217

10000 мА/ч

наличие необходимо уточнить перед запуском, возможна более оперативная отправка","Материал: алюминиевый сплав+силикон
Емкость: 10000mAh/3.7V/37Wh              
Вход: 
USB-C: 5.0V/3.0A, 9.0V/2.0A(18W)
Выход: 
USB-C: 5.0V/3.0A, 9V/2.22A, 12V/1.67A(20W)
Беспроводной выход: 15 Вт (совместим с 10 Вт, 7,5 Вт и 5 Вт)
Размер: 104*63*16 мм
Вес: 197 г±5 г
Цвета: черный, серый, темно-серый, белый
Упаковка: в эту цену можно закастомить коробку"," Дизайн: наклейка лого на металл части

 (с лого Хавит)",500-700,"36,2","3078,9",65-70,только карго,только карго,55-60,5 000,1,11-13,
,,," Дизайн: гравировка или шелкография на лицевой или обратной стороне

(без лого Хавит)",1000,"33,2","2821,8",,только карго,только карго,,6 500,7-9,17-21,
,"ПЗУ Havit PB5217

5000 мА/ч

наличие необходимо уточнить перед запуском, возможна более оперативная отправка","Материал: алюминиевый сплав+силикон
Емкость: 5000 mAh/3.7V/37Wh              
Вход: 
USB-C: 5.0V/3.0A, 9.0V/2.0A(18W)
Выход: 
USB-C: 5.0V/3.0A, 9V/2.22A, 12V/1.67A(20W)
Беспроводной выход: 15 Вт (совместим с 10 Вт, 7,5 Вт и 5 Вт)
Размер: 104*63*16 мм
Вес: 197 г±5 г
Цвета: черный, серый, темно-серый, белый
Упаковка: в эту цену можно закастомить коробку"," Дизайн: наклейка лого на металл части

 (с лого Хавит)",500-700,"31,1","2638,9",65-70,только карго,только карго,55-60,5 000,1,11-13,
,,," Дизайн: гравировка или шелкография на лицевой или обратной стороне

(без лого Хавит)",1000,"25,7","2186,0",,только карго,только карго,,6 500,7-9,17-21,
 ,Зарядка 3в1,"Материал: ABS + PC
Беспроводной выход: 15 Вт + 5Вт + 2,5 Вт
Размер: см фото
Вес: примерно 200 гр", Дизайн: печать лого,700,"29,7","2528,0",55-60,только карго,только карго,45-50,6 500,8,18-20,
 ,"ПЗУ Havit PB5216

5000 мА/ч

наличие необходимо уточнить перед запуском, возможна более оперативная отправка","Материал: алюминиевый сплав+силикон 
Емкость: 5000mAh/3.7V/18.5Wh 
Вход: USB-C: 5.0V/3.0A, 9.0V/2.0A(18W) 
Выход: USB-C: 5.0V/3.0A, 9V/2.22A, 12V/1.67A(20W) 
Беспроводной выход: 15 Вт (совместим с 10 Вт, 7,5 Вт и 5 Вт) 
Размер: 103*63*10 мм 
Вес: 126 г±5 г 
Цвета: см фото 
Упаковка: в эту цену можно закастомить коробку"," Дизайн: наклейка лого на металл части

 (с лого Хавит)",500-700,"30,2","2565,8",65-70,только карго,только карго,55-60,5 000,1,11-13,
,,," Дизайн: гравировка или шелкография на лицевой или обратной стороне

(без лого Хавит)",1000,"25,0","2124,6",,только карго,только карго,,6 500,7-9,17-21,
 ,Антистресс,"Материал: пластик
Размер: 15х10,5х1 см
Упаковка: ламинированный пакет
Примечание от фабрики: товар в наличии на складе, что ускоряет процесс доставки, упаковка представляет антистресс в случайном ассортименте (4 дизайна)",Дизайн: сток,500,"2,5","214,3",30-35,"2,6","219,9",20-25,1 600,3,13-15,
,,,,700,"2,5","213,3",30-35,"2,6","218,9",20-25,,,,
