,"Менеджер: Добрынин Павел
Email: paveld@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Таблетница,"Материал: PP + силикон
Размер: 7,8*7,2*3,5 см
Упаковка: опппакет
Цвета: молочный, розовый, фиолетовый

7 отделений

Фабрика начинает работу 6 февраля", Дизайн: сток,"100 наценка 
1,4","2,2","230,7",27-32,,,,3 300,1,11-13,
,,,,"500 наценка
1,4","1,8","189,7",27-32,,,,,,,
 ,Таблетница,"Материал: PP + силикон
Размер: 7,2*11*3,5 см
Упаковка: опппакет
Цвета: молочный, розовый, фиолетовый

7 отделений

Фабрика начинает работу 6 февраля", Дизайн: сток,"100 наценка 
1,4","2,7","272,7",27-32,,,,3 500,1,11-13,
,,,,"500 наценка
1,4","2,1","219,3",27-32,,,,,,,
 ,Таблетница,"Материал: АБС пластик
Размер: 18*5*3 см
Упаковка: опппакет
Вес: 80 грамм
Цвета: белый, зеленый, оранжевый

7 отделений

Фабрика начинает работу с 10 февраля",Дизайн: сток,"100 наценка 
1,4","2,0","209,5",27-32,,,,2 400,1,11-13,
,,,,"500 наценка
1,4","1,9","198,3",27-32,,,,,,,
 ,Таблетница,"Материал: PP
Размер: 7,7*7,7*2,9 см
Упаковка: опппакет
Вес: 50 грамм
Цвета: голубой, розовый, серый

4 отделения

Фабрика начинает работу с 10 февраля", Дизайн: сток,"100 наценка 
1,4","1,5","156,1",27-32,,,,1 900,1,11-13,
,,,,"500 наценка
1,4","1,4","144,9",27-32,,,,,,,
 ,Таблетница,"Материал: Пластик
Размер: 11*8,5 см
Упаковка: заводская коробка
Цвета: коричневый, розовый, зеленый, черный

4 отделения

Фабрика уже работает", Дизайн: сток,"100 наценка
1,4","3,2","327,5",27-32,,,,2 500,1,11-13,
,,,,"500 наценка
1,4","3,1","316,3",27-32,,,,,,,
 ,Таблетница,"Материал: PET + силикон
Размер: 11,2*7,8*4 см
Вес: 64 гр
Упаковка: опп пакет
Цвета: белый, молочный, черный

Фабрика уже начала работу", Дизайн: сток,"100 наценка
1,4","2,9","295,1",27-32,,,,3500,1,11-13,p
,,,,"500 наценка
1,4","2,6","270,3",27-32,,,,,,,
 ,Таблетница,"Материал: PET + силикон
Размер: 8*7,8*4 см
Вес: 44 гр
Упаковка: опп пакет
Цвета: белый, молочный, черный

Фабрика уже начала работу", Дизайн: сток,"100 наценка
1,4","2,5","255,8",27-32,,,,3200,1,11-13,
,,,,"500 наценка
1,4","2,1","219,8",27-32,,,,,,,
 ,Таблетница,"Материал: пластик
Размер: 8,5*2см
Вес: 44 гр
Упаковка: заводская коробка
Цвета: бирюзовый, салатовый, оранжевый, розовый

Фабрика уже начала работу", Дизайн: сток,"200 наценка 1,4","1,3","128,3",27-32,,,,4700,3,13-15,
,,,,"500 наценка
1,4","1,1","116,7",27-32,,,,,,,
 ,Таблетница,"Материал: пластик
Размер: 7,8*7,8*3,5 см
Вес: 63 грамма
Упаковка: опп-пакет
Цвета: розовый, белый, золотой

Фабрика уже начала работу", Дизайн: сток,"200 наценка 1,4","1,1","114,6",32-37,,,,1 900,5,15-17,
,,,,"500 наценка
1,4","1,1","110,4",32-37,,,,,,,
 ,Таблетница,"Материал: пластик
Размер: 10,8*7,8*3,5 см
Вес: 81 грамм
Упаковка: опп-пакет
Цвета: розовый, белый

Фабрика уже начала работу", Дизайн: сток,"200 наценка 1,4","1,3","128,3",32-37,,,,1900,5,15-17,
,,,,"500 наценка
1,4","1,2","124,1",32-37,,,,,,,
 ,Таблетница,"Материал: PC + силикон
Размер: 7,8*7,8*2,7 см
Вес: 44 гр
Упаковка: опп пакет
Цвета: зеленый, белый, оранжевый, черный, фиолетовый

4 отделения

Фабрика уже начала работу", Дизайн: сток,"200 наценка 1,4","4,7","481,9",32-37,,,,4500,1,11-13,
,,,,"500 наценка
1,4","4,5","465,3",,,,,,,,
 ,Таблетница,"Материал: PC + силикон
Размер: 11,7*7,3*2,7 см
Вес: 44 гр
Упаковка: опп пакет
Цвета: зеленый, белый, оранжевый, черный, фиолетовый

7 отделений

Фабрика уже начала работу", Дизайн: сток,"200 наценка 1,4","3,6","367,0",32-37,,,,4500,1,11-13,
,,,,"500 наценка
1,4","3,4","354,4",,,,,,,,
