ID_Оффера,ID_Проекта,Название_Проекта,ID_Товара,Товар,Строка,Тираж_CSV,Тираж_БД,Новый_Тираж,Маршрут,URL
13107,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4841,Креманки,4,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13106,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4841,Креманки,4,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13113,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4842,Емкость для хранения,7,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13112,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4842,Емкость для хранения,7,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13119,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4843,Чайный набор,10,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13118,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4843,Чайный набор,10,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13125,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4844,Этажерка,13,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13124,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4844,Этажерка,13,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13131,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4845,Чайная пара,16,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13130,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4845,Чайная пара,16,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13137,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4846,Шар елочный,19,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13136,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4846,Шар елочный,19,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13143,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4847,Елочная игрушка,22,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13142,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4847,Елочная игрушка,22,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13149,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4848,Елочная игрушка,25,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
13148,2268,[Просчет] Яна Березнева / фарфор и стекло 24-07-2025,4848,Елочная игрушка,25,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1HS41fo7u7DhStbESw3Tx8XbhwSKDvA5aGxird-G98nQ
8135,1007,[Просчет] Александр Эйнгорн / просчет украшений 24-02-2025,2877,Украшение на елочку,4,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1qS7lUBaR-FfiBQ_-OGddNscvYX5onxkGA5mlfdKnndQ
8134,1007,[Просчет] Александр Эйнгорн / просчет украшений 24-02-2025,2877,Украшение на елочку,4,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1qS7lUBaR-FfiBQ_-OGddNscvYX5onxkGA5mlfdKnndQ
8137,1007,[Просчет] Александр Эйнгорн / просчет украшений 24-02-2025,2878,Украшение на елочку,5,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1qS7lUBaR-FfiBQ_-OGddNscvYX5onxkGA5mlfdKnndQ
8136,1007,[Просчет] Александр Эйнгорн / просчет украшений 24-02-2025,2878,Украшение на елочку,5,300,3000,300,Доставка ЖД,https://docs.google.com/spreadsheets/d/1qS7lUBaR-FfiBQ_-OGddNscvYX5onxkGA5mlfdKnndQ
8139,1007,[Просчет] Александр Эйнгорн / просчет украшений 24-02-2025,2879,Украшение на елочку,6,300,3000,300,Доставка АВИА,https://docs.google.com/spreadsheets/d/1qS7lUBaR-FfiBQ_-OGddNscvYX5onxkGA5mlfdKnndQ
