ID Проекта,Название проекта,ID Товара,Название товара,Строка в Excel,Тираж в БД,Маршрут,Ссылка на Google Sheets,Проверено,Реальный тираж из Excel,Нужно ÷10
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,300,ЖД,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,300,АВИА,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,500,ЖД,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,500,АВИА,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,1000,АВИА,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,1000,ЖД,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,300,ЖД,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,300,АВИА,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,500,ЖД,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,500,АВИА,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,1000,ЖД,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,1000,АВИА,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14335,Чехол для ноутбука,4,300,ЖД,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14335,Чехол для ноутбука,4,300,АВИА,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14335,Чехол для ноутбука,4,500,ЖД,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14335,Чехол для ноутбука,4,500,АВИА,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14335,Чехол для ноутбука,4,1000,ЖД,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14335,Чехол для ноутбука,4,1000,АВИА,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14336,сумка треугольник,7,300,ЖД,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14336,сумка треугольник,7,300,АВИА,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14336,сумка треугольник,7,500,ЖД,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14336,сумка треугольник,7,500,АВИА,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14336,сумка треугольник,7,1000,ЖД,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14336,сумка треугольник,7,1000,АВИА,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14337,Нессесер,10,300,ЖД,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U,,,
