ID_Проекта,Название,ID_Товара,Товар,Строка,Тираж_Google,Тираж_БД,Маршрут,Ошибка_x10,URL
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,300,300,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,300,300,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,300,500,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,300,500,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,300,1000,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14331,"Набор бокалов 
(2 шт.)",4,300,1000,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,300,300,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,300,300,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,300,500,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,300,500,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,300,1000,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
2,"[Просчет] Иллан / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14332,"Набор стаканов 
(2 шт.)",7,300,1000,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/1z07ou0HniDjd6YIirKqgTGLklvuM3V4DYoDXCjY_zwg
3,"[Просчет] Екатерина Майорова / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14333,Ланъярд,4,300,300,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/12i5OVzy0segWcqKxRYqECNp81B77ruiCyJ5whHpKQes
3,"[Просчет] Екатерина Майорова / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14333,Ланъярд,4,300,300,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/12i5OVzy0segWcqKxRYqECNp81B77ruiCyJ5whHpKQes
3,"[Просчет] Екатерина Майорова / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14333,Ланъярд,4,300,500,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/12i5OVzy0segWcqKxRYqECNp81B77ruiCyJ5whHpKQes
3,"[Просчет] Екатерина Майорова / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14333,Ланъярд,4,300,500,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/12i5OVzy0segWcqKxRYqECNp81B77ruiCyJ5whHpKQes
3,"[Просчет] Екатерина Майорова / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14334,Ланьярд-кабель для зарядки,6,300,300,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/12i5OVzy0segWcqKxRYqECNp81B77ruiCyJ5whHpKQes
3,"[Просчет] Екатерина Майорова / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14334,Ланьярд-кабель для зарядки,6,300,300,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/12i5OVzy0segWcqKxRYqECNp81B77ruiCyJ5whHpKQes
3,"[Просчет] Екатерина Майорова / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14334,Ланьярд-кабель для зарядки,6,300,500,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/12i5OVzy0segWcqKxRYqECNp81B77ruiCyJ5whHpKQes
3,"[Просчет] Екатерина Майорова / Расчет_СТМ (Liquid Metall, WP, farforite)_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025",14334,Ланьярд-кабель для зарядки,6,300,500,АВИА,НЕТ,https://docs.google.com/spreadsheets/d/12i5OVzy0segWcqKxRYqECNp81B77ruiCyJ5whHpKQes
5,[Просчет] Екатерина Елагина / Расчет_Liquid Metall_150-1000 шт_Гарда Технологии_КГИ_ММ 29-08-2025,14335,Чехол для ноутбука,4,300,300,ЖД,НЕТ,https://docs.google.com/spreadsheets/d/1fneRd0tJvI15Z8dje_PEfXSUN9tJO5ori-6Rl-ZX60U
