ID,Название,Ошибок_x10,Всего,%,URL
1381,[Просчет] МТС / Мерч Exolve_проработка_КГИ_ММ 04-09-2024,146,150,97.3%,https://docs.google.com/spreadsheets/d/19869LHpPlB5ZtCdnRZoCOSoN03ZZwVkg4eIh4ZDdkGE
3018,[Просчет] мерч на продажу,146,148,98.6%,https://docs.google.com/spreadsheets/d/1bTcdy9oqhjy2chZDtCNJsh7thYkuyJ4Q6dCeupc2nj0
599,[Просчет] Ольга Стародубцева Иллан / игры_10-5001_МТС_КГИ_ММ 30-05-2025,144,280,51.4%,https://docs.google.com/spreadsheets/d/1OaGkr4Bej9rMguBzA72R1Kk0mGzQOyWTcXWZXGOYcWU
2875,[Просчет-РФ] Re: ЧЕМОДАНЫ,124,124,100.0%,https://docs.google.com/spreadsheets/d/1xymgp72XWfs5o9KjDT-P1QX-xk_Rszl2ebvT6EHDjDM
2475,[Просчет-РФ] Зинаида Иванкова / Корпоративный мерч для компании 17-04-2025,122,122,100.0%,https://docs.google.com/spreadsheets/d/1mPyCAlNf6aFjgYy9kDutR75BwFxg5zNXcmnRD6HSOX8
882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",120,120,100.0%,https://docs.google.com/spreadsheets/d/1gNazH1N28oly_j-F33MNcZ5r5UMPYfyshJD3Fg1yIio
1368,[Просчет] Натали Леманн Иллан / МТС НГ_финал_КГИ_ММ 03-09-2024,116,140,82.9%,https://docs.google.com/spreadsheets/d/1Eb_9RtEDyesK-6hIbkZMQggxEY-Y3LJ_GOmRpNccg94
2503,[Просчет] Мария Княгинина / Расчет (Текстиль)_сумка шоепр_500/1000_чехол для ноутбука_1000/2000_ДомКлик_КГИ_ММ 23-04-2025,114,138,82.6%,https://docs.google.com/spreadsheets/d/15VfFdlEEI96ax7SivgYayN-ttWG_vZAo0mkDCMc5nwg
2890,[Просчет-РФ] Re: Алина Мегамайнд,112,112,100.0%,https://docs.google.com/spreadsheets/d/1fBhr5K2UaV7djivPysFT3UPhuJYTaBZxA2HX5eWtcJk
646,[Просчет] ООО Кастомлаб / Билайн 16-05-2025,106,114,93.0%,https://docs.google.com/spreadsheets/d/1tadByKcZFWoLp05vV_TqaPslPdZVi-_ofiSBmF6_GR0
2970,[Просчет] ООО Кастомлаб / Билайн 27-11-2024,100,154,64.9%,https://docs.google.com/spreadsheets/d/1aUOL4DPp5Z3wb9_XMuiTYl2uNC-6KlYGDZxx7CcU6Ic
995,[Просчет-РФ] Полина Тарнополь / Бьюти товары 24-02-2025,96,130,73.8%,https://docs.google.com/spreadsheets/d/1r6xndR3OdsOKwBkzt3lN70R1ASy0_Q9KQjV6kwl2Njw
776,[Просчет] ООО Кастомлаб / АльфаБанк подвеска 30-04-2025,96,96,100.0%,https://docs.google.com/spreadsheets/d/1OGpWayLRzeViYXzD8_X6R0t8LdzzeNb4lkXr8-KNBpY
1043,[Просчет] Ольга Стародубцева Иллан / тендер_12-13371_Сбер_КГИ_ММ 27-02-2025,96,148,64.9%,https://docs.google.com/spreadsheets/d/1_NcsSKbStq-42tpNBrD7AYR0fipSz2Ex58_kiQWaA24
1032,[Просчет] Катя Майорова / ПСБ_спорт 26-02-2025,92,228,40.4%,https://docs.google.com/spreadsheets/d/1VhSa9DqEe51Cud5WTZ440whaSPQtFyFAnGnStqXX7Tc
1215,"Шахматы, нарды",90,90,100.0%,https://docs.google.com/spreadsheets/d/1x_BlmYlHWspY8IyW_6lN4zUdQiwehu4v2VQEqmxjL3Y
1021,[Просчет] Ольга Стародубцева Иллан / Тендер на сувенирную продукцию_1000/2000_Балтийский лизинг_КГИ_ММ 26-02-2025,90,90,100.0%,https://docs.google.com/spreadsheets/d/1NEATltIdODdJYjTswJG7X5g-a1-W89zUa7M-rnqnETQ
609,[Просчет] Ольга Стародубцева Иллан / Расчет_светильники_10000/20000/30000_Ростелеком_КГИ_ММ 16-06-2025,90,90,100.0%,https://docs.google.com/spreadsheets/d/1SHQT4gFBhflWIroRLdT1Rg17m1WTTCnWt6eR3BlKm-c
3101,[Просчет] Ярослав Миллер / Подарки в упаковку к товару - 1000 - 20000 шт 20-09-2024,88,88,100.0%,https://docs.google.com/spreadsheets/d/1g9NGsCT_bc5lXRTrClJERNxkMR6FONH90OV-zw97qTM
1112,[Просчет-РФ] Подарки к 5.03.25,87,87,100.0%,https://docs.google.com/spreadsheets/d/15n9SJgiGfHf9hIT__D12y9k6i8V_B1w3XawvDRbEld8
2274,[Просчет] Яна Березнева / Мосстройинформ фарфор 23-07-2025,86,90,95.6%,https://docs.google.com/spreadsheets/d/1NZe6c89VxrFHI8anhPbAEKX9ToIDfySGtoQPkuKWOE0
536,[Просчет-РФ] Поставка детских новогодних подарков для LIME,82,82,100.0%,https://docs.google.com/spreadsheets/d/15FTCOPrqqyHlcuElyVImNSa_C6hFvVo48Db3lXtBPQM
2871,[Просчет-РФ] Дарья Ельницкая Иллан / Обновление прайса Teddy 2025 23-01-2025,80,80,100.0%,https://docs.google.com/spreadsheets/d/1m-_3Ph-dF3ngR3U3A2F19Y9yxVOzrjCm9EAqES75yaQ
1141,[Просчет-РФ] Мария Княгинина / Косметичка Тедди - 5000 / 10000 / 17000 шт 17-12-2024,76,76,100.0%,https://docs.google.com/spreadsheets/d/1xLc_-gSSPuq87oAbQLHsaoqmJQaxcAbNh5SkXnZlckw
941,[Просчет-РФ] ПСБ мерч,74,89,83.1%,https://docs.google.com/spreadsheets/d/188YJqb68Y0528Hxk33Cf7lhhS-7Rm7j0smjDt9OUmQA
2451,"[Просчет] ХЭДКОРН, ООО / Мультипас 16-04-2025",72,72,100.0%,https://docs.google.com/spreadsheets/d/1XoWBjjRIZWWJrUBcGdnd9s_VQcqYP6CsC1a2Il_w5TY
2514,[Просчет-РФ] Иллан / Подборка_МСБ_ВТБ 24-04-2025,70,70,100.0%,https://docs.google.com/spreadsheets/d/1tX3oVEA8U7MEqMWOyzSY8JzO9LY1nlhFCYPexG29uFw
935,[Просчет-РФ] Мерч для проекта с Лемана Про,68,68,100.0%,https://docs.google.com/spreadsheets/d/1D31H842zZBNrP0G3HDDnoytjkhG62DMuYoawVDogR2s
966,[Просчет-РФ] Екатерина Мишина (Долина) / Газпромбанк Автолизинг_Сувенирная лавка 19-02-2025,68,73,93.2%,https://docs.google.com/spreadsheets/d/1NaKk9PCAe-SrKUuz5KEa5sZT77buv3_iW1tqOqZnDHs
2385,[Просчет-РФ] Юлия Крошево / Раздатка на фестиваль капусты 29-05-2025,66,70,94.3%,https://docs.google.com/spreadsheets/d/1vrAoJuT5hLoFAdODhFruQ7XwFfKKyMB47L5sOoKeIZs
961,[Просчет-РФ] Анна Русакова Иллан / Каталог ВТБ 05-02-2025,65,67,97.0%,https://docs.google.com/spreadsheets/d/1k4rCVMXZJ7vTfTCS9eUeajrfAdZIA1ZR14w7LiIT_c8
2787,[Просчет] Ольга Стародубцева Иллан / шнурок/термос/брелок/сумка/бутылка/носки_40-270_СБЕР_КГИ_ММ 03-04-2025,64,64,100.0%,https://docs.google.com/spreadsheets/d/19eQVFWx7m31nNMxIuvh57o-SHy2Soo8lQM0o4bLTXZM
1153,[Просчет-РФ] Мерч для сотрудников,64,72,88.9%,https://docs.google.com/spreadsheets/d/121KJu27cmU5QJajFgwfjIhnD4RqhlBESF2P2qN9eMAs
2696,[Просчет] Ольга Стародубцева Иллан / свеча/сумка/картхолдер/кросс-боди/кружка/брелок_50/100/250_МТС Музыка_КГИ_ММ 18-03-2025,62,70,88.6%,https://docs.google.com/spreadsheets/d/1qmK1w9Y7sfU_1NE8sg1ERebv2O-KkcWZBeCfacSVr-o
2867,"[Просчет] ООО ""КГИ"" / Обновление прайса_Палитра_ММ 22-01-2025",62,80,77.5%,https://docs.google.com/spreadsheets/d/1xtUs5Pn3DRK78ISC78Cvr7QAYmGruyaxAZntITDiGGo
2912,"[Просчет] МТС / ПЗУ, панама, жесткий диск_МТС_КГИ_ММ 30-01-2025",60,60,100.0%,https://docs.google.com/spreadsheets/d/1kg_QUd5sVXhfeEp66gTqamAWbRm1yUYWJQK9kluXwp8
2433,[Просчет] Елизавета Постных Иллан / Расчет (Универсальная позиция)_Цепочка с подвеской_1000_Альфа-банк_КГИ_ММ 07-05-2025,60,60,100.0%,https://docs.google.com/spreadsheets/d/1WGtrKk5gNN2FbmHl4yLsF2bK6S9k4jeJ9KyMCUmxMEY
547,[Просчет-РФ] Ручки и Шоппер,60,60,100.0%,https://docs.google.com/spreadsheets/d/1ycrA1M3M3t14rhk7gM5u7pBEMqC5BQyha2J6872-RnY
568,[Просчет] Ксения Щербакова Иллан / Конструктор т1 14-05-2025,60,60,100.0%,https://docs.google.com/spreadsheets/d/1CA8dacU2hedgP3Y4hPJA5zysnyW6bfpukxtt1eU-vW8
832,[Просчет] Дарья Ельницкая / Расчет (Универсальная позиция)_сувенирная продукция для форума_400шт_ПСБ_КГИ - МЕГАМАЙНД 07-03-2025,58,66,87.9%,https://docs.google.com/spreadsheets/d/1UPc8lxrxKVEhcYxBNGNVLPHCeCwsv1cQLawjuUSRBEE
1435,[Просчет] Екатерина Елагина / Расчет _Благотворительная кампания_5000 и 10 000 шт_ПСБ_Промогифтс_ММ 10-09-2024,58,58,100.0%,https://docs.google.com/spreadsheets/d/1uEUtanqhRtjqiXrDKkZCBOywi_VEioMQXerSkk5qt3o
1183,[Просчет] Юлия Антонова Иллан / ПЗУ HAVIT 14-11-2024,58,58,100.0%,https://docs.google.com/spreadsheets/d/1YbvtaHS7jImrGNoXac8vM8J00BL88vRj4lVfVuJCnRI
187,[Просчет-РФ] Ваня Бочаров / Фестиваль MEDIA LAB FEST 16-07-2025,57,57,100.0%,https://docs.google.com/spreadsheets/d/180_wVdpXy8O5Fm7KvviS5fctEdapJpEWCzbDGX3afbU
1204,[Просчет] ООО Кастомлаб / Запрос на гендер 18-11-2024,56,94,59.6%,https://docs.google.com/spreadsheets/d/1EZYKFMOGIAbFpHNKwmVA8w5YYN0XBh-o-uG6-csrRd8
533,[Просчет-РФ] Полина Proway / Ивент PUSH IT - 350 шт 19-05-2025,56,58,96.6%,https://docs.google.com/spreadsheets/d/10ldVut6r_braEbFOHA0mUl0EA6Oijq1_smIYyEqxgkA
