Название,Фото,Фото 2,Можно,hard forbid,,
Термобутылка,,,"Изменить цвет бутылки, крышки
Выкрасить части бутылки в отличные друг от друга цвета
Матовая, глянцевая или софт-тач окраска
Градиент цвета на основной части бутылки
Уф-печать, шелкография, лазерная гравировка
Добавить аксессуар - индивидуальную упаковку, сумку для бутылки, силиконове дно/кольцо","Нельзя менять форму корпуса, крышки или петли
Нельзя добавить трубочку или приклеить ручку
Нельзя сделать непродусмотренные для бутылок виды нанесения - наклейки, объемное нанесение, вышивка
Нельзя печатать на рельефных зонах с сильной геометрией 
Нельзя печатать на узких участках и детялях",,
"Ланъярд, ланьярд, шнурок для телефона",,,"Изменить цвет шнурка
Изменить цвет фурнитуры
Добавить бирки с брендированием, дополнительную фурнитуру, пластиковые элементы, крепления, карабины
Изменить длину, толщину, форму шнурка (плоский, круглый)
Изменить материал шнурка
Изменить плетение шнурка (1-5 цветов)
Добавить индивидуальную упаковку
Поменять фурнитуру","Нельзя сделать нанесение на самом шнурке, если он не плоский
Нельзя сделать плетение многоцветным (можно до 5 цветов)
Нельзя использовать материалы, не пригодные для ношения на шее
Нельзя печатать на узких участках и детялях",,
Картхолдер,,,"Изменить цвета деталей
Изменить цвет ниток (1 цвет)
Изменить форму
Изменить материал, фактуру кожи
Нанести логотип разными методами печати (шелкография, УФ, тиснение)
Добавить индивидуальную упаковку
Добавить бирку
","Картхолдер должен оставаться картхолдером
Нельзя выкрасить в градиентный цвет 
Нельзя сделать непродусмотренные для картхолдера виды нанесения - наклейки, объемное нанесение",,
Снежный шар,,,"Изменить фигурку или наполнитель внутри
Изменить цвет, форму подставки
Нанести логотип на основание","Нельзя менять форму и материал стеклянного купола
Нельзя нарушать герметичность
Нельзя использовать цветную жидкость
Нельзя сделать стекло цветным
Нельзя нанести логотип на стекло",,
"Шоппер, сумка",,,"Изменить цвет ткани и ручек
Нанести принт шелкографией, термотрансфером, уф-печатью или вышивкой
Добавить бирки, карманы, лейблы
Изменить материал ткани
Изменить фурнитуру
Изменить размер, форму сумки
Изменить длину, ширину ручек","Сумка должна оставаться сумкой
Нельзя перегружать изделие тяжелой фурнитурой
Нельзя использовать материалы, нарушающие прочность швов",,
Зонт,,,"Изменить цвет купола, ручки, хлястика, чехла, шнурка
Нанести логотип разными водостойкими методами печати (шелкография, УФ)
Добавить индивидуальную упаковку
Добавить детали, типичные для зонта - хлястик, шнурок, чехол
Изменить форму и цвет ручки, нанести логотип на ручку
Запечатать купол зонта изображением снаружи и изнутри
Сделать нанесение, проявляющееся от намокания
","Нельзя менять форму и размер
Нельзя нарушать функциональность и прочность (делать отверстия, разрезы)
Нельзя менять количество спиц
Нельзя сделать непродусмотренные для зонта виды нанесения - наклейки, объемное нанесение
Нельзя печатать на узких участках и детялях (спицах, трости)",,
"Дорожная подушка, туристическая подушка",,,"Изменить цвет изделия и фурнитуры
 Нанести логотип разными методами печати (шелкография, УФ, термотрансфер, вышивка)
 Добавить индивидуальную упаковку
Изменить фурнитуру
Добавить бирку
Добавить аксессуар - чехол, мешочек","Нельзя менять форму изделия
Нельзя добавлять новые функции, которые не предусмотрены в изделии
Нельзя сделать непродусмотренные для подушки виды нанесения - наклейки, объемное нанесение",, 
"Поясная сумка, сумка",,,"Изменить цвет ткани и ремня
Нанести принт шелкографией, термотрансфером, уф-печатью или вышивкой
Добавить бирки, карманы, лейблы
Изменить материал ткани
Изменить фурнитуру
Изменить размер, форму сумки
Изменить ширину, материал ремня
Сделать тиснение логотипа на ремне","Сумка должна оставаться сумкой
Нельзя перегружать изделие тяжелой фурнитурой
Нельзя использовать материалы, нарушающие прочность швов",,
"Ежедневник, блокнот",,,"Изменить цвет обложки
Нанести логотип тиснением, УФ-печатью, шелкографией, сделать полную запечатку обложки
Изменить материал обложки, комбинировать разные материалы обложки
Добавить закладки, резинки, держатели для ручки, карманы
Выкрасить срез бумаги или сделать на нем нанесение","Нельзя менять форму
Нельзя нарушать структуру переплета
",,
"Картхолдер магнитный, картхолдер для телефона",,,"Изменить цвета деталей
Изменить цвет ниток (1 цвет)
Изменить форму
Изменить материал, фактуру кожи
Нанести логотип разными методами печати (шелкография, УФ, тиснение)
Добавить индивидуальную упаковку
Добавить бирку
","Картхолдер должен оставаться картхолдером
Нельзя выкрасить в градиентный цвет 
Нельзя сделать непродусмотренные для картхолдера виды нанесения - наклейки, объемное нанесение",,
"Кепка, бейсболка",,,"Сделать нанесение: вышивка, шелкография, термотрансфер, флекстран, тиснение по коже/шильдикам, нашивки/патчи
Изменить цвет всей кепки или каждой детали по отдельности (клинья, козырек, люверсы, кнопка, застежка, внутренняя лента)
Добавить бирки, шильды, нашивки
Изменить материал, комбинировать разные материалы
Изменить форму козырька
Изменить количество клиньев (5 или 6)
Изменить фурнитуру, застежку","Кепка должна оставаться кепкой
Нельзя нарушать функциональность и прочность (делать отверстия, разрезы)",,
"Пауэрбанк, аккумулятор",,,"Изменить цвет корпуса (глянцевый, матовый, софт-тач)

Нанести логотип (шелкография, УФ-печать, лазерная гравировка, тиснение на коже, если чехол или бирка)

Использовать индивидуальную упаковку

Добавить кабель с фирменным брендингом

Настроить цвет и лого на ремешке (при наличии)

Настроить цвет проводов","Нельзя менять конструкцию (форма корпуса, расположение портов, кнопок)

Нельзя использовать наклейки

Нельзя печатать на дисплее или разъёмах

Нельзя вмешиваться во внутреннюю электронику",,
Брелок,,,"Выбрать материал (металл, пластик, силикон, акрил, кожа, пвх)

Изменить цвет и покрытие (матовый, глянцевый, хром, золото, софт-тач)

Нанести гравировку, тиснение, УФ-печать, шелкографию

Сделать фигурную вырубку или кастомную форму под дизайн

Добавить индивидуальную упаковку

Изменить фурнитуру, добавить шнурки, бирки, дополнительные подвески","Нельзя делать слишком тонкие выступающие элементы (будут ломаться)

Нельзя использовать нестойкие материалы (наклейки, бумага)",,
"Кабель, провод",,,"Изменить цвет провода и разъёмов

Настроить длину провода

Добавить логотип на корпусе разъёма (тампопечать, лазерная гравировка)

Использовать разные материалы оплётки (ПВХ, ткань, силикон, металл)

Индивидуальная упаковка","Нельзя печатать на гибкой части кабеля, если он не плоский",,
"Елочная игрушка, елочный шар ",,,"Изменить цвет игрушки (глянцевый, матовый, прозрачный, с блестками, рисунок)
Выбрать материал (металл, пластик, керамика, стекло)
Нанести логотип (тампонная печать, УФ, трафарет, деколь)

Использовать индивидуальную коробку, мешочек

Добавить ленту/тесьму фирменного цвета

Сделать фигурную вырубку или кастомную форму под дизайн","Нельзя использовать наклейки

Нельзя печатать на зоне крепления подвеса",,
Посуда,,,"Изменить цвет глазури или покрытия

Нанести деколь, шелкографию, лазерную гравировку (по металлу/стеклу)

Использовать индивидуальную упаковку

Добавить аксессуары (силиконовая подставка, крышка, ложечка)","Нельзя менять форму посуды 

Нельзя использовать наклейки

Нельзя печатать на рельефах и ручках",,
Ручка,,,"Изменить цвет корпуса, клипа, кнопки

Нанести логотип (тампонная печать, шелкография, лазерная гравировка)

Выбрать покрытие (матовое, глянцевое, софт-тач, металлизированное)

Индивидуальная упаковка (коробочка, тубус, пакетик)

Добавить доп элементы (при наличии подвесок, фигурок на колпочке)","Нельзя менять форму корпуса и механизм

Нельзя делать объемное нанесение

Нельзя печатать на клипах с рельефом и мелких деталях",,
Футболка,,,"Изменить цвет ткани, ниток

Нанести логотип (шелкография, термопечать, сублимация, вышивка, 3д, флекстран, голография, светоотражайка)

Изменить материал

Добавлять доп элементы (бирки, ярлыки, составники, декоративные швы, карманы)

Индивидуальная упаковка","Нельзя менять крой, форму

Нельзя печатать на швах 

Нельзя делать сверхмелкие нечитабельные элементы",,
Наушники,,,"Изменить цвет корпуса, амбушюров, кабеля (если проводные), сделать запечатку паттерном

Нанести логотип (тампонная печать, лазерная гравировка, LED)

Сделать индивидуальную упаковку

Добавить аксессуары (футляр, мешочек, сменные амбушюры)","Нельзя менять форму и конструкцию (динамики, дужки, крепления, кейс)

Нельзя печатать на зонах с текстурой или отверстиями динамиков

Нельзя менять электронику и функционал
",,
Рюкзак,,,"Изменить цвет ткани, подкладки, фурнитуры (молнии, бегунки, карабины, пряжки)
Изменить форму, размер
Выбрать материал (полиэстер, нейлон, канвас, экокожа и др.)

Нанести логотип (шелкография, термопечать, вышивка, УФ, нашивка, бирка)

Добавить аксессуары (брелок, индивидуальная упаковка, декоративные элементы, подвеска)

Изменить фактуру ткани (матовая, водоотталкивающая, с покрытием софт-тач и др.)","Нельзя печатать на швах и рельефных зонах
Рюкзак должен оставаться рюкзаком",,
