ЗЕМЛЯ,,,АВИА,
,,,,
Плотность,Для клиента доб. Стоимость,,Плотность,Для клиента доб. Стоимость
5,63,,,
10,"30,6",,,
15,"19,8",,,
20,"14,4",,,
25,"11,16",,,
30,9,,,
35,"7,46",,,
40,"6,3",,,
45,"5,4",,,
50,"4,68",,,
55,"4,09",,,
60,"3,6",,,
65,"3,18",,6,"104,65"
70,"2,83",,13,"46,2"
75,"2,52",,20,"28,67"
80,"2,25",,27,"20,22"
85,"2,01",,34,"15,26"
90,"1,8",,41,"11,99"
95,"1,61",,48,"9,67"
100,"1,44",,55,"7,94"
105,"1,29",,62,"6,6"
110,"1,15",,69,"5,54"
115,"1,02",,76,"4,67"
120,"0,9",,83,"3,95"
125,"0,79",,90,"3,34"
130,"0,69",,97,"2,81"
135,"0,6",,104,"2,36"
140,"0,51",,111,"1,97"
145,"0,43",,118,"1,62"
150,"0,36",,125,"1,31"
155,"0,29",,132,"1,03"
160,"0,23",,139,"0,79"
165,"0,16",,146,"0,56"
170,"0,11",,153,"0,36"
175,"0,05",,160,"0,17"
180,0,,167,0
