,"Менеджер: 
Email: 
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ от клиента,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Фляжка Beatum, черная","Размеры: 13,8х7х2,2 см; коробка: 14,5х8х3,1 см Материал: нержавеющая сталь, AISI 304; покрытие софт-тач Вес (1 шт.): 95,00 г","Материал: нержавеющая сталь, AISI 304
Размер: 11,6х7
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: надпись+лого,300,"3,78","340,86",40-45,"4,23","381,59",35-40,4 555,10,20-22,
,,,,,,,,,,,,,,,
 ,"Фляжка Beatum, синяя","Размеры: 13,8х7х2,2 см; коробка: 14,5х8х3,1 см Материал: нержавеющая сталь, AISI 304; покрытие софт-тач Вес (1 шт.): 95,00 г","Материал: нержавеющая сталь, AISI 304
Размер: 11,6х7
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: надпись+лого,300,"3,78","340,86",40-45,"4,23","381,59",35-40,4 555,10,20-22,
,,,,,,,,,,,,,,,
 ,"Фляжка Beatum, красная","Размеры: 13,8х7х2,2 см; коробка: 14,5х8х3,1 см Материал: нержавеющая сталь, AISI 304; покрытие софт-тач Вес (1 шт.): 95,00 г","Материал: нержавеющая сталь, AISI 304
Размер: 11,6х7
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: надпись+лого,500,"3,78","340,86",40-45,"4,23","381,59",35-40,4 555,10,20-22,
,,,,,,,,,,,,,,,
 ,"Рюкзак Rider, ярко-розовый (фуксия)","Размеры: 28х40x14 см Материал: полиэстер 100%, 600D Вес (1 шт.): 305 г","Материал: полиэстер 100%, 600D 
Размер: 
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: рисунок+лого,100,"10,37","933,76",50-55,"11,97","1076,80",40-45,6 980,5,15-17,
,,,,,,,,,,,,,,,
 ,"Рюкзак Base, оранжевый","Размеры: 29х41х9 см Материал: полиэстер, 600D Вес (1 шт.): 320 г","Материал: полиэстер 100%, 600D 
Размер: 35*28*11
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: рисунок+лого,100,"10,37","933,76",50-55,"11,97","1076,80",40-45,6 980,5,15-17,
,,,,,,,,,,,,,,,
 ,"Рюкзак Base, песочный","Размеры: 29х41х9 см Материал: полиэстер, 600D Вес (1 шт.): 320 г","Материал: полиэстер 100%, 600D 
Размер: 35*28*11
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: рисунок+лого,100,"10,37","933,76",50-55,"11,97","1076,80",40-45,6 980,5,15-17,
,,,,,,,,,,,,,,,
 ,"Рюкзак Base, черный","Размеры: 29х41х9 см Материал: полиэстер, 600D Вес (1 шт.): 320 г","Материал: полиэстер 100%, 600D 
Размер: 35*28*11
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: рисунок+лого,100,"10,37","933,76",50-55,"11,97","1076,80",40-45,6 980,5,15-17,
,,,,,,,,,,,,,,,
 ,"Рюкзак Base, зеленый","Размеры: 29х41х9 см Материал: полиэстер, 600D Вес (1 шт.): 320 г","Материал: полиэстер 100%, 600D 
Размер: 35*28*11
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: рисунок+лого,100,"10,37","933,76",50-55,"11,97","1076,80",40-45,6 980,5,15-17,
,,,,,,,,,,,,,,,
 ,"Рюкзак Base, фиолетовый","Размеры: 29х41х9 см Материал: полиэстер, 600D Вес (1 шт.): 320 г","Материал: полиэстер 100%, 600D 
Размер: 35*28*11
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн:  рисунок+лого,100,"10,37","933,76",50-55,"11,97","1076,80",40-45,6 980,5,15-17,
,,,,,,,,,,,,,,,
 ,"Рюкзак Base, красный","Размеры: 29х41х9 см Материал: полиэстер, 600D Вес (1 шт.): 320 г","Материал: полиэстер 100%, 600D 
Размер: 35*28*11
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн:  рисунок+лого,100,"10,37","933,76",50-55,"11,97","1076,80",40-45,6 980,5,15-17,
,,,,,,,,,,,,,,,
 ,"Рюкзак Base, желтый (золотой)","Размеры: 29х41х9 см Материал: полиэстер, 600D Вес (1 шт.): 320 г

Размещение маскота и лого по аналогии с остальными","Материал: полиэстер 100%, 600D 
Размер: 35*28*11
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн:  рисунок+лого,100,"10,37","933,76",50-55,"11,97","1076,80",40-45,6 980,5,15-17,
,,,,,,,,,,,,,,,
 ,Рюкзак со светоотражающим паттерном Hard Work Reflective (серый),"Размеры: 29х41х9 см Материал: полиэстер, 600D Вес (1 шт.): 320 г

Аттракцион + лого","Материал: полиэстер 100%, 600D 
Размер: 41*30*14
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: Аттракцион + лого,100,"14,63","1316,30",50-55,"17,61","1584,51",40-45,8 069,5,15-17,
,,,,,,,,,,,,,,,
 ,"Рюкзак детский Kiddo, синий с голубым","Размеры: 25x30x12 см Материал: полиэстер 100%, 600D Вес  (1 шт ) 250 г
На большом кармане картинка, лого сверху.
","Материал: полиэстер 100%, 600D 
Размер: 35*28*11
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: На большом кармане картинка, лого сверху",100,"10,37","933,76",50-55,"11,97","1076,80",40-45,6 980,5,15-17,
,,,,,,,,,,,,,,,
 ,"Кружка Good Morning с покрытием софт-тач, бирюзовая","Размеры: диаметр 8,3 см, высота 10,3 см, ширина вместе с ручкой 11,6 см Материал: фарфор Вес (1 шт.): 333 г","Материал:  фарфор
Размер: высота 103мм, диаметр 80мм
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна "," Дизайн:  с покрытием софт-тач, бирюзовая, картинка по макету клиента ",300,"8,9","876,3",45-50,"10,5","1023,0",35-40,11 220,10-12,22-24,
,,,,,,,,,,,,,,,
 ,"Кружка Good Morning с покрытием софт-тач, голубая","Размеры: диаметр 8,3 см, высота 10,3 см, ширина вместе с ручкой 11,6 см Материал: фарфор Вес (1 шт.): 333 г","Материал:  фарфор
Размер: высота 103мм, диаметр 80мм
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна "," Дизайн:  кружка с покрытием софт-тач, голубая, картинка по макету клиента ",300,"8,9","876,3",45-50,"10,5","1023,0",35-40,11 220,10-12,22-24,
,,,,,,,,,,,,,,,
